MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,RoundsCount
M0001,2025-12-27,CerberusFlame,WeissTiger,0,4,2
M0002,2025-12-27,CobaltDragoon,TuskMammoth,4,0,4
M0003,2025-12-27,DranDagger,ViperTail,0,4,3
M0004,2025-12-27,RhinoReaper,DranSword,2,4,5
M0005,2025-12-27,SamuraiSaber,HellsReaper,0,4,2
M0006,2025-12-27,HellsHammer,TyrannoBeat,1,4,3
M0007,2025-12-27,DranBrave,WizardArrow,4,0,2
M0008,2025-12-27,PegasusBlast,WizardRod,2,5,4
M0009,2025-12-27,LeonClaw,FoxBrush,1,5,4
M0010,2025-12-27,UnicornSting,CrimsonGaruda,4,0,2
M0011,2025-12-27,ImpactDrake,ScorpioSpear,0,4,4
M0012,2025-12-27,KnightMail,PhoenixRudder,5,0,3
M0013,2025-12-27,BlackShell,LeonCrest,2,4,3
M0014,2025-12-27,WhaleWave,WizardArc,5,2,3
M0015,2025-12-27,SilverWolf,SharkEdge,2,4,4
M0016,2025-12-27,DranBuster,PhoenixWing,6,0,2
M0017,2025-12-27,HellsChain,PerseusDark,2,6,5
M0018,2025-12-27,GolemRock,WhaleWave,4,0,2
M0019,2025-12-27,FoxBrush,DranBuster,6,0,3
M0020,2025-12-27,CerberusFlame,GolemRock,0,5,4
M0021,2025-12-27,DranDagger,PerseusDark,4,1,4
M0022,2025-12-27,TuskMammoth,ScorpioSpear,4,3,3
M0023,2025-12-27,LeonClaw,LeonCrest,3,4,4
M0024,2025-12-27,KnightMail,SharkEdge,0,4,2
M0025,2025-12-27,RhinoReaper,WhaleWave,3,5,5
M0026,2025-12-27,ImpactDrake,PhoenixWing,3,6,3
M0027,2025-12-27,SilverWolf,DranBrave,3,5,5
M0028,2025-12-27,HellsChain,BlackShell,4,0,2
M0029,2025-12-27,WhaleFlame,UnicornSting,0,4,2
M0030,2025-12-27,PhoenixRudder,WizardRod,0,4,2
M0031,2025-12-27,WizardArc,HellsReaper,3,5,5
M0032,2025-12-27,TyrannoBeat,CrimsonGaruda,2,4,3
M0033,2025-12-27,LeonClaw,WizardRod,4,2,3
M0034,2025-12-27,CerberusFlame,CrimsonGaruda,5,3,5
M0035,2025-12-27,UnicornSting,DranBrave,1,4,3
M0036,2025-12-27,HellsChain,HellsReaper,0,4,2
M0037,2025-12-27,PhoenixWing,KnightMail,4,0,3
M0038,2025-12-27,DranBuster,ScorpioSpear,2,5,4
M0039,2025-12-27,PerseusDark,RhinoReaper,6,3,4
M0040,2025-12-27,PhoenixWing,ScorpioSpear,1,5,4
M0041,2025-12-27,HellsReaper,PerseusDark,4,2,4
M0042,2025-12-27,LeonCrest,WhaleWave,4,3,5
M0043,2025-12-27,DranSword,CerberusFlame,5,0,3
M0044,2025-12-27,DranDagger,LeonClaw,0,5,3
M0045,2025-12-27,FoxBrush,GolemRock,0,6,4
M0046,2025-12-27,WeissTiger,DranBrave,4,2,3
M0047,2025-12-27,TuskMammoth,SharkEdge,5,2,5
M0048,2025-12-27,ViperTail,ScorpioSpear,5,0,2
M0049,2025-12-27,CobaltDragoon,HellsReaper,1,5,4
M0050,2025-12-27,DranSword,LeonClaw,6,3,5
M0051,2025-12-27,WeissTiger,TuskMammoth,0,4,2
M0052,2025-12-27,ViperTail,LeonCrest,0,4,3
M0053,2025-12-27,HellsReaper,GolemRock,2,4,3
M0054,2025-12-27,LeonCrest,DranSword,5,1,3
M0055,2025-12-27,GolemRock,TuskMammoth,3,6,4
M0056,2025-12-27,DranSword,GolemRock,4,0,2
M0057,2025-12-27,LeonCrest,TuskMammoth,8,2,5
