MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-01-30,DranDagger,ValkyrieVolt,0,5,exhibition,,,,DropAttack
M0002,2026-01-30,DranBrave,PegasusBlast,2,4,exhibition,,,,DropAttack
M0003,2026-01-30,ImpactDrake,TuskMammoth,0,4,exhibition,,,,DropAttack
M0004,2026-01-30,DranSword,SamuraiSaber,0,5,exhibition,,,,DropAttack
M0005,2026-01-30,PhoenixWing,CobaltDragoon,4,1,exhibition,,,,DropAttack
M0006,2026-01-30,CobaltDrake,DranBuster,5,0,exhibition,,,,DropAttack
M0007,2026-01-30,TyrannoBeat,FoxBrush,4,0,exhibition,,,,DropAttack
M0008,2026-01-30,SharkEdge,SharkScale,0,4,exhibition,,,,DropAttack
M0009,2026-01-30,ValkyrieVolt,PegasusBlast,4,0,exhibition,,,,DropAttack
M0010,2026-01-30,TuskMammoth,SamuraiSaber,0,4,exhibition,,,,DropAttack
M0011,2026-01-30,PhoenixWing,CobaltDrake,4,1,exhibition,,,,DropAttack
M0012,2026-01-30,TyrannoBeat,SharkScale,0,5,exhibition,,,,DropAttack
M0013,2026-01-30,ValkyrieVolt,SamuraiSaber,5,0,exhibition,,,,DropAttack
M0014,2026-01-30,PhoenixWing,SharkScale,0,4,exhibition,,,,DropAttack
M0015,2026-01-30,SamuraiSaber,PhoenixWing,4,0,exhibition,,,,DropAttack
M0016,2026-01-30,ValkyrieVolt,SharkScale,8,4,exhibition,,,,DropAttack
