match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,TuskMammoth,burst,2,
M0001,2,TuskMammoth,spin,1,
M0001,3,TuskMammoth,burst,2,
M0002,1,DranSword,pocket,2,
M0002,2,DranDagger,extreme,3,
M0002,3,DranDagger,pocket,2,
M0003,1,ScorpioSpear,pocket,2,
M0003,2,ScorpioSpear,extreme,3,
M0004,1,CrimsonGaruda,pocket,2,
M0004,2,CrimsonGaruda,pocket,2,
M0005,1,PerseusDark,pocket,2,
M0005,2,PerseusDark,burst,2,
M0006,1,WhaleWave,pocket,2,
M0006,2,WhaleWave,pocket,2,
M0007,1,WizardArc,spin,1,
M0007,2,WizardArc,pocket,2,
M0007,3,WizardArc,pocket,2,
M0008,1,HellsChain,spin,1,
M0008,2,HellsChain,pocket,2,
M0008,3,HellsChain,spin,1,
M0009,1,DranDagger,extreme,3,
M0009,2,TuskMammoth,spin,1,
M0009,3,TuskMammoth,pocket,2,
M0009,4,DranDagger,pocket,2,
M0010,1,ScorpioSpear,burst,2,
M0010,2,ScorpioSpear,spin,1,
M0010,3,CrimsonGaruda,burst,2,
M0010,4,ScorpioSpear,pocket,2,
M0011,1,PerseusDark,extreme,3,
M0011,2,WhaleWave,burst,2,
M0011,3,WhaleWave,pocket,2,
M0012,1,WizardArc,pocket,2,
M0012,2,WizardArc,pocket,2,
M0013,1,DranDagger,pocket,2,
M0013,2,ScorpioSpear,pocket,2,
M0013,3,ScorpioSpear,pocket,2,
M0014,1,WizardArc,spin,1,
M0014,2,WizardArc,pocket,2,
M0014,3,WhaleWave,burst,2,
M0014,4,WhaleWave,extreme,3,
M0015,1,WizardArc,spin,1,
M0015,2,WizardArc,pocket,2,
M0015,3,DranDagger,burst,2,
M0015,4,WizardArc,spin,1,
M0016,1,ScorpioSpear,spin,1,
M0016,2,WhaleWave,pocket,2,
M0016,3,ScorpioSpear,pocket,2,
M0016,4,ScorpioSpear,burst,2,
M0016,5,ScorpioSpear,burst,2,
