MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,RoundsCount
M0001,2026-01-04,SharkScale,CobaltDrake,4,0,2
M0002,2026-01-04,SolEclipse,CobaltDrake,5,2,4
M0003,2026-01-04,SharkScale,SolEclipse,4,2,4
M0004,2026-01-04,FoxBrush,CobaltDrake,4,3,6
M0005,2026-01-04,HellsChain,WeissTiger,5,0,3
M0006,2026-01-04,HellsReaper,LeonCrest,6,1,4
M0007,2026-01-04,DranBrave,DranBuster,4,3,5
M0008,2026-01-04,GolemRock,WizardRod,5,3,5
M0009,2026-01-04,SharkEdge,PerseusDark,0,4,2
M0010,2026-01-04,SharkScale,LeonClaw,5,0,4
M0011,2026-01-04,TuskMammoth,SamuraiSaber,4,2,3
M0012,2026-01-04,CerberusFlame,RhinoReaper,4,0,3
M0013,2026-01-04,CobaltDragoon,KnightMail,4,0,3
M0014,2026-01-04,DranSword,ImpactDrake,0,5,2
M0015,2026-01-04,WhaleWave,TyrannoBeat,5,0,2
M0016,2026-01-04,WizardArc,ViperTail,3,5,4
M0017,2026-01-04,BlackShell,SolEclipse,0,6,3
M0018,2026-01-04,UnicornSting,WhaleFlame,4,2,4
M0019,2026-01-04,CrimsonGaruda,WizardArrow,4,0,2
M0020,2026-01-04,FoxBrush,HellsChain,0,4,2
M0021,2026-01-04,HellsReaper,DranBrave,0,4,3
M0022,2026-01-04,GolemRock,PerseusDark,4,0,4
M0023,2026-01-04,SharkScale,TuskMammoth,2,5,3
M0024,2026-01-04,CerberusFlame,CobaltDragoon,4,2,5
M0025,2026-01-04,ImpactDrake,WhaleWave,4,1,3
M0026,2026-01-04,ViperTail,SolEclipse,2,5,3
M0027,2026-01-04,UnicornSting,CrimsonGaruda,0,4,3
M0028,2026-01-04,HellsChain,DranBrave,1,4,3
M0029,2026-01-04,GolemRock,TuskMammoth,4,0,2
M0030,2026-01-04,CerberusFlame,ImpactDrake,4,2,4
M0031,2026-01-04,SolEclipse,CrimsonGaruda,3,4,6
M0032,2026-01-04,HellsChain,TuskMammoth,3,4,5
M0033,2026-01-04,ImpactDrake,SolEclipse,6,3,4
M0034,2026-01-04,TuskMammoth,ImpactDrake,5,3,4
M0035,2026-01-04,DranBrave,GolemRock,0,4,2
M0036,2026-01-04,CerberusFlame,CrimsonGaruda,0,4,2
M0037,2026-01-04,DranBrave,CerberusFlame,5,1,3
M0038,2026-01-04,GolemRock,CrimsonGaruda,7,0,4
M0039,2026-01-04,SharkScale,SharkEdge,4,0,3
M0040,2026-01-04,CobaltDrake,CobaltDragoon,2,4,4
M0041,2026-01-04,SharkScale,CobaltDragoon,3,5,5
M0042,2026-01-04,PhoenixWing,CobaltDrake,5,0,4
M0043,2026-01-04,CobaltDrake,PegasusBlast,4,3,3
M0044,2026-01-04,PegasusBlast,SamuraiSaber,4,2,3
M0045,2026-01-04,GolemRock,PhoenixWing,0,5,3
M0046,2026-01-04,GolemRock,DranBuster,5,3,5
M0047,2026-01-04,GolemRock,DranSword,5,0,3
M0048,2026-01-04,SolEclipse,ScorpioSpear,0,5,3
M0049,2026-01-04,SilverWolf,SolEclipse,2,4,4
M0050,2026-01-04,DranSword,TyrannoBeat,4,2,4
