MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-05-02,CobaltDrake,PhoenixRudder,2,4,season,S2,4,5,Xtreme
M0002,2026-05-02,HellsBrave,SolEclipse,5,2,season,S2,4,5,Xtreme
M0003,2026-05-02,HellsHammer,DranDagger,4,0,season,S2,4,5,Xtreme
M0004,2026-05-02,WizardArc,WolfHunt,4,0,season,S2,4,5,Xtreme
M0005,2026-05-02,RhinoReaper,SharkEdge,2,4,season,S2,3,5,Xtreme
M0006,2026-05-02,LeonClaw,HellsReaper,4,3,season,S2,3,5,Xtreme
M0007,2026-05-02,HellsChain,PerseusDark,1,4,season,S2,3,5,Xtreme
M0008,2026-05-02,PhoenixWing,SilverWolf,4,1,season,S2,3,5,Xtreme
M0009,2026-05-02,CerberusFlame,ViperTail,4,1,season,S2,2,5,Xtreme
M0010,2026-05-02,KnightMail,DranSword,2,5,season,S2,2,5,Xtreme
M0011,2026-05-02,DranBrave,CobaltDragoon,0,4,season,S2,2,5,Xtreme
M0012,2026-05-02,WyvernHover,WeissTiger,3,4,season,S2,2,5,Xtreme
M0013,2026-05-02,GolemRock,LeonCrest,0,5,season,S2,1,5,Xtreme
M0014,2026-05-02,TuskMammoth,SharkScale,4,0,season,S2,1,5,Xtreme
M0015,2026-05-02,FoxBrush,ImpactDrake,4,2,season,S2,1,5,Xtreme
M0016,2026-05-02,ScorpioSpear,ValkyrieVolt,5,0,season,S2,1,5,Xtreme
M0017,2026-05-02,SolEclipse,HellsHammer,1,4,season,S2,4,6,Xtreme
M0018,2026-05-02,DranDagger,CobaltDrake,3,4,season,S2,4,6,Xtreme
M0019,2026-05-02,PhoenixRudder,WizardArc,5,1,season,S2,4,6,Xtreme
M0020,2026-05-02,WolfHunt,HellsBrave,4,0,season,S2,4,6,Xtreme
M0021,2026-05-02,HellsReaper,HellsChain,5,0,season,S2,3,6,Xtreme
M0022,2026-05-02,PerseusDark,RhinoReaper,2,4,season,S2,3,6,Xtreme
M0023,2026-05-02,SharkEdge,PhoenixWing,0,4,season,S2,3,6,Xtreme
M0024,2026-05-02,SilverWolf,LeonClaw,4,2,season,S2,3,6,Xtreme
M0025,2026-05-02,DranSword,DranBrave,5,3,season,S2,2,6,Xtreme
M0026,2026-05-02,CobaltDragoon,CerberusFlame,4,0,season,S2,2,6,Xtreme
M0027,2026-05-02,ViperTail,WyvernHover,5,3,season,S2,2,6,Xtreme
M0028,2026-05-02,WeissTiger,KnightMail,6,3,season,S2,2,6,Xtreme
M0029,2026-05-02,SharkScale,FoxBrush,4,0,season,S2,1,6,Xtreme
M0030,2026-05-02,ImpactDrake,GolemRock,4,1,season,S2,1,6,Xtreme
M0031,2026-05-02,LeonCrest,ScorpioSpear,4,2,season,S2,1,6,Xtreme
M0032,2026-05-02,ValkyrieVolt,TuskMammoth,0,4,season,S2,1,6,Xtreme
M0033,2026-05-02,HellsHammer,WolfHunt,4,1,season,S2,4,7,Xtreme
M0034,2026-05-02,WizardArc,HellsBrave,0,5,season,S2,4,7,Xtreme
M0035,2026-05-02,CobaltDrake,SolEclipse,2,5,season,S2,4,7,Xtreme
M0036,2026-05-02,PhoenixRudder,DranDagger,0,4,season,S2,4,7,Xtreme
M0037,2026-05-02,HellsChain,SilverWolf,4,1,season,S2,3,7,Xtreme
M0038,2026-05-02,PhoenixWing,LeonClaw,4,3,season,S2,3,7,Xtreme
M0039,2026-05-02,RhinoReaper,HellsReaper,5,3,season,S2,3,7,Xtreme
M0040,2026-05-02,SharkEdge,PerseusDark,4,1,season,S2,3,7,Xtreme
M0041,2026-05-02,DranBrave,WeissTiger,4,0,season,S2,2,7,Xtreme
M0042,2026-05-02,WyvernHover,KnightMail,2,6,season,S2,2,7,Xtreme
M0043,2026-05-02,CerberusFlame,DranSword,2,4,season,S2,2,7,Xtreme
M0044,2026-05-02,ViperTail,CobaltDragoon,4,0,season,S2,2,7,Xtreme
M0045,2026-05-02,FoxBrush,ValkyrieVolt,4,2,season,S2,1,7,Xtreme
M0046,2026-05-02,ScorpioSpear,TuskMammoth,5,1,season,S2,1,7,Xtreme
M0047,2026-05-02,GolemRock,SharkScale,2,4,season,S2,1,7,Xtreme
M0048,2026-05-02,LeonCrest,ImpactDrake,0,4,season,S2,1,7,Xtreme
M0049,2026-05-02,HellsReaper,HellsHammer,8,5,relegation,S2,,,Xtreme
M0050,2026-05-02,WeissTiger,PerseusDark,9,5,relegation,S2,,,Xtreme
M0051,2026-05-02,LeonCrest,CobaltDragoon,3,7,relegation,S2,,,Xtreme
