MatchID,round_number,winner,finish_type,points_awarded,notes
M0001,1,PhoenixRudder,pocket,2,
M0001,2,CobaltDrake,pocket,2,
M0001,3,PhoenixRudder,burst,2,
M0002,1,HellsBrave,pocket,2,
M0002,2,SolEclipse,spin,1,
M0002,3,SolEclipse,spin,1,
M0002,4,HellsBrave,extreme,3,
M0003,1,HellsHammer,spin,1,
M0003,2,HellsHammer,spin,1,
M0003,3,HellsHammer,spin,1,
M0003,4,HellsHammer,spin,1,
M0004,1,WizardArc,pocket,2,
M0004,2,WizardArc,spin,1,
M0004,3,WizardArc,spin,1,
M0005,1,SharkEdge,burst,2,
M0005,2,RhinoReaper,pocket,2,
M0005,3,SharkEdge,pocket,2,
M0006,1,LeonClaw,spin,1,
M0006,2,HellsReaper,pocket,2,
M0006,3,LeonClaw,pocket,2,
M0006,4,HellsReaper,spin,1,
M0006,5,LeonClaw,spin,1,
M0007,1,HellsChain,spin,1,
M0007,2,PerseusDark,pocket,2,
M0007,3,PerseusDark,pocket,2,
M0008,1,SilverWolf,spin,1,
M0008,2,PhoenixWing,burst,2,
M0008,3,PhoenixWing,burst,2,
M0009,1,CerberusFlame,spin,1,
M0009,2,CerberusFlame,burst,2,
M0009,3,ViperTail,spin,1,
M0009,4,CerberusFlame,spin,1,
M0010,1,KnightMail,spin,1,
M0010,2,KnightMail,spin,1,
M0010,3,DranSword,pocket,2,
M0010,4,DranSword,extreme,3,
M0011,1,CobaltDragoon,pocket,2,
M0011,2,CobaltDragoon,pocket,2,
M0012,1,WyvernHover,spin,1,
M0012,2,WyvernHover,stadium_exit,2,
M0012,3,WeissTiger,spin,1,
M0012,4,WeissTiger,spin,1,
M0012,5,WeissTiger,burst,2,
M0013,1,LeonCrest,extreme,3,
M0013,2,LeonCrest,pocket,2,
M0014,1,TuskMammoth,extreme,3,
M0014,2,TuskMammoth,spin,1,
M0015,1,ImpactDrake,burst,2,
M0015,2,FoxBrush,pocket,2,
M0015,3,FoxBrush,pocket,2,
M0016,1,ScorpioSpear,burst,2,
M0016,2,ScorpioSpear,extreme,3,
M0017,1,HellsHammer,spin,1,
M0017,2,SolEclipse,spin,1,
M0017,3,HellsHammer,spin,1,
M0017,4,HellsHammer,burst,2,
M0018,1,DranDagger,pocket,2,
M0018,2,DranDagger,spin,1,
M0018,3,CobaltDrake,spin,1,
M0018,4,CobaltDrake,extreme,3,
M0019,1,PhoenixRudder,spin,1,
M0019,2,WizardArc,spin,1,
M0019,3,PhoenixRudder,spin,1,
M0019,4,PhoenixRudder,spin,1,
M0019,5,PhoenixRudder,burst,2,
M0020,1,WolfHunt,spin,1,
M0020,2,WolfHunt,pocket,2,
M0020,3,WolfHunt,spin,1,
M0021,1,HellsReaper,pocket,2,
M0021,2,HellsReaper,spin,1,
M0021,3,HellsReaper,pocket,2,
M0022,1,PerseusDark,spin,1,
M0022,2,RhinoReaper,spin,1,
M0022,3,RhinoReaper,pocket,2,
M0022,4,PerseusDark,spin,1,
M0022,5,RhinoReaper,spin,1,
M0023,1,PhoenixWing,pocket,2,
M0023,2,PhoenixWing,pocket,2,
M0024,1,LeonClaw,burst,2,
M0024,2,SilverWolf,spin,1,
M0024,3,SilverWolf,pocket,2,
M0024,4,SilverWolf,spin,1,
M0025,1,DranBrave,pocket,2,
M0025,2,DranSword,pocket,2,
M0025,3,DranBrave,spin,1,
M0025,4,DranSword,extreme,3,
M0026,1,CobaltDragoon,burst,2,
M0026,2,CobaltDragoon,pocket,2,
M0027,1,ViperTail,burst,2,
M0027,2,WyvernHover,spin,1,
M0027,3,ViperTail,spin,1,
M0027,4,WyvernHover,pocket,2,
M0027,5,ViperTail,pocket,2,
M0028,1,WeissTiger,extreme,3,
M0028,2,KnightMail,extreme,3,
M0028,3,WeissTiger,extreme,3,
M0029,1,SharkScale,pocket,2,
M0029,2,SharkScale,spin,1,
M0029,3,SharkScale,spin,1,
M0030,1,ImpactDrake,burst,2,
M0030,2,GolemRock,spin,1,
M0030,3,ImpactDrake,burst,2,
M0031,1,LeonCrest,pocket,2,
M0031,2,ScorpioSpear,pocket,2,
M0031,3,LeonCrest,pocket,2,
M0032,1,TuskMammoth,spin,1,
M0032,2,TuskMammoth,spin,1,
M0032,3,TuskMammoth,spin,1,
M0032,4,TuskMammoth,spin,1,
M0033,1,WolfHunt,spin,1,
M0033,2,HellsHammer,spin,1,
M0033,3,HellsHammer,pocket,2,
M0033,4,HellsHammer,spin,1,
M0034,1,HellsBrave,spin,1,
M0034,2,HellsBrave,burst,2,
M0034,3,HellsBrave,burst,2,
M0035,1,CobaltDrake,burst,2,
M0035,2,SolEclipse,burst,2,
M0035,3,SolEclipse,extreme,3,
M0036,1,DranDagger,pocket,2,
M0036,2,DranDagger,pocket,2,
M0037,1,HellsChain,spin,1,
M0037,2,HellsChain,burst,2,
M0037,3,SilverWolf,spin,1,
M0037,4,HellsChain,spin,1,
M0038,1,LeonClaw,pocket,2,
M0038,2,LeonClaw,spin,1,
M0038,3,PhoenixWing,pocket,2,
M0038,4,PhoenixWing,pocket,2,
