match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,WeissTiger,extreme,3,
M0001,2,WeissTiger,spin,1,
M0002,1,CobaltDragoon,spin,1,
M0002,2,CobaltDragoon,spin,1,
M0002,3,CobaltDragoon,spin,1,
M0002,4,CobaltDragoon,spin,1,
M0003,1,ViperTail,spin,1,
M0003,2,ViperTail,pocket,2,
M0003,3,ViperTail,spin,1,
M0004,1,DranSword,spin,1,
M0004,2,RhinoReaper,spin,1,
M0004,3,DranSword,spin,1,
M0004,4,RhinoReaper,spin,1,
M0004,5,DranSword,pocket,2,
M0005,1,HellsReaper,pocket,2,
M0005,2,HellsReaper,pocket,2,
M0006,1,TyrannoBeat,burst,2,
M0006,2,HellsHammer,spin,1,
M0006,3,TyrannoBeat,burst,2,
M0007,1,DranBrave,pocket,2,
M0007,2,DranBrave,burst,2,
M0008,1,WizardRod,burst,2,
M0008,2,PegasusBlast,pocket,2,
M0008,3,WizardRod,spin,1,
M0008,4,WizardRod,pocket,2,
M0009,1,FoxBrush,spin,1,
M0009,2,LeonClaw,spin,1,
M0009,3,FoxBrush,spin,1,
M0009,4,FoxBrush,extreme,3,
M0010,1,UnicornSting,pocket,2,
M0010,2,UnicornSting,pocket,2,
M0011,1,ScorpioSpear,spin,1,
M0011,2,ScorpioSpear,spin,1,
M0011,3,ScorpioSpear,spin,1,
M0011,4,ScorpioSpear,spin,1,
M0012,1,KnightMail,spin,1,
M0012,2,KnightMail,spin,1,
M0012,3,KnightMail,extreme,3,
M0013,1,LeonCrest,burst,2,
M0013,2,BlackShell,burst,2,
M0013,3,LeonCrest,pocket,2,
M0014,1,WhaleWave,pocket,2,
M0014,2,WizardArc,pocket,2,
M0014,3,WhaleWave,extreme,3,
M0015,1,SharkEdge,burst,2,
M0015,2,SilverWolf,spin,1,
M0015,3,SilverWolf,spin,1,
M0015,4,SharkEdge,pocket,2,
M0016,1,DranBuster,extreme,3,
M0016,2,DranBuster,extreme,3,
M0017,1,PerseusDark,spin,1,
M0017,2,HellsChain,spin,1,
M0017,3,HellsChain,spin,1,
M0017,4,PerseusDark,burst,2,
M0017,5,PerseusDark,extreme,3,
M0018,1,GolemRock,burst,2,
M0018,2,GolemRock,burst,2,
