match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,ValkyrieVolt,spin,1,
M0001,2,ValkyrieVolt,pocket,2,
M0001,3,ValkyrieVolt,pocket,2,
M0002,1,DranBrave,pocket,2,
M0002,2,PegasusBlast,pocket,2,
M0002,3,PegasusBlast,pocket,2,
M0003,1,TuskMammoth,spin,1,
M0003,2,TuskMammoth,spin,1,
M0003,3,TuskMammoth,pocket,2,
M0004,1,SamuraiSaber,pocket,2,
M0004,2,SamuraiSaber,spin,1,
M0004,3,SamuraiSaber,pocket,2,
M0005,1,CobaltDragoon,spin,1,
M0005,2,PhoenixWing,pocket,2,
M0005,3,PhoenixWing,burst,2,
M0006,1,CobaltDrake,extreme,3,
M0006,2,CobaltDrake,burst,2,
M0007,1,TyrannoBeat,pocket,2,
M0007,2,TyrannoBeat,pocket,2,
M0008,1,SharkScale,burst,2,
M0008,2,SharkScale,burst,2,
M0009,1,ValkyrieVolt,pocket,2,
M0009,2,ValkyrieVolt,pocket,2,
M0010,1,SamuraiSaber,pocket,2,
M0010,2,SamuraiSaber,pocket,2,
M0011,1,PhoenixWing,burst,2,
M0011,2,CobaltDrake,spin,1,
M0011,3,PhoenixWing,pocket,2,
M0012,1,SharkScale,spin,1,
M0012,2,SharkScale,burst,2,
M0012,3,SharkScale,burst,2,
M0013,1,ValkyrieVolt,extreme,3,
M0013,2,ValkyrieVolt,burst,2,
M0014,1,SharkScale,pocket,2,
M0014,2,SharkScale,spin,1,
M0014,3,SharkScale,spin,1,
M0015,1,SamuraiSaber,spin,1,
M0015,2,SamuraiSaber,extreme,3,
M0016,1,ValkyrieVolt,pocket,2,
M0016,2,SharkScale,burst,2,
M0016,3,ValkyrieVolt,pocket,2,
M0016,4,SharkScale,spin,1,
M0016,5,ValkyrieVolt,pocket,2,
M0016,6,SharkScale,spin,1,
M0016,7,ValkyrieVolt,burst,2,
