MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-01-30,WeissTiger,TuskMammoth,0,5,exhibition,,,,DropAttack
M0002,2026-01-30,DranSword,DranDagger,2,5,exhibition,,,,DropAttack
M0003,2026-01-30,SolEclipse,ScorpioSpear,0,5,exhibition,,,,DropAttack
M0004,2026-01-30,WizardArrow,CrimsonGaruda,0,4,exhibition,,,,DropAttack
M0005,2026-01-30,TyrannoBeat,PerseusDark,0,4,exhibition,,,,DropAttack
M0006,2026-01-30,LeonClaw,WhaleWave,0,4,exhibition,,,,DropAttack
M0007,2026-01-30,WizardArc,GolemRock,5,0,exhibition,,,,DropAttack
M0008,2026-01-30,LeonCrest,HellsChain,0,4,exhibition,,,,DropAttack
M0009,2026-01-30,TuskMammoth,DranDagger,3,5,exhibition,,,,DropAttack
M0010,2026-01-30,ScorpioSpear,CrimsonGaruda,5,2,exhibition,,,,DropAttack
M0011,2026-01-30,PerseusDark,WhaleWave,3,4,exhibition,,,,DropAttack
M0012,2026-01-30,WizardArc,HellsChain,4,0,exhibition,,,,DropAttack
M0013,2026-01-30,DranDagger,ScorpioSpear,2,4,exhibition,,,,DropAttack
M0014,2026-01-30,WhaleWave,WizardArc,5,3,exhibition,,,,DropAttack
M0015,2026-01-30,DranDagger,WizardArc,2,4,exhibition,,,,DropAttack
M0016,2026-01-30,ScorpioSpear,WhaleWave,7,2,exhibition,,,,DropAttack
