match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,SharkScale,burst,2,
M0001,2,SharkScale,burst,2,
M0002,1,CobaltDrake,burst,2,
M0002,2,SolEclipse,burst,2,
M0002,3,SolEclipse,spin,1,
M0002,4,SolEclipse,burst,2,
M0003,1,SolEclipse,spin,1,
M0003,2,SolEclipse,spin,1,
M0003,3,SharkScale,pocket,2,
M0003,4,SharkScale,burst,2,
M0004,1,FoxBrush,spin,1,
M0004,2,CobaltDrake,spin,1,
M0004,3,CobaltDrake,burst,2,
M0004,4,FoxBrush,spin,1,
M0004,5,FoxBrush,spin,1,
M0004,6,FoxBrush,spin,1,
M0005,1,HellsChain,burst,2,
M0005,2,HellsChain,spin,1,
M0005,3,HellsChain,burst,2,
M0006,1,HellsReaper,spin,1,
M0006,2,LeonCrest,spin,1,
M0006,3,HellsReaper,pocket,2,
M0006,4,HellsReaper,extreme,3,
M0007,1,DranBuster,spin,1,
M0007,2,DranBrave,burst,2,
M0007,3,DranBuster,spin,1,
M0007,4,DranBuster,spin,1,
M0007,5,DranBrave,pocket,2,
M0008,1,GolemRock,spin,1,
M0008,2,GolemRock,burst,2,
M0008,3,WizardRod,burst,2,
M0008,4,WizardRod,spin,1,
M0008,5,GolemRock,burst,2,
M0009,1,PerseusDark,pocket,2,
M0009,2,PerseusDark,burst,2,
M0010,1,SharkScale,spin,1,
M0010,2,SharkScale,spin,1,
M0010,3,SharkScale,spin,1,
M0010,4,SharkScale,burst,2,
M0011,1,SamuraiSaber,pocket,2,
M0011,2,TuskMammoth,burst,2,
M0011,3,TuskMammoth,burst,2,
M0012,1,CerberusFlame,pocket,2,
M0012,2,CerberusFlame,spin,1,
M0012,3,CerberusFlame,spin,1,
M0013,1,CobaltDragoon,spin,1,
M0013,2,CobaltDragoon,pocket,2,
M0013,3,CobaltDragoon,spin,1,
M0014,1,ImpactDrake,pocket,2,
M0014,2,ImpactDrake,extreme,3,
M0015,1,WhaleWave,extreme,3,
M0015,2,WhaleWave,pocket,2,
M0016,1,WizardArc,pocket,2,
M0016,2,ViperTail,burst,2,
M0016,3,WizardArc,spin,1,
M0016,4,ViperTail,extreme,3,
M0017,1,SolEclipse,pocket,2,
M0017,2,SolEclipse,spin,1,
M0017,3,SolEclipse,extreme,3,
M0018,1,WhaleFlame,pocket,2,
M0018,2,UnicornSting,burst,2,
M0018,3,UnicornSting,spin,1,
M0018,4,UnicornSting,spin,1,
M0019,1,CrimsonGaruda,burst,2,
M0019,2,CrimsonGaruda,burst,2,
M0020,1,HellsChain,burst,2,
M0020,2,HellsChain,burst,2,
M0021,1,DranBrave,pocket,2,
M0021,2,DranBrave,spin,1,
M0021,3,DranBrave,spin,1,
M0022,1,GolemRock,spin,1,
M0022,2,GolemRock,spin,1,
M0022,3,GolemRock,spin,1,
M0022,4,GolemRock,spin,1,
M0023,1,SharkScale,pocket,2,
M0023,2,TuskMammoth,pocket,2,
M0023,3,TuskMammoth,extreme,3,
M0024,1,CerberusFlame,spin,1,
M0024,2,CerberusFlame,spin,1,
M0024,3,CerberusFlame,spin,1,
M0024,4,CobaltDragoon,burst,2,
M0024,5,CerberusFlame,spin,1,
M0025,1,WhaleWave,spin,1,
M0025,2,ImpactDrake,pocket,2,
M0025,3,ImpactDrake,burst,2,
M0026,1,ViperTail,burst,2,
M0026,2,SolEclipse,pocket,2,
M0026,3,SolEclipse,extreme,3,
M0027,1,CrimsonGaruda,pocket,2,
M0027,2,CrimsonGaruda,spin,1,
M0027,3,CrimsonGaruda,spin,1,
M0028,1,DranBrave,pocket,2,
M0028,2,HellsChain,spin,1,
M0028,3,DranBrave,burst,2,
M0029,1,GolemRock,pocket,2,
M0029,2,GolemRock,pocket,2,
M0030,1,ImpactDrake,burst,2,
M0030,2,CerberusFlame,spin,1,
M0030,3,CerberusFlame,spin,1,
M0030,4,CerberusFlame,pocket,2,
M0031,1,SolEclipse,spin,1,
M0031,2,CrimsonGaruda,pocket,2,
M0031,3,SolEclipse,spin,1,
M0031,4,SolEclipse,spin,1,
M0031,5,CrimsonGaruda,spin,1,
M0031,6,CrimsonGaruda,spin,1,
M0032,1,HellsChain,spin,1,
M0032,2,TuskMammoth,pocket,2,
M0032,3,HellsChain,spin,1,
M0032,4,HellsChain,spin,1,
M0032,5,TuskMammoth,pocket,2,
M0033,1,ImpactDrake,spin,1,
M0033,2,ImpactDrake,burst,2,
M0033,3,SolEclipse,extreme,3,
M0033,4,ImpactDrake,extreme,3,
M0034,1,TuskMammoth,burst,2,
M0034,2,ImpactDrake,extreme,3,
M0034,3,TuskMammoth,spin,1,
M0034,4,TuskMammoth,pocket,2,
M0035,1,GolemRock,extreme,3,
M0035,2,GolemRock,spin,1,
M0036,1,CrimsonGaruda,burst,2,
M0036,2,CrimsonGaruda,burst,2,
M0037,1,DranBrave,extreme,3,
M0037,2,CerberusFlame,spin,1,
M0037,3,DranBrave,pocket,2,
M0038,1,GolemRock,spin,1,
M0038,2,GolemRock,burst,2,
M0038,3,GolemRock,burst,2,
M0038,4,GolemRock,burst,2,
M0039,1,SharkScale,spin,1,
M0039,2,SharkScale,spin,1,
M0039,3,SharkScale,burst,2,
M0040,1,CobaltDragoon,spin,1,
M0040,2,CobaltDragoon,spin,1,
M0040,3,CobaltDrake,pocket,2,
M0040,4,CobaltDragoon,burst,2,
M0041,1,CobaltDragoon,extreme,3,
M0041,2,SharkScale,spin,1,
M0041,3,SharkScale,spin,1,
M0041,4,SharkScale,spin,1,
M0041,5,CobaltDragoon,pocket,2,
M0042,1,PhoenixWing,spin,1,
M0042,2,PhoenixWing,spin,1,
M0042,3,PhoenixWing,spin,1,
M0042,4,PhoenixWing,burst,2,
M0043,1,CobaltDrake,burst,2,
M0043,2,PegasusBlast,extreme,3,
M0043,3,CobaltDrake,burst,2,
M0044,1,SamuraiSaber,burst,2,
M0044,2,PegasusBlast,burst,2,
M0044,3,PegasusBlast,burst,2,
M0045,1,PhoenixWing,spin,1,
M0045,2,PhoenixWing,pocket,2,
M0045,3,PhoenixWing,pocket,2,
M0046,1,DranBuster,pocket,2,
M0046,2,GolemRock,spin,1,
M0046,3,DranBuster,spin,1,
M0046,4,GolemRock,pocket,2,
M0046,5,GolemRock,burst,2,
M0047,1,GolemRock,pocket,2,
M0047,2,GolemRock,spin,1,
M0047,3,GolemRock,pocket,2,
M0048,1,ScorpioSpear,spin,1,
M0048,2,ScorpioSpear,pocket,2,
M0048,3,ScorpioSpear,burst,2,
M0049,1,SolEclipse,burst,2,
M0049,2,SilverWolf,spin,1,
M0049,3,SilverWolf,spin,1,
M0049,4,SolEclipse,burst,2,
M0050,1,TyrannoBeat,burst,2,
M0050,2,DranSword,spin,1,
M0050,3,DranSword,burst,2,
M0050,4,DranSword,spin,1,
