MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,RoundsCount
M0001,2025-12-11,ViperTail,DranDagger,2,5,4
M0002,2025-12-11,TuskMammoth,LeonCrest,4,1,3
M0003,2025-12-11,CerberusFlame,BlackShell,4,1,5
M0004,2025-12-11,FoxBrush,DranBrave,0,4,3
M0005,2025-12-11,PhoenixWing,CobaltDragoon,5,3,5
M0006,2025-12-11,KnightMail,ScorpioSpear,2,4,3
M0007,2025-12-11,ImpactDrake,PhoenixRudder,4,1,3
M0008,2025-12-11,SharkEdge,SamuraiSaber,4,2,3
M0009,2025-12-11,ImpactDrake,DranDagger,4,0,3
M0010,2025-12-11,PhoenixWing,KnightMail,2,6,4
M0011,2025-12-11,DranBrave,TuskMammoth,3,5,4
M0012,2025-12-11,SharkEdge,CerberusFlame,4,3,5
M0013,2025-12-11,SharkEdge,KnightMail,5,2,4
M0014,2025-12-11,ImpactDrake,TuskMammoth,4,1,4
M0015,2025-12-11,KnightMail,TuskMammoth,4,2,3
M0016,2025-12-11,ImpactDrake,SharkEdge,6,3,5
