match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,ViperTail,pocket,2,
M0001,2,DranDagger,spin,1,
M0001,3,DranDagger,pocket,2,
M0001,4,DranDagger,burst,2,
M0002,1,TuskMammoth,pocket,2,
M0002,2,LeonCrest,spin,1,
M0002,3,TuskMammoth,burst,2,
M0003,1,CerberusFlame,spin,1,
M0003,2,CerberusFlame,spin,1,
M0003,3,CerberusFlame,spin,1,
M0003,4,BlackShell,spin,1,
M0003,5,CerberusFlame,spin,1,
M0004,1,DranBrave,spin,1,
M0004,2,DranBrave,pocket,2,
M0004,3,DranBrave,spin,1,
M0005,1,PhoenixWing,pocket,2,
M0005,2,CobaltDragoon,pocket,2,
M0005,3,PhoenixWing,spin,1,
M0005,4,CobaltDragoon,spin,1,
M0005,5,PhoenixWing,burst,2,
M0006,1,ScorpioSpear,pocket,2,
M0006,2,KnightMail,pocket,2,
M0006,3,ScorpioSpear,burst,2,
M0007,1,ImpactDrake,burst,2,
M0007,2,PhoenixRudder,spin,1,
M0007,3,ImpactDrake,burst,2,
M0008,1,SamuraiSaber,burst,2,
M0008,2,SharkEdge,burst,2,
M0008,3,SharkEdge,burst,2,
M0009,1,ImpactDrake,pocket,2,
M0009,2,ImpactDrake,spin,1,
M0009,3,ImpactDrake,spin,1,
M0010,1,PhoenixWing,pocket,2,
M0010,2,KnightMail,pocket,2,
M0010,3,KnightMail,spin,1,
M0010,4,KnightMail,extreme,3,
M0011,1,DranBrave,spin,1,
M0011,2,DranBrave,pocket,2,
M0011,3,TuskMammoth,extreme,3,
M0011,4,TuskMammoth,pocket,2,
M0012,1,CerberusFlame,spin,1,
M0012,2,CerberusFlame,spin,1,
M0012,3,CerberusFlame,spin,1,
M0012,4,SharkEdge,burst,2,
M0012,5,SharkEdge,pocket,2,
M0013,1,SharkEdge,pocket,2,
M0013,2,SharkEdge,spin,1,
M0013,3,KnightMail,pocket,2,
M0013,4,SharkEdge,pocket,2,
M0014,1,TuskMammoth,spin,1,
M0014,2,ImpactDrake,pocket,2,
M0014,3,ImpactDrake,spin,1,
M0014,4,ImpactDrake,spin,1,
M0015,1,KnightMail,pocket,2,
M0015,2,TuskMammoth,pocket,2,
M0015,3,KnightMail,pocket,2,
M0016,1,SharkEdge,spin,1,
M0016,2,ImpactDrake,spin,1,
M0016,3,ImpactDrake,pocket,2,
M0016,4,SharkEdge,pocket,2,
M0016,5,ImpactDrake,extreme,3,
