match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,HellsChain,spin,1,
M0001,2,HellsChain,burst,2,
M0001,3,CrimsonGaruda,pocket,2,
M0001,4,HellsChain,spin,1,
M0002,1,SharkEdge,burst,2,
M0002,2,WizardRod,spin,1,
M0002,3,WizardRod,burst,2,
M0002,4,SharkEdge,burst,2,
M0003,1,WhaleWave,burst,2,
M0003,2,SilverWolf,spin,1,
M0003,3,SilverWolf,spin,1,
M0003,4,WhaleWave,spin,1,
M0003,5,SilverWolf,spin,1,
M0003,6,SilverWolf,spin,1,
M0004,1,UnicornSting,spin,1,
M0004,2,RhinoReaper,burst,2,
M0004,3,UnicornSting,extreme,3,
M0005,1,LeonClaw,spin,1,
M0005,2,LeonClaw,spin,1,
M0005,3,ValkyrieVolt,burst,2,
M0005,4,LeonClaw,pocket,2,
M0006,1,DranBrave,spin,1,
M0006,2,DranBrave,spin,1,
M0006,3,HellsReaper,spin,1,
M0006,4,HellsReaper,pocket,2,
M0006,5,DranBrave,spin,1,
M0006,6,HellsReaper,spin,1,
M0007,1,KnightMail,extreme,3,
M0007,2,KnightMail,spin,1,
M0008,1,DranDagger,spin,1,
M0008,2,PerseusDark,spin,1,
M0008,3,PerseusDark,spin,1,
M0008,4,PerseusDark,spin,1,
M0008,5,DranDagger,pocket,2,
M0008,6,PerseusDark,pocket,2,
M0009,1,SolEclipse,pocket,2,
M0009,2,SharkScale,extreme,3,
M0009,3,SharkScale,extreme,3,
M0010,1,WeissTiger,pocket,2,
M0010,2,WyvernHover,spin,1,
M0010,3,WyvernHover,pocket,2,
M0010,4,WyvernHover,spin,1,
M0011,1,DranSword,spin,1,
M0011,2,CobaltDragoon,burst,2,
M0011,3,CobaltDragoon,burst,2,
M0012,1,LeonCrest,pocket,2,
M0012,2,LeonCrest,spin,1,
M0012,3,LeonCrest,spin,1,
M0013,1,TuskMammoth,spin,1,
M0013,2,TuskMammoth,burst,2,
M0013,3,TuskMammoth,spin,1,
M0014,1,CerberusFlame,spin,1,
M0014,2,GolemRock,burst,2,
M0014,3,CerberusFlame,spin,1,
M0014,4,CerberusFlame,spin,1,
M0014,5,GolemRock,burst,2,
M0015,1,ImpactDrake,pocket,2,
M0015,2,ImpactDrake,burst,2,
