match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,SharkEdge,burst,2,
M0001,2,RhinoReaper,spin,1,
M0001,3,RhinoReaper,pocket,2,
M0001,4,SharkEdge,stadium_exit,2,
M0002,1,LeonClaw,burst,2,
M0002,2,WhaleWave,pocket,2,
M0002,3,WhaleWave,pocket,2,
M0003,1,ValkyrieVolt,pocket,2,
M0003,2,ValkyrieVolt,extreme,3,
M0004,1,WizardRod,pocket,2,
M0004,2,CrimsonGaruda,burst,2,
M0004,3,WizardRod,spin,1,
M0004,4,WizardRod,spin,1,
M0005,1,UnicornSting,pocket,2,
M0005,2,SilverWolf,burst,2,
M0005,3,UnicornSting,spin,1,
M0005,4,SilverWolf,extreme,3,
M0006,1,SharkScale,pocket,2,
M0006,2,SharkScale,pocket,2,
M0007,1,WyvernHover,burst,2,
M0007,2,DranDagger,burst,2,
M0007,3,WyvernHover,spin,1,
M0007,4,WyvernHover,pocket,2,
M0008,1,WeissTiger,burst,2,
M0008,2,DranBrave,burst,2,
M0008,3,WeissTiger,spin,1,
M0008,4,DranBrave,pocket,2,
M0009,1,HellsReaper,spin,1,
M0009,2,KnightMail,burst,2,
M0009,3,HellsReaper,pocket,2,
M0009,4,KnightMail,pocket,2,
M0010,1,PerseusDark,burst,2,
M0010,2,PerseusDark,spin,1,
M0010,3,SolEclipse,pocket,2,
M0010,4,PerseusDark,burst,2,
M0011,1,GolemRock,pocket,2,
M0011,2,FoxBrush,burst,2,
M0011,3,GolemRock,spin,1,
M0011,4,FoxBrush,burst,2,
M0012,1,ViperTail,burst,2,
M0012,2,ViperTail,spin,1,
M0012,3,ViperTail,pocket,2,
M0013,1,ImpactDrake,burst,2,
M0013,2,DranSword,pocket,2,
M0013,3,ImpactDrake,pocket,2,
M0014,1,LeonCrest,burst,2,
M0014,2,LeonCrest,burst,2,
M0015,1,ScorpioSpear,burst,2,
M0015,2,CerberusFlame,spin,1,
M0015,3,CerberusFlame,burst,2,
M0015,4,ScorpioSpear,burst,2,
M0016,1,ViperTail,pocket,2,
M0016,2,ViperTail,extreme,3,
M0017,1,LeonCrest,burst,2,
M0017,2,CerberusFlame,spin,1,
M0017,3,LeonCrest,pocket,2,
M0018,1,ImpactDrake,burst,2,
M0018,2,CobaltDragoon,pocket,2,
M0018,3,CobaltDragoon,spin,1,
M0018,4,CobaltDragoon,spin,1,
M0019,1,DranSword,burst,2,
M0019,2,FoxBrush,spin,1,
M0019,3,DranSword,extreme,3,
M0020,1,GolemRock,spin,1,
M0020,2,GolemRock,spin,1,
M0020,3,GolemRock,pocket,2,
M0021,1,WyvernHover,pocket,2,
M0021,2,WyvernHover,pocket,2,
M0022,1,KnightMail,burst,2,
M0022,2,KnightMail,spin,1,
M0022,3,KnightMail,spin,1,
M0023,1,HellsReaper,pocket,2,
M0023,2,HellsReaper,spin,1,
M0023,3,HellsReaper,spin,1,
M0024,1,DranBrave,pocket,2,
M0024,2,DranBrave,extreme,3,
M0025,1,SharkScale,burst,2,
M0025,2,DranDagger,pocket,2,
M0025,3,SharkScale,spin,1,
M0025,4,SharkScale,pocket,2,
M0026,1,LeonClaw,pocket,2,
M0026,2,SilverWolf,pocket,2,
M0026,3,LeonClaw,extreme,3,
M0027,1,WizardRod,spin,1,
M0027,2,UnicornSting,burst,2,
M0027,3,WizardRod,spin,1,
M0027,4,UnicornSting,pocket,2,
M0028,1,CrimsonGaruda,burst,2,
M0028,2,ValkyrieVolt,spin,1,
M0028,3,ValkyrieVolt,spin,1,
M0028,4,ValkyrieVolt,spin,1,
M0028,5,CrimsonGaruda,spin,1,
M0028,6,ValkyrieVolt,extreme,3,
M0029,1,SharkEdge,pocket,2,
M0029,2,SharkEdge,burst,2,
M0030,1,RhinoReaper,burst,2,
M0030,2,RhinoReaper,burst,2,
M0031,1,RhinoReaper,burst,2,
M0031,2,RhinoReaper,spin,1,
M0031,3,LeonClaw,spin,1,
M0031,4,RhinoReaper,burst,2,
M0032,1,HellsChain,extreme,3,
M0032,2,HellsChain,pocket,2,
M0033,1,SharkEdge,pocket,2,
M0033,2,CrimsonGaruda,spin,1,
M0033,3,CrimsonGaruda,spin,1,
M0033,4,SharkEdge,extreme,3,
M0034,1,UnicornSting,burst,2,
M0034,2,ValkyrieVolt,pocket,2,
M0034,3,ValkyrieVolt,pocket,2,
M0035,1,SilverWolf,spin,1,
M0035,2,SilverWolf,pocket,2,
M0035,3,SilverWolf,spin,1,
M0036,1,WyvernHover,pocket,2,
M0036,2,SharkScale,spin,1,
M0036,3,SharkScale,extreme,3,
M0037,1,DranDagger,spin,1,
M0037,2,DranBrave,spin,1,
M0037,3,DranDagger,spin,1,
M0037,4,DranBrave,pocket,2,
M0037,5,DranBrave,spin,1,
M0038,1,HellsReaper,pocket,2,
M0038,2,PhoenixWing,pocket,2,
M0038,3,PhoenixWing,pocket,2,
M0039,1,WeissTiger,pocket,2,
M0039,2,WeissTiger,pocket,2,
M0040,1,KnightMail,pocket,2,
M0040,2,KnightMail,pocket,2,
M0041,1,GolemRock,extreme,3,
M0041,2,ViperTail,pocket,2,
M0041,3,GolemRock,pocket,2,
M0042,1,DranSword,pocket,2,
M0042,2,DranSword,extreme,3,
M0043,1,CobaltDragoon,spin,1,
M0043,2,FoxBrush,spin,1,
M0043,3,FoxBrush,burst,2,
M0043,4,FoxBrush,pocket,2,
M0044,1,ImpactDrake,extreme,3,
M0044,2,CerberusFlame,spin,1,
M0044,3,CerberusFlame,pocket,2,
M0044,4,ImpactDrake,burst,2,
M0045,1,LeonCrest,burst,2,
M0045,2,ScorpioSpear,pocket,2,
M0045,3,ScorpioSpear,extreme,3,
M0046,1,HellsBrave,pocket,2,
M0046,2,HellsBrave,spin,1,
M0046,3,TyrannoRoar,pocket,2,
M0046,4,TyrannoRoar,spin,1,
M0046,5,TyrannoRoar,extreme,3,
M0047,1,TyrannoRoar,pocket,2,
M0047,2,TyrannoRoar,pocket,2,
M0048,1,HellsBrave,extreme,3,
M0048,2,HellsBrave,burst,2,
M0049,1,TyrannoRoar,burst,2,
M0049,2,TyrannoRoar,burst,2,
M0050,1,ClockMirage,burst,2,
M0050,2,EmperorMight,burst,2,
M0050,3,ClockMirage,spin,1,
M0050,4,ClockMirage,spin,1,
M0051,1,ClockMirage,spin,1,
M0051,2,ClockMirage,spin,1,
M0051,3,WizardRod,burst,2,
M0051,4,ClockMirage,burst,2,
M0052,1,SilverWolf,spin,1,
M0052,2,SilverWolf,pocket,2,
M0052,3,SilverWolf,pocket,2,
M0053,1,CobaltDrake,stadium_exit,2,
M0053,2,TyrannoRoar,spin,1,
M0053,3,TyrannoRoar,spin,1,
M0053,4,TyrannoRoar,pocket,2,
M0054,1,HellsBrave,burst,2,
M0054,2,HellsBrave,burst,2,
M0055,1,PerseusDark,spin,1,
M0055,2,CerberusFlame,spin,1,
M0055,3,CerberusFlame,spin,1,
M0055,4,CerberusFlame,spin,1,
M0055,5,CerberusFlame,pocket,2,
