MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-06-07,TyrannoBeat,LeonClaw,0,5,season,S3,4,1,Xtreme
M0002,2026-06-07,TriceraPress,HellsHammer,3,4,season,S3,4,1,Xtreme
M0003,2026-06-07,DranDagger,DranBuster,4,2,season,S3,4,1,Xtreme
M0004,2026-06-07,PhoenixRudder,SharkEdge,4,0,season,S3,4,1,Xtreme
M0005,2026-06-07,WyvernHover,HellsBrave,2,5,season,S3,3,1,Xtreme
M0006,2026-06-07,HellsChain,WizardArc,4,0,season,S3,3,1,Xtreme
M0007,2026-06-07,KnightMail,PerseusDark,4,1,season,S3,3,1,Xtreme
M0008,2026-06-07,HellsReaper,RhinoReaper,0,4,season,S3,3,1,Xtreme
M0009,2026-06-07,PhoenixWing,LeonCrest,0,4,season,S3,2,1,Xtreme
M0010,2026-06-07,DranBrave,CerberusFlame,4,0,season,S3,2,1,Xtreme
M0011,2026-06-07,ViperTail,GolemRock,4,0,season,S3,2,1,Xtreme
M0012,2026-06-07,WeissTiger,SilverWolf,4,0,season,S3,2,1,Xtreme
M0013,2026-06-07,ScorpioSpear,ImpactDrake,0,6,season,S3,1,1,Xtreme
M0014,2026-06-07,FoxBrush,CobaltDragoon,4,3,season,S3,1,1,Xtreme
M0015,2026-06-07,TuskMammoth,DranSword,4,2,season,S3,1,1,Xtreme
M0016,2026-06-07,SharkScale,ValkyrieVolt,2,4,season,S3,1,1,Xtreme
M0017,2026-06-07,DranBuster,PhoenixRudder,4,2,season,S3,4,2,Xtreme
M0018,2026-06-07,SharkEdge,TyrannoBeat,5,0,season,S3,4,2,Xtreme
M0019,2026-06-07,HellsHammer,DranDagger,2,5,season,S3,4,2,Xtreme
M0020,2026-06-07,LeonClaw,TriceraPress,0,4,season,S3,4,2,Xtreme
M0021,2026-06-07,PerseusDark,HellsReaper,4,0,season,S3,3,2,Xtreme
M0022,2026-06-07,RhinoReaper,WyvernHover,2,4,season,S3,3,2,Xtreme
M0023,2026-06-07,WizardArc,KnightMail,2,4,season,S3,3,2,Xtreme
M0024,2026-06-07,HellsBrave,HellsChain,3,4,season,S3,3,2,Xtreme
M0025,2026-06-07,GolemRock,WeissTiger,1,4,season,S3,2,2,Xtreme
M0026,2026-06-07,SilverWolf,PhoenixWing,4,2,season,S3,2,2,Xtreme
M0027,2026-06-07,CerberusFlame,ViperTail,4,3,season,S3,2,2,Xtreme
M0028,2026-06-07,LeonCrest,DranBrave,2,5,season,S3,2,2,Xtreme
M0029,2026-06-07,DranSword,SharkScale,4,0,season,S3,1,2,Xtreme
M0030,2026-06-07,ValkyrieVolt,ScorpioSpear,1,5,season,S3,1,2,Xtreme
M0031,2026-06-07,CobaltDragoon,TuskMammoth,4,2,season,S3,1,2,Xtreme
M0032,2026-06-07,ImpactDrake,FoxBrush,6,3,season,S3,1,2,Xtreme
M0033,2026-06-07,PhoenixRudder,HellsHammer,0,4,season,S3,4,3,Xtreme
M0034,2026-06-07,DranDagger,LeonClaw,2,4,season,S3,4,3,Xtreme
M0035,2026-06-07,TyrannoBeat,TriceraPress,0,4,season,S3,4,3,Xtreme
M0036,2026-06-07,SharkEdge,DranBuster,1,5,season,S3,4,3,Xtreme
M0037,2026-06-07,HellsReaper,WizardArc,4,2,season,S3,3,3,Xtreme
M0038,2026-06-07,KnightMail,HellsBrave,4,2,season,S3,3,3,Xtreme
M0039,2026-06-07,WyvernHover,HellsChain,0,4,season,S3,3,3,Xtreme
M0040,2026-06-07,RhinoReaper,PerseusDark,4,0,season,S3,3,3,Xtreme
M0041,2026-06-07,WeissTiger,CerberusFlame,1,4,season,S3,2,3,Xtreme
M0042,2026-06-07,ViperTail,LeonCrest,0,4,season,S3,2,3,Xtreme
M0043,2026-06-07,PhoenixWing,DranBrave,2,4,season,S3,2,3,Xtreme
M0044,2026-06-07,SilverWolf,GolemRock,4,2,season,S3,2,3,Xtreme
M0045,2026-06-07,SharkScale,CobaltDragoon,5,0,season,S3,1,3,Xtreme
M0046,2026-06-07,TuskMammoth,ImpactDrake,1,4,season,S3,1,3,Xtreme
M0047,2026-06-07,ScorpioSpear,FoxBrush,0,5,season,S3,1,3,Xtreme
M0048,2026-06-07,ValkyrieVolt,DranSword,5,0,season,S3,1,3,Xtreme
