MatchID,round_number,winner,finish_type,points_awarded,notes
M0001,1,ValkyrieVolt,spin,1,
M0001,2,ValkyrieVolt,pocket,2,
M0001,3,ValkyrieVolt,spin,1,
M0002,1,SharkScale,stadium_exit,2,
M0002,2,ScorpioSpear,extreme,3,
M0002,3,SharkScale,extreme,3,
M0003,1,ImpactDrake,pocket,2,
M0003,2,ImpactDrake,burst,2,
M0004,1,TuskMammoth,spin,1,
M0004,2,TuskMammoth,spin,1,
M0004,3,TuskMammoth,spin,1,
M0004,4,TuskMammoth,extreme,3,
M0005,1,ScorpioSpear,spin,1,
M0005,2,LeonCrest,extreme,3,
M0005,3,LeonCrest,pocket,2,
M0006,1,WeissTiger,pocket,2,
M0006,2,KnightMail,spin,1,
M0006,3,WeissTiger,pocket,2,
M0007,1,ValkyrieVolt,pocket,2,
M0007,2,ValkyrieVolt,spin,1,
M0007,3,SharkScale,spin,1,
M0007,4,ValkyrieVolt,pocket,2,
M0008,1,ImpactDrake,spin,1,
M0008,2,ImpactDrake,burst,2,
M0008,3,TuskMammoth,spin,1,
M0008,4,TuskMammoth,spin,1,
M0008,5,ImpactDrake,pocket,2,
M0009,1,SharkScale,pocket,2,
M0009,2,WeissTiger,spin,1,
M0009,3,SharkScale,spin,1,
M0009,4,WeissTiger,spin,1,
M0009,5,SharkScale,extreme,3,
M0010,1,LeonCrest,pocket,2,
M0010,2,TuskMammoth,spin,1,
M0010,3,TuskMammoth,burst,2,
M0010,4,LeonCrest,spin,1,
M0010,5,TuskMammoth,pocket,2,
M0011,1,TuskMammoth,pocket,2,
M0011,2,TuskMammoth,spin,1,
M0011,3,SharkScale,pocket,2,
M0011,4,TuskMammoth,extreme,3,
M0012,1,ImpactDrake,extreme,3,
M0012,2,ValkyrieVolt,pocket,2,
M0012,3,ImpactDrake,burst,2,
M0013,1,KnightMail,spin,1,
M0013,2,KnightMail,spin,1,
M0013,3,KnightMail,extreme,3,
M0014,1,LeonCrest,spin,1,
M0014,2,WeissTiger,spin,1,
M0014,3,WeissTiger,pocket,2,
M0014,4,LeonCrest,pocket,2,
M0014,5,LeonCrest,spin,1,
M0015,1,ValkyrieVolt,pocket,2,
M0015,2,TuskMammoth,pocket,2,
M0015,3,TuskMammoth,spin,1,
M0015,4,TuskMammoth,pocket,2,
M0016,1,ImpactDrake,pocket,2,
M0016,2,ImpactDrake,pocket,2,
M0016,3,ImpactDrake,spin,1,
M0016,4,ImpactDrake,spin,1,
M0016,5,TuskMammoth,pocket,2,
M0016,6,ImpactDrake,spin,1,
M0017,1,TyrannoRoar,pocket,2,
M0017,2,CobaltDrake,pocket,2,
M0017,3,CobaltDrake,extreme,3,
M0018,1,HellsBrave,extreme,3,
M0018,2,HellsBrave,burst,2,
M0019,1,EmperorMight,burst,2,
M0019,2,EmperorMight,burst,2,
