MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-01-30,HellsChain,CrimsonGaruda,4,2,season,S1,3,1,Xtreme
M0002,2026-01-30,SharkEdge,WizardRod,4,3,season,S1,3,1,Xtreme
M0003,2026-01-30,WhaleWave,SilverWolf,3,4,season,S1,3,1,Xtreme
M0004,2026-01-30,RhinoReaper,UnicornSting,2,4,season,S1,3,1,Xtreme
M0005,2026-01-30,LeonClaw,ValkyrieVolt,4,2,season,S1,3,1,Xtreme
M0006,2026-01-30,DranBrave,HellsReaper,3,4,season,S1,2,1,Xtreme
M0007,2026-01-30,PhoenixWing,KnightMail,0,4,season,S1,2,1,Xtreme
M0008,2026-01-30,DranDagger,PerseusDark,3,5,season,S1,2,1,Xtreme
M0009,2026-01-30,SharkScale,SolEclipse,6,2,season,S1,2,1,Xtreme
M0010,2026-01-30,WyvernHover,WeissTiger,4,2,season,S1,2,1,Xtreme
M0011,2026-01-30,DranSword,CobaltDragoon,1,4,season,S1,1,1,Xtreme
M0012,2026-01-30,FoxBrush,LeonCrest,0,4,season,S1,1,1,Xtreme
M0013,2026-01-30,TuskMammoth,ScorpioSpear,4,0,season,S1,1,1,Xtreme
M0014,2026-01-30,GolemRock,CerberusFlame,4,3,season,S1,1,1,Xtreme
M0015,2026-01-30,ViperTail,ImpactDrake,0,4,season,S1,1,1,Xtreme
