MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-02-11,ValkyrieVolt,SharkEdge,4,0,season,S1,3,2,Xtreme
M0002,2026-02-11,UnicornSting,HellsChain,0,4,season,S1,3,2,Xtreme
M0003,2026-02-11,SilverWolf,RhinoReaper,2,4,season,S1,3,2,Xtreme
M0004,2026-02-11,WizardRod,WhaleWave,4,2,season,S1,3,2,Xtreme
M0005,2026-02-11,CrimsonGaruda,LeonClaw,2,5,season,S1,3,2,Xtreme
M0006,2026-02-11,WeissTiger,PhoenixWing,4,0,season,S1,2,2,Xtreme
M0007,2026-02-11,SolEclipse,DranBrave,0,4,season,S1,2,2,Xtreme
M0008,2026-02-11,PerseusDark,SharkScale,2,5,season,S1,2,2,Xtreme
M0009,2026-02-11,KnightMail,DranDagger,6,2,season,S1,2,2,Xtreme
M0010,2026-02-11,HellsReaper,WyvernHover,1,4,season,S1,2,2,Xtreme
M0011,2026-02-11,ImpactDrake,FoxBrush,6,0,season,S1,1,2,Xtreme
M0012,2026-02-11,CerberusFlame,DranSword,1,4,season,S1,1,2,Xtreme
M0013,2026-02-11,ScorpioSpear,GolemRock,4,0,season,S1,1,2,Xtreme
M0014,2026-02-11,LeonCrest,TuskMammoth,0,4,season,S1,1,2,Xtreme
M0015,2026-02-11,CobaltDragoon,ViperTail,6,2,season,S1,1,2,Xtreme
M0016,2026-02-11,DranSword,ScorpioSpear,0,5,season,S1,1,3,Xtreme
M0017,2026-02-11,TuskMammoth,ImpactDrake,5,2,season,S1,1,3,Xtreme
M0018,2026-02-11,GolemRock,LeonCrest,0,5,season,S1,1,3,Xtreme
M0019,2026-02-11,ViperTail,FoxBrush,2,4,season,S1,1,3,Xtreme
M0020,2026-02-11,CobaltDragoon,CerberusFlame,4,0,season,S1,1,3,Xtreme
M0021,2026-02-11,DranBrave,PerseusDark,0,4,season,S1,2,3,Xtreme
M0022,2026-02-11,DranDagger,WeissTiger,2,5,season,S1,2,3,Xtreme
M0023,2026-02-11,SharkScale,KnightMail,4,0,season,S1,2,3,Xtreme
M0024,2026-02-11,WyvernHover,PhoenixWing,4,0,season,S1,2,3,Xtreme
M0025,2026-02-11,HellsReaper,SolEclipse,4,0,season,S1,2,3,Xtreme
M0026,2026-02-11,HellsChain,SilverWolf,2,5,season,S1,3,3,Xtreme
M0027,2026-02-11,WhaleWave,ValkyrieVolt,0,4,season,S1,3,3,Xtreme
M0028,2026-02-11,RhinoReaper,WizardRod,5,1,season,S1,3,3,Xtreme
M0029,2026-02-11,LeonClaw,SharkEdge,4,3,season,S1,3,3,Xtreme
M0030,2026-02-11,CrimsonGaruda,UnicornSting,0,4,season,S1,3,3,Xtreme
M0031,2026-02-11,EmperorMight,WolfHunt,0,4,exhibition,,,,Xtreme
M0032,2026-02-11,TuskMammoth,EmperorMight,4,0,exhibition,,,,Xtreme
M0033,2026-02-11,TuskMammoth,WolfHunt,4,0,exhibition,,,,Xtreme
M0034,2026-02-11,TuskMammoth,WyvernHover,4,0,exhibition,,,,Xtreme
M0035,2026-02-11,TuskMammoth,ValkyrieVolt,0,5,exhibition,,,,Xtreme
M0036,2026-02-11,SharkScale,CerberusFlame,4,1,exhibition,,,,Xtreme
M0037,2026-02-11,SolEclipse,SharkEdge,5,0,exhibition,,,,Xtreme
M0038,2026-02-11,EmperorMight,WolfHunt,4,2,exhibition,,,,DropAttack
M0039,2026-02-11,PhoenixWing,CobaltDragoon,2,4,exhibition,,,,DropAttack
M0040,2026-02-11,ImpactDrake,CobaltDrake,3,2,exhibition,,,,DropAttack
