match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,ValkyrieVolt,pocket,2,
M0001,2,ValkyrieVolt,burst,2,
M0002,1,HellsChain,burst,2,
M0002,2,HellsChain,burst,2,
M0003,1,RhinoReaper,spin,1,
M0003,2,RhinoReaper,spin,1,
M0003,3,SilverWolf,spin,1,
M0003,4,RhinoReaper,spin,1,
M0003,5,SilverWolf,spin,1,
M0003,6,RhinoReaper,spin,1,
M0004,1,WizardRod,spin,1,
M0004,2,WizardRod,spin,1,
M0004,3,WhaleWave,burst,2,
M0004,4,WizardRod,burst,2,
M0005,1,LeonClaw,burst,2,
M0005,2,LeonClaw,spin,1,
M0005,3,CrimsonGaruda,burst,2,
M0005,4,LeonClaw,pocket,2,
M0006,1,WeissTiger,spin,1,
M0006,2,WeissTiger,pocket,2,
M0006,3,WeissTiger,spin,1,
M0007,1,DranBrave,burst,2,
M0007,2,DranBrave,burst,2,
M0008,1,PerseusDark,spin,1,
M0008,2,SharkScale,extreme,3,
M0008,3,PerseusDark,spin,1,
M0008,4,SharkScale,burst,2,
M0009,1,KnightMail,spin,1,
M0009,2,KnightMail,burst,2,
M0009,3,DranDagger,pocket,2,
M0009,4,KnightMail,extreme,3,
M0010,1,HellsReaper,spin,1,
M0010,2,WyvernHover,extreme,3,
M0010,3,WyvernHover,spin,1,
M0011,1,ImpactDrake,extreme,3,
M0011,2,ImpactDrake,extreme,3,
M0012,1,CerberusFlame,spin,1,
M0012,2,DranSword,burst,2,
M0012,3,DranSword,pocket,2,
M0013,1,ScorpioSpear,pocket,2,
M0013,2,ScorpioSpear,burst,2,
M0014,1,TuskMammoth,pocket,2,
M0014,2,TuskMammoth,spin,1,
M0014,3,TuskMammoth,spin,1,
M0015,1,ViperTail,burst,2,
M0015,2,CobaltDragoon,pocket,2,
M0015,3,CobaltDragoon,spin,1,
M0015,4,CobaltDragoon,extreme,3,
M0016,1,ScorpioSpear,burst,2,
M0016,2,ScorpioSpear,spin,1,
M0016,3,ScorpioSpear,burst,2,
M0017,1,ImpactDrake,pocket,2,
M0017,2,TuskMammoth,pocket,2,
M0017,3,TuskMammoth,extreme,3,
M0018,1,LeonCrest,pocket,2,
M0018,2,LeonCrest,extreme,3,
M0019,1,ViperTail,burst,2,
M0019,2,FoxBrush,burst,2,
M0019,3,FoxBrush,pocket,2,
M0020,1,CobaltDragoon,pocket,2,
M0020,2,CobaltDragoon,pocket,2,
M0021,1,PerseusDark,spin,1,
M0021,2,PerseusDark,spin,1,
M0021,3,PerseusDark,pocket,2,
M0022,1,WeissTiger,pocket,2,
M0022,2,WeissTiger,spin,1,
M0022,3,DranDagger,spin,1,
M0022,4,DranDagger,spin,1,
M0022,5,WeissTiger,pocket,2,
M0023,1,SharkScale,burst,2,
M0023,2,SharkScale,burst,2,
M0024,1,WyvernHover,extreme,3,
M0024,2,WyvernHover,spin,1,
M0025,1,HellsReaper,burst,2,
M0025,2,HellsReaper,pocket,2,
M0026,1,HellsChain,spin,1,
M0026,2,SilverWolf,extreme,3,
M0026,3,HellsChain,spin,1,
M0026,4,SilverWolf,pocket,2,
M0027,1,ValkyrieVolt,burst,2,
M0027,2,ValkyrieVolt,pocket,2,
M0028,1,WizardRod,spin,1,
M0028,2,RhinoReaper,burst,2,
M0028,3,RhinoReaper,spin,1,
M0028,4,RhinoReaper,burst,2,
M0029,1,SharkEdge,extreme,3,
M0029,2,LeonClaw,burst,2,
M0029,3,LeonClaw,pocket,2,
M0030,1,UnicornSting,pocket,2,
M0030,2,UnicornSting,pocket,2,
M0031,1,WolfHunt,spin,1,
M0031,2,WolfHunt,extreme,3,
M0032,1,TuskMammoth,burst,2,
M0032,2,TuskMammoth,burst,2,
M0033,1,TuskMammoth,pocket,2,
M0033,2,TuskMammoth,burst,2,
M0034,1,TuskMammoth,pocket,2,
M0034,2,TuskMammoth,pocket,2,
M0035,1,ValkyrieVolt,pocket,2,
M0035,2,ValkyrieVolt,spin,1,
M0035,3,ValkyrieVolt,pocket,2,
M0036,1,CerberusFlame,spin,1,
M0036,2,SharkScale,pocket,2,
M0036,3,SharkScale,pocket,2,
M0037,1,SolEclipse,spin,1,
M0037,2,SolEclipse,pocket,2,
M0037,3,SolEclipse,burst,2,
M0038,1,EmperorMight,pocket,2,
M0038,2,WolfHunt,pocket,2,
M0038,3,EmperorMight,burst,2,
M0039,1,CobaltDragoon,pocket,2,
M0039,2,PhoenixWing,pocket,2,
M0039,3,CobaltDragoon,pocket,2,
M0040,1,CobaltDrake,pocket,2,
M0040,2,ImpactDrake,extreme,3,
