MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-02-13,WizardArc,LeonClaw,4,0,exhibition,,,,DropAttack
M0002,2026-02-13,SamuraiSaber,CobaltDrake,2,6,exhibition,,,,DropAttack
M0003,2026-02-13,PhoenixWing,ValkyrieVolt,0,5,exhibition,,,,DropAttack
M0004,2026-02-13,TuskMammoth,LeonCrest,0,4,exhibition,,,,DropAttack
M0005,2026-02-13,WizardArc,CobaltDrake,4,2,exhibition,,,,DropAttack
M0006,2026-02-13,ValkyrieVolt,LeonCrest,5,2,exhibition,,,,DropAttack
M0007,2026-02-13,CobaltDrake,LeonCrest,4,1,exhibition,,,,DropAttack
M0008,2026-02-13,WizardArc,ValkyrieVolt,3,8,exhibition,,,,DropAttack
M0009,2026-02-13,WizardRod,HellsChain,0,4,season,S1,3,4,DropAttack
M0010,2026-02-13,SilverWolf,CrimsonGaruda,0,4,season,S1,3,4,DropAttack
M0011,2026-02-13,UnicornSting,LeonClaw,0,4,season,S1,3,4,DropAttack
M0012,2026-02-13,ValkyrieVolt,RhinoReaper,5,3,season,S1,3,4,DropAttack
M0013,2026-02-13,SharkEdge,WhaleWave,4,1,season,S1,3,4,DropAttack
M0014,2026-02-13,KnightMail,DranBrave,2,4,season,S1,2,4,DropAttack
M0015,2026-02-13,PerseusDark,HellsReaper,4,0,season,S1,2,4,DropAttack
M0016,2026-02-13,SolEclipse,WyvernHover,4,1,season,S1,2,4,DropAttack
M0017,2026-02-13,WeissTiger,SharkScale,4,3,season,S1,2,4,DropAttack
M0018,2026-02-13,PhoenixWing,DranDagger,1,4,season,S1,2,4,DropAttack
M0019,2026-02-13,LeonCrest,DranSword,4,0,season,S1,1,4,DropAttack
M0020,2026-02-13,ScorpioSpear,CobaltDragoon,4,0,season,S1,1,4,DropAttack
M0021,2026-02-13,CerberusFlame,ViperTail,4,0,season,S1,1,4,DropAttack
M0022,2026-02-13,ImpactDrake,GolemRock,4,0,season,S1,1,4,DropAttack
M0023,2026-02-13,FoxBrush,TuskMammoth,2,6,season,S1,1,4,DropAttack
