match_id,round_number,winner,finish_type,points_awarded,notes
M0001,1,WizardArc,pocket,2,
M0001,2,WizardArc,pocket,2,
M0002,1,CobaltDrake,extreme,3,
M0002,2,SamuraiSaber,pocket,2,
M0002,3,CobaltDrake,extreme,3,
M0003,1,ValkyrieVolt,pocket,2,
M0003,2,ValkyrieVolt,extreme,3,
M0004,1,LeonCrest,spin,1,
M0004,2,LeonCrest,spin,1,
M0004,3,LeonCrest,pocket,2,
M0005,1,CobaltDrake,pocket,2,
M0005,2,WizardArc,pocket,2,
M0005,3,WizardArc,pocket,2,
M0006,1,LeonCrest,spin,1,
M0006,2,ValkyrieVolt,pocket,2,
M0006,3,LeonCrest,spin,1,
M0006,4,ValkyrieVolt,extreme,3,
M0007,1,CobaltDrake,pocket,2,
M0007,2,LeonCrest,spin,1,
M0007,3,CobaltDrake,pocket,2,
M0008,1,ValkyrieVolt,pocket,2,
M0008,2,WizardArc,pocket,2,
M0008,3,ValkyrieVolt,pocket,2,
M0008,4,ValkyrieVolt,burst,2,
M0008,5,WizardArc,spin,1,
M0008,6,ValkyrieVolt,pocket,2,
M0009,1,HellsChain,burst,2,
M0009,2,HellsChain,pocket,2,
M0010,1,CrimsonGaruda,burst,2,
M0010,2,CrimsonGaruda,burst,2,
M0011,1,LeonClaw,pocket,2,
M0011,2,LeonClaw,burst,2,
M0012,1,RhinoReaper,spin,1,
M0012,2,RhinoReaper,spin,1,
M0012,3,ValkyrieVolt,pocket,2,
M0012,4,RhinoReaper,spin,1,
M0012,5,ValkyrieVolt,extreme,3,
M0013,1,SharkEdge,burst,2,
M0013,2,WhaleWave,spin,1,
M0013,3,SharkEdge,burst,2,
M0014,1,DranBrave,pocket,2,
M0014,2,KnightMail,spin,1,
M0014,3,KnightMail,spin,1,
M0014,4,DranBrave,pocket,2,
M0015,1,PerseusDark,spin,1,
M0015,2,PerseusDark,spin,1,
M0015,3,PerseusDark,pocket,2,
M0016,1,SolEclipse,burst,2,
M0016,2,WyvernHover,spin,1,
M0016,3,SolEclipse,burst,2,
M0017,1,SharkScale,burst,2,
M0017,2,WeissTiger,extreme,3,
M0017,3,SharkScale,spin,1,
M0017,4,WeissTiger,spin,1,
M0018,1,DranDagger,pocket,2,
M0018,2,PhoenixWing,spin,1,
M0018,3,DranDagger,pocket,2,
M0019,1,LeonCrest,pocket,2,
M0019,2,LeonCrest,spin,1,
M0019,3,LeonCrest,spin,1,
M0020,1,ScorpioSpear,pocket,2,
M0020,2,ScorpioSpear,pocket,2,
M0021,1,CerberusFlame,burst,2,
M0021,2,CerberusFlame,spin,1,
M0021,3,CerberusFlame,spin,1,
M0022,1,ImpactDrake,burst,2,
M0022,2,ImpactDrake,pocket,2,
M0023,1,FoxBrush,pocket,2,
M0023,2,TuskMammoth,pocket,2,
M0023,3,TuskMammoth,spin,1,
M0023,4,TuskMammoth,extreme,3,
