MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,2026-02-26,RhinoReaper,SharkEdge,3,4,season,S1,3,5,Xtreme
M0002,2026-02-26,LeonClaw,WhaleWave,2,4,season,S1,3,5,Xtreme
M0003,2026-02-26,HellsChain,ValkyrieVolt,0,5,season,S1,3,5,Xtreme
M0004,2026-02-26,CrimsonGaruda,WizardRod,2,4,season,S1,3,5,Xtreme
M0005,2026-02-26,UnicornSting,SilverWolf,3,5,season,S1,3,5,Xtreme
M0006,2026-02-26,SharkScale,PhoenixWing,4,0,season,S1,2,5,Xtreme
M0007,2026-02-26,WyvernHover,DranDagger,5,2,season,S1,2,5,Xtreme
M0008,2026-02-26,DranBrave,WeissTiger,4,3,season,S1,2,5,Xtreme
M0009,2026-02-26,HellsReaper,KnightMail,3,4,season,S1,2,5,Xtreme
M0010,2026-02-26,SolEclipse,PerseusDark,2,5,season,S1,2,5,Xtreme
M0011,2026-02-26,GolemRock,FoxBrush,3,4,season,S1,1,5,Xtreme
M0012,2026-02-26,ViperTail,TuskMammoth,5,0,season,S1,1,5,Xtreme
M0013,2026-02-26,DranSword,ImpactDrake,2,4,season,S1,1,5,Xtreme
M0014,2026-02-26,CobaltDragoon,LeonCrest,0,4,season,S1,1,5,Xtreme
M0015,2026-02-26,CerberusFlame,ScorpioSpear,3,4,season,S1,1,5,Xtreme
M0016,2026-02-26,ScorpioSpear,ViperTail,0,5,season,S1,1,6,Xtreme
M0017,2026-02-26,LeonCrest,CerberusFlame,4,1,season,S1,1,6,Xtreme
M0018,2026-02-26,ImpactDrake,CobaltDragoon,2,4,season,S1,1,6,Xtreme
M0019,2026-02-26,FoxBrush,DranSword,1,5,season,S1,1,6,Xtreme
M0020,2026-02-26,TuskMammoth,GolemRock,0,4,season,S1,1,6,Xtreme
M0021,2026-02-26,PerseusDark,WyvernHover,0,4,season,S1,2,6,Xtreme
M0022,2026-02-26,KnightMail,SolEclipse,4,0,season,S1,2,6,Xtreme
M0023,2026-02-26,WeissTiger,HellsReaper,0,4,season,S1,2,6,Xtreme
M0024,2026-02-26,PhoenixWing,DranBrave,0,5,season,S1,2,6,Xtreme
M0025,2026-02-26,DranDagger,SharkScale,2,5,season,S1,2,6,Xtreme
M0026,2026-02-26,SilverWolf,LeonClaw,2,5,season,S1,3,6,Xtreme
M0027,2026-02-26,WizardRod,UnicornSting,2,4,season,S1,3,6,Xtreme
M0028,2026-02-26,ValkyrieVolt,CrimsonGaruda,6,3,season,S1,3,6,Xtreme
M0029,2026-02-26,SharkEdge,HellsChain,4,0,season,S1,3,6,Xtreme
M0030,2026-02-26,WhaleWave,RhinoReaper,0,4,season,S1,3,6,Xtreme
M0031,2026-02-26,LeonClaw,RhinoReaper,1,5,season,S1,3,7,Xtreme
M0032,2026-02-26,HellsChain,WhaleWave,5,0,season,S1,3,7,Xtreme
M0033,2026-02-26,CrimsonGaruda,SharkEdge,2,5,season,S1,3,7,Xtreme
M0034,2026-02-26,UnicornSting,ValkyrieVolt,2,4,season,S1,3,7,Xtreme
M0035,2026-02-26,SilverWolf,WizardRod,4,0,season,S1,3,7,Xtreme
M0036,2026-02-26,WyvernHover,SharkScale,2,4,season,S1,2,7,Xtreme
M0037,2026-02-26,DranBrave,DranDagger,4,2,season,S1,2,7,Xtreme
M0038,2026-02-26,HellsReaper,PhoenixWing,2,4,season,S1,2,7,Xtreme
M0039,2026-02-26,SolEclipse,WeissTiger,0,4,season,S1,2,7,Xtreme
M0040,2026-02-26,PerseusDark,KnightMail,0,4,season,S1,2,7,Xtreme
M0041,2026-02-26,ViperTail,GolemRock,2,5,season,S1,1,7,Xtreme
M0042,2026-02-26,DranSword,TuskMammoth,5,0,season,S1,1,7,Xtreme
M0043,2026-02-26,CobaltDragoon,FoxBrush,1,5,season,S1,1,7,Xtreme
M0044,2026-02-26,CerberusFlame,ImpactDrake,3,5,season,S1,1,7,Xtreme
M0045,2026-02-26,ScorpioSpear,LeonCrest,5,2,season,S1,1,7,Xtreme
M0046,2026-02-26,HellsBrave,TyrannoRoar,3,6,exhibition,,,,Xtreme
M0047,2026-02-26,TyrannoRoar,ClockMirage,4,0,exhibition,,,,Xtreme
M0048,2026-02-26,ClockMirage,HellsBrave,0,5,exhibition,,,,Xtreme
M0049,2026-02-26,TyrannoBeat,TyrannoRoar,0,4,exhibition,,,,Xtreme
M0050,2026-02-26,ClockMirage,EmperorMight,4,2,exhibition,,,,Xtreme
M0051,2026-02-26,ClockMirage,WizardRod,4,2,exhibition,,,,Xtreme
M0052,2026-02-26,WolfHunt,SilverWolf,0,5,exhibition,,,,Xtreme
M0053,2026-02-26,TyrannoRoar,CobaltDrake,4,2,exhibition,,,,Xtreme
M0054,2026-02-26,HellsBrave,EmperorMight,4,0,exhibition,,,,Xtreme
M0055,2026-02-26,PerseusDark,CerberusFlame,1,5,exhibition,,,,Xtreme
