Date,BeyA,BeyB,ScoreA,ScoreB
2025-09-07,ViperTail,WizardArc,4,2
2025-09-07,SamuraiSaber,TuskMammoth,2,4
2025-09-07,BlackShell,GolemRock,0,4
2025-09-07,LeonCrest,ImpactDrake,3,4
2025-09-07,DranBrave,HellsReaper,4,2
2025-09-07,HellsHammer,DranSword,3,4
2025-09-07,DranDagger,CrimsonGaruda,4,0
2025-09-07,LeonClaw,UnicornSting,0,4
2025-09-07,FoxBrush,DranBuster,5,0
2025-09-07,HellsChain,TyrannoBeat,2,4
2025-09-07,PhoenixWing,WizardArrow,4,3
2025-09-07,SharkEdge,CobaltDragoon,0,5
2025-09-07,PerseusDark,WhaleWave,5,0
2025-09-07,SilverWolf,WizardRod,3,4
2025-09-07,WeissTiger,RhinoReaper,4,0
2025-09-07,ScorpioSpear,PhoenixRudder,2,4
2025-09-07,ViperTail,TuskMammoth,2,5
2025-09-07,GolemRock,ImpactDrake,0,4
2025-09-07,DranBrave,DranSword,3,5
2025-09-07,DranDagger,UnicornSting,1,4
2025-09-07,FoxBrush,TyrannoBeat,5,2
2025-09-07,PhoenixWing,CobaltDragoon,4,2
2025-09-07,PerseusDark,WizardRod,2,4
2025-09-07,WeissTiger,PhoenixRudder,3,4
2025-09-07,TuskMammoth,ImpactDrake,0,4
2025-09-07,DranSword,UnicornSting,4,1
2025-09-07,FoxBrush,PhoenixWing,4,0
2025-09-07,WizardRod,PhoenixRudder,4,2
2025-09-07,ImpactDrake,DranSword,4,2
2025-09-07,FoxBrush,WizardRod,4,1
2025-09-07,ImpactDrake,FoxBrush,7,0
