Bey,ELO,Matches,Wins,Losses,Winrate,PointsFor,PointsAgainst,AvgPointDiff,Volatility,AvgΔELO,MaxΔELO,MinΔELO,UpsetWins,UpsetLosses,ELOTrend
FoxBrush,1073,10,9,1,90.0%,42,17,2.5,9.6,10.59,16.0,-16.33,0,1,73.23
ImpactDrake,1050,8,7,1,87.5%,33,14,2.38,8.96,8.19,16.63,-7.64,2,1,50.24
CerberusFlame,1026,4,3,1,75.0%,13,6,1.75,10.41,10.77,15.82,-8.35,0,0,26.4
CobaltDragoon,1024,5,3,2,60.0%,20,12,1.6,10.5,9.02,16.0,-5.96,0,2,24.05
DranDagger,1018,5,3,2,60.0%,16,12,0.8,12.98,11.24,16.7,-9.6,1,1,17.79
KnightMail,1017,3,2,1,66.7%,12,7,1.67,10.1,8.21,16.46,-3.62,2,0,17.4
RhinoReaper,1016,6,4,2,66.7%,22,19,0.5,11.39,9.06,17.18,-16.0,4,0,16.33
WeissTiger,1013,3,1,2,33.3%,10,8,0.67,10.21,6.38,16.0,-2.78,0,1,12.87
TuskMammoth,1011,7,5,2,71.4%,25,16,1.29,12.89,10.91,15.87,-17.18,2,1,10.66
UnicornSting,1005,5,3,2,60.0%,14,12,0.4,13.9,11.83,16.0,-16.69,0,2,4.82
ViperTail,1003,4,2,2,50.0%,11,12,-0.25,12.39,9.9,16.12,-11.31,1,1,3.29
DranSword,1001,5,3,2,60.0%,16,15,0.2,8.23,6.47,10.48,-10.91,2,1,1.48
SilverWolf,999,4,2,2,50.0%,11,11,0.0,11.7,8.89,9.84,-15.82,2,0,-0.64
WizardRod,999,5,3,2,60.0%,15,16,-0.2,6.74,5.69,5.96,-8.49,1,0,-1.31
DranBuster,996,3,1,2,33.3%,6,9,-1.0,16.45,12.26,16.49,-16.0,1,0,-3.8
HellsChain,996,3,1,2,33.3%,11,12,-0.33,5.8,4.91,5.25,-5.33,0,1,-4.24
GolemRock,995,4,2,2,50.0%,9,10,-0.25,14.64,11.82,16.0,-16.63,0,1,-4.75
WizardArrow,995,2,0,2,0.0%,6,8,-1.0,0.44,2.6,-2.29,-2.91,0,1,-5.2
PerseusDark,994,3,1,2,33.3%,7,9,-0.67,16.57,12.81,16.0,-16.47,0,2,-6.43
WhaleFlame,994,1,0,1,0.0%,2,4,-2.0,0.0,6.07,-6.07,-6.07,0,1,-6.07
ScorpioSpear,993,4,2,2,50.0%,10,13,-0.75,11.27,8.92,9.14,-15.87,0,0,-6.73
PhoenixRudder,993,4,2,2,50.0%,11,13,-0.5,7.04,5.82,5.33,-9.83,1,1,-7.05
LeonCrest,992,2,0,2,0.0%,5,8,-1.5,2.09,3.77,-2.29,-5.25,0,0,-7.54
WizardArc,991,2,0,2,0.0%,5,9,-2.0,1.44,4.31,-3.3,-5.33,0,0,-8.63
HellsReaper,989,2,0,2,0.0%,4,8,-2.0,0.01,5.33,-5.33,-5.34,0,0,-10.67
TyrannoBeat,989,3,1,2,33.3%,7,11,-1.33,7.84,7.08,5.33,-9.56,0,0,-10.59
PhoenixWing,988,4,2,2,50.0%,11,15,-1.0,9.41,7.21,5.96,-15.35,1,0,-12.35
KeelShark,988,3,1,2,33.3%,6,10,-1.33,12.88,10.41,9.6,-16.0,0,1,-12.04
DranBrave,985,3,1,2,33.3%,7,11,-1.33,10.75,8.53,5.33,-16.12,0,2,-14.93
PegasusBlast,985,1,0,1,0.0%,0,4,-4.0,0.0,14.63,-14.63,-14.63,0,0,-14.63
HellsHammer,982,2,0,2,0.0%,3,9,-3.0,9.19,8.79,-2.29,-15.28,0,0,-17.57
LeonClaw,982,2,0,2,0.0%,2,8,-3.0,9.85,9.04,-2.07,-16.0,0,0,-18.07
BlackShell,981,3,1,2,33.3%,4,9,-1.67,14.92,13.54,10.9,-16.0,1,0,-18.83
WhaleWave,981,3,1,2,33.3%,5,11,-2.0,11.3,10.4,6.07,-16.0,1,0,-19.07
SamuraiSaber,978,2,0,2,0.0%,2,8,-3.0,7.89,10.91,-5.33,-16.49,0,1,-21.82
CrimsonGaruda,974,2,0,2,0.0%,1,8,-3.5,4.53,12.8,-9.6,-16.0,0,0,-25.6
