Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB
2025-09-07,ViperTail,WizardArc,4,2,1000,1000,1005.33,994.67
2025-09-07,SamuraiSaber,TuskMammoth,2,4,1000,1000,994.67,1005.33
2025-09-07,BlackShell,GolemRock,0,4,1000,1000,984.0,1016.0
2025-09-07,LeonCrest,ImpactDrake,3,4,1000,1000,997.71,1002.29
2025-09-07,DranBrave,HellsReaper,4,2,1000,1000,1005.33,994.67
2025-09-07,HellsHammer,DranSword,3,4,1000,1000,997.71,1002.29
2025-09-07,DranDagger,CrimsonGaruda,4,0,1000,1000,1016.0,984.0
2025-09-07,LeonClaw,UnicornSting,0,4,1000,1000,984.0,1016.0
2025-09-07,FoxBrush,DranBuster,5,0,1000,1000,1016.0,984.0
2025-09-07,HellsChain,TyrannoBeat,2,4,1000,1000,994.67,1005.33
2025-09-07,PhoenixWing,WizardArrow,4,3,1000,1000,1002.29,997.71
2025-09-07,KeelShark,CobaltDragoon,0,5,1000,1000,984.0,1016.0
2025-09-07,PerseusDark,WhaleWave,5,0,1000,1000,1016.0,984.0
2025-09-07,SilverWolf,WizardRod,3,4,1000,1000,997.71,1002.29
2025-09-07,WeissTiger,RhinoReaper,4,0,1000,1000,1016.0,984.0
2025-09-07,ScorpioSpear,PhoenixRudder,2,4,1000,1000,994.67,1005.33
2025-09-07,ViperTail,TuskMammoth,2,5,1005.33,1005.33,998.48,1012.19
2025-09-07,GolemRock,ImpactDrake,0,4,1016.0,1002.29,999.37,1018.92
2025-09-07,DranBrave,DranSword,3,5,1005.33,1002.29,1001.19,1006.43
2025-09-07,DranDagger,UnicornSting,1,4,1016.0,1016.0,1006.4,1025.6
2025-09-07,FoxBrush,TyrannoBeat,5,2,1016.0,1005.33,1022.37,998.97
2025-09-07,PhoenixWing,CobaltDragoon,4,2,1002.29,1016.0,1008.25,1010.04
2025-09-07,PerseusDark,WizardRod,2,4,1016.0,1002.29,1010.04,1008.25
2025-09-07,WeissTiger,PhoenixRudder,3,4,1016.0,1005.33,1013.22,1008.11
2025-09-07,TuskMammoth,ImpactDrake,0,4,1012.19,1018.92,996.5,1034.61
2025-09-07,DranSword,UnicornSting,4,1,1006.43,1025.6,1016.91,1015.12
2025-09-07,FoxBrush,PhoenixWing,4,0,1022.37,1008.25,1037.72,992.9
2025-09-07,WizardRod,PhoenixRudder,4,2,1008.25,1008.11,1013.58,1002.78
2025-09-07,ImpactDrake,DranSword,4,2,1034.61,1016.91,1039.13,1012.39
2025-09-07,FoxBrush,WizardRod,4,1,1037.72,1013.58,1046.21,1005.09
2025-09-07,ImpactDrake,FoxBrush,7,0,1039.13,1046.21,1055.45,1029.88
