Platz,Name,ELO,Spiele,Siege,Niederlagen,Gewonnene Punkte,Verlorene Punkte,Differenz
1,ImpactDrake,1055,5,5,0,23,5,18
2,FoxBrush,1030,5,4,1,18,10,8
3,UnicornSting,1015,3,2,1,9,5,4
4,WeissTiger,1013,2,1,1,7,4,3
5,DranSword,1012,4,3,1,15,11,4
6,CobaltDragoon,1010,2,1,1,7,4,3
7,PerseusDark,1010,2,1,1,7,4,3
8,DranDagger,1006,2,1,1,5,4,1
9,WizardRod,1005,4,3,1,13,11,2
10,PhoenixRudder,1003,3,2,1,10,9,1
11,DranBrave,1001,2,1,1,7,7,0
12,GolemRock,999,2,1,1,4,4,0
13,TyrannoBeat,999,2,1,1,6,7,-1
14,ViperTail,998,2,1,1,6,7,-1
15,LeonCrest,998,1,0,1,3,4,-1
16,HellsHammer,998,1,0,1,3,4,-1
17,WizardArrow,998,1,0,1,3,4,-1
18,SilverWolf,998,1,0,1,3,4,-1
19,TuskMammoth,997,3,2,1,9,8,1
20,WizardArc,995,1,0,1,2,4,-2
21,SamuraiSaber,995,1,0,1,2,4,-2
22,HellsReaper,995,1,0,1,2,4,-2
23,HellsChain,995,1,0,1,2,4,-2
24,ScorpioSpear,995,1,0,1,2,4,-2
25,PhoenixWing,993,3,2,1,8,9,-1
26,BlackShell,984,1,0,1,0,4,-4
27,CrimsonGaruda,984,1,0,1,0,4,-4
28,LeonClaw,984,1,0,1,0,4,-4
29,DranBuster,984,1,0,1,0,5,-5
30,KeelShark,984,1,0,1,0,5,-5
31,WhaleWave,984,1,0,1,0,5,-5
32,RhinoReaper,984,1,0,1,0,4,-4
