Bey,Top_Counter,Games_vs_Counter,Wins_vs_Counter,Losses_vs_Counter,Score_for_vs_Counter,Score_against_vs_Counter,Winrate_vs_Counter,Total_Games,Total_Wins,Total_Losses,Overall_Winrate
ViperTail,TuskMammoth,2,0,2,3,10,0.0,4,2,2,0.5
WizardArc,ViperTail,1,0,1,2,4,0.0,2,0,2,0.0
TuskMammoth,ImpactDrake,1,0,1,0,4,0.0,7,5,2,0.71
SamuraiSaber,TuskMammoth,1,0,1,2,4,0.0,2,0,2,0.0
GolemRock,ImpactDrake,1,0,1,0,4,0.0,4,2,2,0.5
BlackShell,GolemRock,1,0,1,0,4,0.0,3,1,2,0.33
ImpactDrake,SilverWolf,1,0,1,2,4,0.0,8,7,1,0.88
LeonCrest,ImpactDrake,1,0,1,3,4,0.0,2,0,2,0.0
DranBrave,DranSword,1,0,1,3,5,0.0,3,1,2,0.33
HellsReaper,DranBrave,1,0,1,2,4,0.0,2,0,2,0.0
DranSword,ImpactDrake,1,0,1,2,4,0.0,5,3,2,0.6
HellsHammer,DranSword,1,0,1,3,4,0.0,2,0,2,0.0
DranDagger,UnicornSting,2,1,1,6,4,0.5,5,3,2,0.6
CrimsonGaruda,DranDagger,1,0,1,0,4,0.0,2,0,2,0.0
UnicornSting,DranDagger,2,1,1,4,6,0.5,5,3,2,0.6
LeonClaw,UnicornSting,1,0,1,0,4,0.0,2,0,2,0.0
FoxBrush,ImpactDrake,1,0,1,0,7,0.0,10,9,1,0.9
DranBuster,FoxBrush,1,0,1,0,5,0.0,3,1,2,0.33
TyrannoBeat,FoxBrush,1,0,1,2,5,0.0,3,1,2,0.33
HellsChain,TyrannoBeat,1,0,1,2,4,0.0,3,1,2,0.33
PhoenixWing,FoxBrush,1,0,1,0,4,0.0,4,2,2,0.5
WizardArrow,PhoenixWing,1,0,1,3,4,0.0,2,0,2,0.0
CobaltDragoon,PhoenixWing,1,0,1,2,4,0.0,5,3,2,0.6
SharkEdge,CobaltDragoon,1,0,1,0,5,0.0,3,1,2,0.33
PerseusDark,WizardRod,1,0,1,2,4,0.0,3,1,2,0.33
WhaleWave,PerseusDark,1,0,1,0,5,0.0,3,1,2,0.33
WizardRod,FoxBrush,1,0,1,1,4,0.0,5,3,2,0.6
SilverWolf,WizardRod,1,0,1,3,4,0.0,4,2,2,0.5
WeissTiger,PhoenixRudder,1,0,1,3,4,0.0,3,1,2,0.33
RhinoReaper,WeissTiger,1,0,1,0,4,0.0,6,4,2,0.67
PhoenixRudder,WizardRod,1,0,1,2,4,0.0,4,2,2,0.5
ScorpioSpear,PhoenixRudder,1,0,1,2,4,0.0,4,2,2,0.5
CerberusFlame,FoxBrush,1,0,1,1,4,0.0,4,3,1,0.75
KnightMail,FoxBrush,1,0,1,2,4,0.0,3,2,1,0.67
PegasusBlast,FoxBrush,1,0,1,0,4,0.0,1,0,1,0.0
WhaleFlame,WhaleWave,1,0,1,2,4,0.0,1,0,1,0.0
