Bey,Bestes_Counter_Bey,Siege_gegen_Counter,Niederlagen_gegen_Counter,Winrate_gegen_Counter(%)
ViperTail,TuskMammoth,0,1,0.00
SamuraiSaber,TuskMammoth,0,1,0.00
BlackShell,GolemRock,0,1,0.00
LeonCrest,ImpactDrake,0,1,0.00
DranBrave,DranSword,0,1,0.00
HellsHammer,DranSword,0,1,0.00
DranDagger,RhinoReaper,0,1,0.00
LeonClaw,UnicornSting,0,1,0.00
FoxBrush,Kein Counter gefunden,0,0,N/A
HellsChain,TyrannoBeat,0,1,0.00
PhoenixWing,Kein Counter gefunden,0,0,N/A
KeelShark,CobaltDragoon,0,1,0.00
PerseusDark,WizardRod,0,1,0.00
SilverWolf,WizardRod,0,1,0.00
WeissTiger,PhoenixRudder,0,1,0.00
ScorpioSpear,PhoenixRudder,0,1,0.00
GolemRock,ImpactDrake,0,1,0.00
TuskMammoth,ImpactDrake,0,1,0.00
DranSword,BlackShell,0,1,0.00
WizardRod,Kein Counter gefunden,0,0,N/A
ImpactDrake,SilverWolf,0,1,0.00
CobaltDragoon,KnightMail,0,1,0.00
UnicornSting,Kein Counter gefunden,0,0,N/A
PhoenixRudder,SilverWolf,0,1,0.00
CerberusFlame,FoxBrush,0,1,0.00
HellsReaper,ScorpioSpear,0,1,0.00
WhaleWave,Kein Counter gefunden,0,0,N/A
DranBuster,Kein Counter gefunden,0,0,N/A
WizardArrow,RhinoReaper,0,1,0.00
RhinoReaper,Kein Counter gefunden,0,0,N/A
KnightMail,FoxBrush,0,1,0.00
