Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,FoxBrush,1074,10,9,1,90.0%,42,17,25,▲ 1,+38
2,ImpactDrake,1061,8,7,1,87.5%,33,14,19,▼ 1,-5
3,CerberusFlame,1032,4,3,1,75.0%,13,6,7,→ 0,+32
4,CobaltDragoon,1029,5,3,2,60.0%,20,12,8,▲ 3,+17
5,KnightMail,1022,3,2,1,66.7%,12,7,5,→ 0,+22
6,TuskMammoth,1021,7,5,2,71.4%,25,16,9,▲ 10,+23
7,DranDagger,1020,5,3,2,60.0%,16,12,4,▲ 1,+12
8,RhinoReaper,1019,6,4,2,66.7%,22,19,3,▲ 20,+39
9,WeissTiger,1017,3,1,2,33.3%,10,8,2,▼ 5,0
10,UnicornSting,1008,5,3,2,60.0%,14,12,2,▼ 7,-12
11,ViperTail,1006,4,2,2,50.0%,11,12,-1,▲ 7,+9
12,SilverWolf,1001,4,2,2,50.0%,11,11,0,▲ 5,+4
13,DranBuster,999,3,1,2,33.3%,6,9,-3,▲ 13,+17
14,DranSword,998,5,3,2,60.0%,16,15,1,▼ 8,-15
15,GolemRock,998,4,2,2,50.0%,9,10,-1,▼ 4,-5
16,WizardRod,996,5,3,2,60.0%,15,16,-1,▼ 7,-9
17,HellsChain,995,3,1,2,33.3%,11,12,-1,▲ 6,+2
18,WizardArrow,995,2,0,2,0.0%,6,8,-2,▲ 1,-1
19,PerseusDark,993,3,1,2,33.3%,7,9,-2,▼ 14,-21
20,LeonCrest,993,2,0,2,0.0%,5,8,-3,▼ 7,-7
21,WhaleFlame,992,1,0,1,0.0%,2,4,-2,→ 0,-8
22,ScorpioSpear,991,4,2,2,50.0%,10,13,-3,▼ 1,-2
23,PhoenixRudder,991,4,2,2,50.0%,11,13,-2,▼ 13,-13
24,WizardArc,990,2,0,2,0.0%,5,9,-4,▼ 4,-3
25,TyrannoBeat,989,3,1,2,33.3%,7,11,-4,▼ 11,-11
26,HellsReaper,986,2,0,2,0.0%,4,8,-4,▼ 4,-7
27,SharkEdge,985,3,1,2,33.3%,6,10,-4,▲ 3,+6
28,PhoenixWing,985,4,2,2,50.0%,11,15,-4,▼ 3,-7
29,PegasusBlast,983,1,0,1,0.0%,0,4,-4,→ 0,-17
30,DranBrave,981,3,1,2,33.3%,7,11,-4,▼ 18,-21
31,HellsHammer,978,2,0,2,0.0%,3,9,-6,▼ 16,-19
32,LeonClaw,978,2,0,2,0.0%,2,8,-6,▼ 5,-2
33,BlackShell,977,3,1,2,33.3%,4,9,-5,▼ 1,-2
34,WhaleWave,977,3,1,2,33.3%,5,11,-6,▼ 5,-3
35,SamuraiSaber,972,2,0,2,0.0%,2,8,-6,▼ 11,-21
36,CrimsonGaruda,967,2,0,2,0.0%,1,8,-7,▼ 5,-12
