Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB
2025-09-01,ViperTail,FoxBrush,2,4,1004,1076,1001.42,1078.58
2025-09-02,HellsHammer,DranDagger,1,5,978,1022,967.19,1032.81
2025-09-03,DranDagger,ViperTail,5,2,1032.81,1001.42,1039.58,994.65
2025-09-04,FoxBrush,HellsHammer,4,3,1078.58,967.19,1075.24,970.53
2025-09-05,HellsHammer,ViperTail,0,5,970.53,994.65,951.92,1013.26
2025-09-06,FoxBrush,DranDagger,2,5,1075.24,1039.58,1064.62,1050.2
2025-09-07,PhoenixWing,WizardArrow,5,0,985,993,1005.46,972.54
2025-09-08,HellsReaper,CrimsonGaruda,3,5,987,968,980.91,974.09
2025-09-09,CrimsonGaruda,PhoenixWing,1,4,974.09,1005.46,963.89,1015.66
2025-09-10,WizardArrow,HellsReaper,1,5,972.54,980.91,959.69,993.76
2025-09-11,HellsReaper,PhoenixWing,0,4,993.76,1015.66,975.02,1034.4
2025-09-12,WizardArrow,CrimsonGaruda,0,4,959.69,963.89,939.93,983.65
2025-09-13,UnicornSting,KeelShark,2,5,1005,985,995.28,994.72
2025-09-14,TuskMammoth,DranBuster,4,1,1022,996,1032.51,985.49
2025-09-15,DranBuster,UnicornSting,4,1,985.49,995.28,998.06,982.72
2025-09-16,KeelShark,TuskMammoth,0,4,994.72,1032.51,976.89,1050.34
2025-09-17,TuskMammoth,UnicornSting,2,4,1050.34,982.72,1039.83,993.23
2025-09-18,KeelShark,DranBuster,4,3,976.89,998.06,980.96,993.98
2025-09-19,PerseusDark,DranSword,4,2,992,1002,999.24,994.76
2025-09-20,TyrannoBeat,HellsChain,0,4,987,995,967.46,1014.54
2025-09-21,HellsChain,PerseusDark,2,4,1014.54,999.24,1006.99,1006.79
2025-09-22,DranSword,TyrannoBeat,4,2,994.76,967.46,999.86,962.36
2025-09-23,TyrannoBeat,PerseusDark,5,3,962.36,1006.79,969.91,999.25
2025-09-24,DranSword,HellsChain,4,3,999.86,1006.99,1003.12,1003.72
2025-09-25,WhaleWave,LeonCrest,4,0,977,991,997.81,970.19
2025-09-26,RhinoReaper,WeissTiger,0,5,1021,1017,1000.77,1037.23
2025-09-27,WeissTiger,WhaleWave,4,2,1037.23,997.81,1041.64,993.4
2025-09-28,LeonClaw,RhinoReaper,0,4,978,1000.77,959.31,1019.46
2025-09-29,RhinoReaper,WhaleWave,2,4,1019.46,993.4,1011.3,1001.56
2025-09-30,LeonClaw,WeissTiger,2,4,959.31,1041.64,957.29,1043.65
2025-10-01,ImpactDrake,SamuraiSaber,4,1,1064,973,1070.88,966.12
2025-10-02,PhoenixRudder,BlackShell,3,4,991,978,987.39,981.61
2025-10-03,BlackShell,ImpactDrake,1,5,981.61,1070.88,973.3,1079.18
2025-10-04,SamuraiSaber,PhoenixRudder,4,0,966.12,987.39,987.34,966.17
2025-10-05,PhoenixRudder,ImpactDrake,0,4,966.17,1079.18,952.46,1092.9
2025-10-06,SamuraiSaber,BlackShell,1,4,987.34,973.3,974.54,986.11
2025-10-07,LeonCrest,ScorpioSpear,2,4,970.19,992,964.78,997.41
2025-10-08,WizardArc,DranBrave,0,4,989,981,968.54,1001.46
2025-10-09,DranBrave,LeonCrest,4,0,1001.46,964.78,1019.36,946.89
2025-10-10,ScorpioSpear,WizardArc,3,4,997.41,968.54,992.9,973.05
2025-10-11,WizardArc,LeonCrest,3,4,973.05,946.89,968.69,951.25
2025-10-12,ScorpioSpear,DranBrave,4,2,992.9,1019.36,1001.08,1011.17
2025-10-13,SilverWolf,GolemRock,0,4,1000,994,979.65,1014.35
2025-10-14,CobaltDragoon,WizardRod,3,4,1029,999,1024.42,1003.58
2025-10-15,WizardRod,SilverWolf,4,2,1003.58,979.65,1008.87,974.36
2025-10-16,GolemRock,CobaltDragoon,4,1,1014.35,1024.42,1026.93,1011.84
2025-10-17,CobaltDragoon,SilverWolf,4,0,1011.84,974.36,1029.69,956.51
2025-10-18,GolemRock,WizardRod,4,1,1026.93,1008.87,1037.89,997.91
