Date,BeyA,BeyB,ScoreA,ScoreB
2025-09-01,ViperTail,FoxBrush,2,4
2025-09-02,HellsHammer,DranDagger,1,5
2025-09-03,DranDagger,ViperTail,5,2
2025-09-04,FoxBrush,HellsHammer,4,3
2025-09-05,HellsHammer,ViperTail,0,5
2025-09-06,FoxBrush,DranDagger,2,5
2025-09-07,PhoenixWing,WizardArrow,5,0
2025-09-08,HellsReaper,CrimsonGaruda,3,5
2025-09-09,CrimsonGaruda,PhoenixWing,1,4
2025-09-10,WizardArrow,HellsReaper,1,5
2025-09-11,HellsReaper,PhoenixWing,0,4
2025-09-12,WizardArrow,CrimsonGaruda,0,4
2025-09-13,UnicornSting,SharkEdge,2,5
2025-09-14,TuskMammoth,DranBuster,4,1
2025-09-15,DranBuster,UnicornSting,4,1
2025-09-16,SharkEdge,TuskMammoth,0,4
2025-09-17,TuskMammoth,UnicornSting,2,4
2025-09-18,SharkEdge,DranBuster,4,3
2025-09-19,PerseusDark,DranSword,4,2
2025-09-20,TyrannoBeat,HellsChain,0,4
2025-09-21,HellsChain,PerseusDark,2,4
2025-09-22,DranSword,TyrannoBeat,4,2
2025-09-23,TyrannoBeat,PerseusDark,5,3
2025-09-24,DranSword,HellsChain,4,3
2025-09-25,WhaleWave,LeonCrest,4,0
2025-09-26,RhinoReaper,WeissTiger,0,5
2025-09-27,WeissTiger,WhaleWave,4,2
2025-09-28,LeonClaw,RhinoReaper,0,4
2025-09-29,RhinoReaper,WhaleWave,2,4
2025-09-30,LeonClaw,WeissTiger,2,4
2025-10-01,ImpactDrake,SamuraiSaber,4,1
2025-10-02,PhoenixRudder,BlackShell,3,4
2025-10-03,BlackShell,ImpactDrake,1,5
2025-10-04,SamuraiSaber,PhoenixRudder,4,0
2025-10-05,PhoenixRudder,ImpactDrake,0,4
2025-10-06,SamuraiSaber,BlackShell,1,4
2025-10-07,LeonCrest,ScorpioSpear,2,4
2025-10-08,WizardArc,DranBrave,0,4
2025-10-09,DranBrave,LeonCrest,4,0
2025-10-10,ScorpioSpear,WizardArc,3,4
2025-10-11,WizardArc,LeonCrest,3,4
2025-10-12,ScorpioSpear,DranBrave,4,2
2025-10-13,SilverWolf,GolemRock,0,4
2025-10-14,CobaltDragoon,WizardRod,3,4
2025-10-15,WizardRod,SilverWolf,4,2
2025-10-16,GolemRock,CobaltDragoon,4,1
2025-10-17,CobaltDragoon,SilverWolf,4,0
2025-10-18,GolemRock,WizardRod,4,1
