Bey,Top_Counter,Games_vs_Counter,Wins_vs_Counter,Losses_vs_Counter,Score_for_vs_Counter,Score_against_vs_Counter,Winrate_vs_Counter,Total_Games,Total_Wins,Total_Losses,Overall_Winrate
ViperTail,CerberusFlame,3,0,3,4,12,0.0,34,18,16,0.53
WizardArc,ViperTail,2,0,2,5,9,0.0,31,16,15,0.52
TuskMammoth,ImpactDrake,9,4,5,25,32,0.44,67,43,24,0.64
SamuraiSaber,TuskMammoth,3,1,2,8,8,0.33,20,6,14,0.3
GolemRock,ImpactDrake,3,0,3,1,12,0.0,43,20,23,0.47
BlackShell,GolemRock,1,0,1,0,4,0.0,18,7,11,0.39
ImpactDrake,TuskMammoth,9,5,4,32,25,0.56,52,34,18,0.65
LeonCrest,TuskMammoth,6,2,4,18,19,0.33,43,21,22,0.49
DranBrave,DranSword,3,0,3,8,15,0.0,39,22,17,0.56
HellsReaper,PerseusDark,4,1,3,6,15,0.25,34,17,17,0.5
DranSword,ImpactDrake,6,3,3,16,20,0.5,44,27,17,0.61
HellsHammer,TyrannoBeat,2,0,2,1,9,0.0,23,10,13,0.43
DranDagger,LeonClaw,2,0,2,2,9,0.0,49,25,24,0.51
CrimsonGaruda,SharkEdge,2,0,2,3,9,0.0,32,14,18,0.44
UnicornSting,WhaleWave,2,0,2,5,9,0.0,27,12,15,0.44
LeonClaw,WhaleWave,2,0,2,2,8,0.0,34,17,17,0.5
FoxBrush,ImpactDrake,4,1,3,7,21,0.25,46,32,14,0.7
DranBuster,FoxBrush,2,0,2,0,11,0.0,25,10,15,0.4
TyrannoBeat,TyrannoRoar,3,1,2,4,8,0.33,28,10,18,0.36
HellsChain,HellsReaper,4,1,3,6,15,0.25,36,21,15,0.58
PhoenixWing,HellsChain,2,0,2,3,11,0.0,42,17,25,0.4
WizardArrow,CrimsonGaruda,3,0,3,0,12,0.0,14,1,13,0.07
CobaltDragoon,PhoenixWing,4,1,3,10,15,0.25,43,22,21,0.51
SharkEdge,LeonClaw,3,0,3,5,13,0.0,38,15,23,0.39
PerseusDark,KnightMail,3,0,3,1,13,0.0,37,17,20,0.46
WhaleWave,ScorpioSpear,2,0,2,3,11,0.0,33,13,20,0.39
WizardRod,LeonClaw,3,0,3,3,13,0.0,30,10,20,0.33
SilverWolf,CerberusFlame,3,1,2,4,9,0.33,35,20,15,0.57
WeissTiger,ImpactDrake,2,0,2,3,8,0.0,37,22,15,0.59
RhinoReaper,HellsChain,3,0,3,6,12,0.0,34,16,18,0.47
PhoenixRudder,WizardRod,2,0,2,2,8,0.0,26,13,13,0.5
ScorpioSpear,TuskMammoth,5,1,4,8,19,0.2,46,24,22,0.52
CerberusFlame,GolemRock,4,1,3,7,14,0.25,41,20,21,0.49
KnightMail,WeissTiger,3,0,3,6,14,0.0,36,18,18,0.5
PegasusBlast,CobaltDrake,3,0,3,6,14,0.0,18,6,12,0.33
WhaleFlame,UnicornSting,2,0,2,2,8,0.0,12,3,9,0.25
SolEclipse,WolfHunt,3,0,3,9,14,0.0,30,9,21,0.3
CobaltDrake,SolEclipse,2,0,2,4,10,0.0,32,15,17,0.47
SharkScale,TuskMammoth,4,0,4,6,20,0.0,36,22,14,0.61
ValkyrieVolt,TuskMammoth,3,1,2,7,9,0.33,34,24,10,0.71
WyvernHover,KnightMail,2,0,2,2,10,0.0,22,6,16,0.27
WolfHunt,EmperorMight,2,1,1,6,4,0.5,22,12,10,0.55
EmperorMight,ClockMirage,3,1,2,6,8,0.33,15,4,11,0.27
TyrannoRoar,DranDagger,2,0,2,1,10,0.0,13,8,5,0.62
HellsBrave,TyrannoRoar,1,0,1,3,6,0.0,23,16,7,0.7
ClockMirage,TyrannoRoar,1,0,1,0,4,0.0,14,8,6,0.57
SamuraiSteel,TriceraPress,1,0,1,0,4,0.0,9,5,4,0.56
SamuraiCalibur,SamuraiSteel,2,0,2,1,8,0.0,7,0,7,0.0
TriceraPress,CobaltDrake,1,0,1,3,4,0.0,14,11,3,0.79
PhoenixFlare,TyrannoRoar,1,0,1,3,4,0.0,4,2,2,0.5
GhostCircle,BlackShell,2,0,2,0,8,0.0,4,1,3,0.25
MeteorDragoon,DranDagger,2,0,2,7,12,0.0,9,5,4,0.56
ShelterDrake,TriceraPress,1,0,1,0,4,0.0,5,3,2,0.6
