Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
499,1,1,0,2026-04-25,SamuraiSteel,1016,1,1,1,0,1.0
499,1,1,0,2026-04-25,SamuraiCalibur,984,2,1,0,1,0.0
500,2,1,0,2026-04-25,SamuraiSteel,993,2,2,1,1,0.5
500,1,1,0,2026-04-25,TriceraPress,1021,1,1,1,0,1.0
500,1,0,1,2026-04-25,SamuraiCalibur,984,3,1,0,1,0.0
501,2,1,0,2026-04-25,TriceraPress,1004,2,2,1,1,0.5
501,2,0,1,2026-04-25,SamuraiSteel,993,3,2,1,1,0.5
501,1,1,0,2026-04-25,CobaltDrake,1014,1,1,1,0,1.0
501,1,0,1,2026-04-25,SamuraiCalibur,984,4,1,0,1,0.0
502,3,1,0,2026-04-25,SamuraiSteel,981,4,3,1,2,0.3333333333333333
502,2,1,0,2026-04-25,CobaltDrake,1027,1,2,2,0,1.0
502,1,0,1,2026-04-25,SamuraiCalibur,984,3,1,0,1,0.0
503,3,0,1,2026-04-25,SamuraiSteel,981,3,3,1,2,0.3333333333333333
503,3,1,0,2026-04-25,CobaltDrake,1047,1,3,3,0,1.0
503,2,1,0,2026-04-25,SamuraiCalibur,965,4,2,0,2,0.0
504,3,1,0,2026-04-25,TriceraPress,1021,2,3,2,1,0.6666666666666666
504,3,1,0,2026-04-25,SamuraiCalibur,943,4,3,0,3,0.0
606,3,0,1,2026-05-10,SamuraiSteel,981,4,3,1,2,0.3333333333333333
606,3,0,1,2026-05-10,SamuraiCalibur,943,5,3,0,3,0.0
606,4,1,0,2026-05-10,CobaltDrake,1020,3,4,3,1,0.75
606,1,1,0,2026-05-10,DranDagger,1023,1,1,1,0,1.0
607,3,0,1,2026-05-10,SamuraiSteel,981,5,3,1,2,0.3333333333333333
607,1,1,0,2026-05-10,WhaleFlame,980,6,1,0,1,0.0
607,4,0,1,2026-05-10,CobaltDrake,1020,4,4,3,1,0.75
607,3,0,1,2026-05-10,SamuraiCalibur,943,7,3,0,3,0.0
607,1,1,0,2026-05-10,TyrannoBeat,1020,3,1,1,0,1.0
608,1,0,1,2026-05-10,WhaleFlame,980,8,1,0,1,0.0
608,1,1,0,2026-05-10,PhoenixFlare,987,6,1,0,1,0.0
608,3,0,1,2026-05-10,SamuraiCalibur,943,9,3,0,3,0.0
