Bey,Rank,ELO,Attack,Defense,Stamina,Control,Meta,Archetype,Archetype_Category,Archetype_Confidence
FoxBrush,1,1164,3.68,4.39,3.47,4.26,4.38,Spin Tank,stamina,0.511
ImpactDrake,2,1142,4.07,4.6,2.92,4.36,4.12,Spin Tank,stamina,0.442
TuskMammoth,3,1121,2.88,3.68,3.6,4.7,3.97,Tempo Controller,control,0.836
ValkyrieVolt,4,1109,4.04,4.83,2.25,4.09,3.87,Meta Anchor,balance,0.511
DranSword,5,1102,3.34,4.05,3.19,4.3,4.03,Spin Tank,stamina,0.485
SharkScale,6,1095,2.81,4.32,3.42,3.71,3.51,Spin Tank,stamina,0.474
HellsBrave,7,1090,4.75,4.26,1.32,4.13,3.71,Meta Anchor,balance,0.389
WeissTiger,8,1077,2.88,4.1,3.88,4.3,3.31,Spin Tank,stamina,1.0
DranBrave,9,1056,4.1,4.02,1.97,3.69,3.53,Meta Anchor,balance,0.415
SilverWolf,10,1054,1.76,4.21,4.7,4.31,4.29,Spin Tank,stamina,0.664
HellsChain,11,1053,2.19,3.07,4.68,4.03,3.65,Spin Tank,stamina,0.874
ViperTail,12,1047,3.76,3.41,2.75,3.08,3.89,Adaptive Fighter,balance,0.496
LeonCrest,13,1043,3.07,3.06,3.46,3.41,3.9,Adaptive Fighter,balance,0.668
CobaltDragoon,14,1040,3.39,3.65,2.68,3.67,3.59,Adaptive Fighter,balance,0.598
ScorpioSpear,15,1030,3.29,3.1,3.6,3.83,3.81,Adaptive Fighter,balance,0.566
TriceraPress,16,1028,4.01,4.13,3.02,3.7,3.48,Spin Tank,stamina,0.52
ShelterDrake,17,1027,4.65,3.74,1.0,3.56,3.43,Berserker,offense,0.996
KnightMail,18,1023,1.76,3.44,4.23,4.04,3.36,Spin Tank,stamina,0.86
TyrannoRoar,19,1018,3.85,2.26,3.3,3.38,3.02,Glass Cannon,offense,0.718
HellsReaper,20,1016,2.48,4.24,3.1,3.07,3.61,Iron Wall,defense,0.514
CerberusFlame,21,1014,1.43,3.5,4.77,4.01,3.36,Spin Tank,stamina,1.0
LeonClaw,22,1014,3.15,3.01,3.86,3.44,3.44,Adaptive Fighter,balance,0.468
MeteorDragoon,23,1013,4.25,4.24,1.0,3.4,2.95,Berserker,offense,0.811
GolemRock,24,1011,2.13,2.34,4.3,3.57,3.26,Endurance Core,stamina,0.659
PhoenixFlare,25,1005,2.42,3.14,4.73,1.51,2.82,Spin Tank,stamina,1.0
SamuraiSteel,26,1004,3.1,2.54,3.47,3.65,2.75,Berserker,offense,0.432
RhinoReaper,27,1001,1.76,4.59,4.11,3.59,3.33,Spin Tank,stamina,0.998
DranDagger,28,997,3.21,4.0,2.9,3.4,3.62,Adaptive Fighter,balance,0.604
PhoenixRudder,29,991,2.31,3.21,3.96,3.88,2.58,Spin Tank,stamina,0.476
WolfHunt,30,988,2.49,3.74,3.08,2.74,2.16,Adaptive Fighter,balance,0.404
GhostCircle,31,981,4.57,0.52,1.0,1.32,2.18,Glass Cannon,offense,1.0
ClockMirage,32,980,2.2,3.05,4.72,2.87,2.66,Spin Tank,stamina,1.0
PerseusDark,33,979,2.37,3.57,3.03,2.35,2.85,Adaptive Fighter,balance,0.385
WizardArc,34,978,2.13,3.82,3.96,3.09,2.87,Spin Tank,stamina,0.601
CrimsonGaruda,35,978,3.55,2.98,2.11,3.23,2.95,Adaptive Fighter,balance,0.481
UnicornSting,36,977,4.37,2.15,2.33,2.43,2.17,Glass Cannon,offense,0.764
DranBuster,37,969,4.15,2.33,2.13,2.09,2.7,Glass Cannon,offense,0.635
CobaltDrake,38,967,4.55,3.23,1.28,2.59,2.48,Berserker,offense,0.786
PhoenixWing,39,962,3.88,2.79,1.48,3.07,3.45,Glass Cannon,offense,0.506
HellsHammer,40,953,1.03,3.34,4.54,3.07,2.5,Spin Tank,stamina,1.0
SamuraiCalibur,41,952,0.0,1.97,3.82,2.65,1.79,Unknown,unknown,0.0
BlackShell,42,949,2.87,2.49,2.54,1.37,2.98,Chaser,offense,0.701
SharkEdge,43,934,4.24,3.21,0.94,3.5,2.66,Berserker,offense,0.788
SolEclipse,44,931,2.32,2.25,3.66,1.93,2.53,Endurance Core,stamina,1.0
WhaleWave,45,929,3.48,2.19,2.43,2.44,2.59,Adaptive Fighter,balance,0.45
EmperorMight,46,920,4.18,0.48,1.0,1.53,1.75,Glass Cannon,offense,0.88
WhaleFlame,47,912,1.7,1.4,4.07,2.46,0.86,Endurance Core,stamina,1.0
WyvernHover,48,906,2.98,1.81,3.02,1.58,2.1,Endurance Core,stamina,0.694
PegasusBlast,49,903,4.22,2.63,0.0,2.37,1.34,Glass Cannon,offense,0.511
WizardRod,50,884,0.97,1.94,4.68,2.79,1.84,Endurance Core,stamina,1.0
SamuraiSaber,51,867,4.18,0.94,2.4,1.25,2.62,Glass Cannon,offense,1.0
WizardArrow,52,864,1.94,1.55,3.65,1.19,2.55,Endurance Core,stamina,1.0
TyrannoBeat,53,854,3.79,1.4,2.86,1.81,2.3,Glass Cannon,offense,0.738
