Rank,Bey,ELO,GiantKillerScore,Matches,Wins,Losses,UpsetWins,UpsetLosses,UpsetRate,Vulnerability,AvgUpsetWinMagnitude,AvgUpsetLossMagnitude,BiggestUpsetWin,BiggestUpsetLoss
1,PhoenixWing,962,58.7,42,17,25,13,6,76.5%,24.0%,52.2,15.6,145.1,36.5
2,HellsHammer,953,56.8,23,10,13,8,2,80.0%,15.4%,62.2,80.0,147.9,139.5
3,DranBuster,969,56.0,25,10,15,9,4,90.0%,26.7%,29.0,74.9,118.3,177.8
4,ViperTail,1047,54.8,34,18,16,12,7,66.7%,43.8%,50.0,32.6,137.3,63.2
5,WizardArrow,966,51.1,14,1,13,1,2,100.0%,15.4%,75.2,8.9,75.2,10.8
6,ScorpioSpear,1030,49.3,46,24,22,12,3,50.0%,13.6%,65.0,38.0,134.8,77.4
7,LeonCrest,1043,47.8,43,21,22,12,8,57.1%,36.4%,39.7,39.2,70.7,70.9
8,PerseusDark,979,46.7,37,17,20,11,8,64.7%,40.0%,22.5,19.7,46.2,46.5
9,BlackShell,949,46.0,18,7,11,5,2,71.4%,18.2%,47.2,16.3,70.2,20.0
10,SilverWolf,1054,45.6,35,20,15,10,5,50.0%,33.3%,53.7,32.6,123.5,98.2
11,CerberusFlame,1014,44.2,41,20,21,11,6,55.0%,28.6%,31.3,40.7,101.0,86.5
12,HellsReaper,1016,42.9,34,17,17,9,9,52.9%,52.9%,41.7,16.9,91.2,59.1
13,DranDagger,997,42.2,49,25,24,11,7,44.0%,29.2%,48.4,20.2,79.3,35.7
14,TyrannoBeat,854,41.6,28,10,18,5,2,50.0%,11.1%,78.9,6.0,177.8,9.4
15,CrimsonGaruda,978,41.0,32,14,18,8,7,57.1%,38.9%,31.2,40.3,53.9,148.4
16,DranSword,1102,39.8,44,27,17,11,6,40.7%,35.3%,37.6,25.6,97.1,70.7
17,WizardArc,978,38.9,31,16,15,8,3,50.0%,20.0%,32.5,19.6,70.6,45.0
18,SharkEdge,934,38.7,38,15,23,8,6,53.3%,26.1%,31.6,20.4,86.5,37.9
19,WyvernHover,906,38.4,22,6,16,4,1,66.7%,6.2%,33.8,50.2,100.0,50.2
20,SamuraiSaber,867,38.2,20,6,14,3,3,50.0%,21.4%,76.6,19.4,148.4,47.4
21,CobaltDrake,967,37.0,32,15,17,7,7,46.7%,41.2%,40.4,32.4,117.5,51.0
22,WhaleWave,1004,35.8,33,13,20,6,5,46.2%,25.0%,46.9,11.1,83.1,25.8
23,RhinoReaper,1001,35.8,34,16,18,8,12,50.0%,66.7%,17.9,44.7,37.1,100.0
24,KnightMail,1023,35.8,36,18,18,8,7,44.4%,38.9%,31.4,22.4,76.7,52.2
25,SolEclipse,961,35.6,30,9,21,5,2,55.6%,9.5%,35.4,30.2,50.2,44.5
26,CobaltDragoon,1040,35.3,43,22,21,9,11,40.9%,52.4%,30.5,24.2,72.1,55.4
27,HellsChain,1053,35.0,36,21,15,8,9,38.1%,60.0%,39.2,27.0,97.0,50.9
28,LeonClaw,1014,32.4,34,17,17,7,8,41.2%,47.1%,27.4,27.0,52.2,83.1
29,WeissTiger,1077,32.0,37,22,15,8,9,36.4%,60.0%,26.3,22.3,58.1,62.7
30,WolfHunt,988,30.2,22,12,10,1,6,8.3%,60.0%,142.4,42.8,142.4,79.3
31,DranBrave,1056,29.7,39,22,17,7,10,31.8%,58.8%,34.3,23.7,173.8,57.7
32,PhoenixRudder,991,29.6,26,13,13,5,6,38.5%,46.2%,31.8,33.7,69.2,65.9
33,EmperorMight,996,29.0,15,4,11,2,5,50.0%,45.5%,33.6,15.8,58.1,39.2
34,GolemRock,1011,28.2,43,20,23,6,9,30.0%,39.1%,41.7,42.2,84.6,104.1
35,ValkyrieVolt,1109,25.9,34,24,10,6,8,25.0%,80.0%,32.9,47.4,109.0,118.9
36,TuskMammoth,1121,25.1,67,43,24,9,17,20.9%,70.8%,23.2,51.8,53.8,137.3
37,MeteorDragoon,1013,24.7,9,5,4,2,2,40.0%,50.0%,15.9,30.7,18.0,58.9
38,FoxBrush,1164,24.4,46,32,14,7,9,21.9%,64.3%,28.0,71.4,55.6,173.8
39,PegasusBlast,1006,22.1,18,6,12,2,2,33.3%,16.7%,30.2,30.8,44.1,61.5
40,UnicornSting,977,22.0,27,12,15,4,10,33.3%,66.7%,11.2,41.0,22.0,104.2
41,WizardRod,997,18.6,30,10,20,3,5,30.0%,25.0%,12.2,25.8,21.9,43.0
42,ShelterDrake,1027,18.3,5,3,2,1,1,33.3%,50.0%,2.6,77.8,2.6,77.8
43,ClockMirage,980,16.6,14,8,6,2,4,25.0%,66.7%,11.0,38.5,11.3,58.1
44,TriceraPress,1028,15.8,14,11,3,2,3,18.2%,100.0%,20.2,38.3,24.5,54.2
45,SharkScale,1095,14.3,36,22,14,3,7,13.6%,50.0%,22.5,34.5,44.4,103.0
46,ImpactDrake,1142,12.6,52,34,18,4,17,11.8%,94.4%,11.3,74.2,24.7,145.1
47,HellsBrave,1090,11.3,23,16,7,1,5,6.2%,71.4%,39.3,87.8,39.3,142.4
48,SamuraiSteel,1004,11.0,9,5,4,1,2,20.0%,50.0%,0.5,34.9,0.5,53.9
49,WhaleFlame,912,0.0,12,3,9,0,2,0.0%,22.2%,0,20.9,0,24.1
50,TyrannoRoar,1018,0.0,13,8,5,0,3,0.0%,60.0%,0,113.7,0,147.9
51,SamuraiCalibur,978,0.0,7,0,7,0,3,0.0%,42.9%,0,32.5,0,45.5
52,PhoenixFlare,1005,0.0,4,2,2,0,1,0.0%,50.0%,0,118.3,0,118.3
53,GhostCircle,981,0.0,4,1,3,0,1,0.0%,33.3%,0,61.0,0,61.0
