Rank,MatchID,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
1,M0728,2026-06-25,TyrannoBeat,DranBuster,807.9,985.6,177.76,5-1
2,M0106,2025-12-11,DranBrave,FoxBrush,947.5,1121.2,173.77,4-0
3,M0633,2026-05-22,SamuraiSaber,CrimsonGaruda,832.0,980.3,148.38,4-3
4,M0460,2026-03-20,HellsHammer,TyrannoRoar,900.1,1048.0,147.89,4-0
5,M0144,2025-12-27,PhoenixWing,ImpactDrake,974.4,1119.6,145.14,6-3
6,M0557,2026-05-02,WolfHunt,HellsBrave,992.7,1135.1,142.41,4-0
7,M0758,2026-08-07,TyrannoBeat,HellsHammer,831.0,970.5,139.53,5-0
8,M0346,2026-02-26,ViperTail,TuskMammoth,986.1,1123.4,137.3,5-0
9,M0129,2025-12-27,ScorpioSpear,ImpactDrake,1009.1,1143.9,134.79,4-0
10,M0085,2025-12-02,ViperTail,FoxBrush,1016.1,1147.1,130.98,5-2
11,M0056,2025-11-12,SilverWolf,ImpactDrake,1005.7,1129.1,123.47,4-2
12,M0390,2026-03-01,SilverWolf,ValkyrieVolt,1002.9,1121.8,118.93,4-0
13,M0673,2026-05-22,DranBuster,PhoenixFlare,919.4,1037.7,118.34,5-1
14,M0601,2026-05-10,SilverWolf,ImpactDrake,1019.1,1136.7,117.58,4-2
15,M0436,2026-03-20,CobaltDrake,TyrannoRoar,946.3,1063.8,117.48,5-2
16,M0553,2026-05-02,ScorpioSpear,ValkyrieVolt,1035.9,1151.5,115.53,5-0
17,M0306,2026-02-11,ValkyrieVolt,TuskMammoth,1026.8,1135.7,108.98,5-0
18,M0453,2026-03-20,HellsHammer,UnicornSting,874.6,978.8,104.22,4-3
19,M0219,2026-01-04,PhoenixWing,GolemRock,1012.6,1116.7,104.08,5-0
20,M0520,2026-04-25,ScorpioSpear,SharkScale,1015.1,1118.1,103.03,4-3
21,M0415,2026-03-01,CerberusFlame,TuskMammoth,994.3,1095.3,101.04,4-3
22,M0698,2026-06-07,WyvernHover,RhinoReaper,918.5,1018.4,99.97,4-2
23,M0545,2026-05-02,PhoenixWing,SilverWolf,954.3,1052.6,98.25,4-1
24,M0086,2025-12-02,DranSword,ImpactDrake,1023.6,1120.7,97.12,4-2
25,M0194,2026-01-04,HellsChain,FoxBrush,1002.7,1099.7,97.03,4-0
26,M0731,2026-06-25,HellsReaper,HellsBrave,999.1,1090.3,91.23,5-2
27,M0583,2026-05-02,ScorpioSpear,TuskMammoth,1043.9,1134.0,90.04,5-1
28,M0284,2026-02-11,ScorpioSpear,GolemRock,1027.2,1115.8,88.63,4-0
29,M0114,2025-12-11,SharkEdge,CerberusFlame,995.8,1082.3,86.49,4-3
30,M0163,2025-12-27,GolemRock,FoxBrush,1035.4,1120.0,84.63,6-0
31,M0336,2026-02-26,WhaleWave,LeonClaw,948.5,1031.6,83.08,4-2
32,M0706,2026-06-07,ScorpioSpear,ValkyrieVolt,1031.8,1114.7,82.92,5-1
33,M0529,2026-04-25,PhoenixWing,RhinoReaper,934.1,1015.5,81.41,5-0
34,M0204,2026-01-04,CerberusFlame,ImpactDrake,1042.9,1122.7,79.72,4-2
35,M0507,2026-04-25,DranDagger,WolfHunt,942.3,1021.7,79.35,5-0
36,M0667,2026-05-22,DranDagger,ShelterDrake,971.5,1049.3,77.76,4-2
37,M0350,2026-02-26,ViperTail,ScorpioSpear,1011.5,1088.9,77.41,5-0
38,M0700,2026-06-07,HellsChain,HellsBrave,1033.6,1110.5,76.89,4-3
39,M0714,2026-06-07,KnightMail,HellsBrave,1022.8,1099.5,76.7,4-2
40,M0395,2026-03-01,WhaleWave,UnicornSting,921.2,997.7,76.49,5-3
41,M0663,2026-05-22,DranDagger,TyrannoRoar,961.4,1037.2,75.79,5-1
42,M0454,2026-03-20,WizardArrow,DranBuster,872.4,947.5,75.17,4-0
43,M0143,2025-12-27,WhaleWave,RhinoReaper,976.6,1048.8,72.2,5-3
44,M0352,2026-02-26,CobaltDragoon,ImpactDrake,1057.8,1129.9,72.06,4-2
45,M0707,2026-06-07,CobaltDragoon,TuskMammoth,1058.3,1129.5,71.19,4-2
46,M0411,2026-03-01,ViperTail,LeonCrest,1020.1,1091.0,70.94,6-0
47,M0172,2025-12-27,LeonCrest,DranSword,1020.7,1091.3,70.68,5-1
48,M0730,2026-06-25,WizardArc,RhinoReaper,946.9,1017.5,70.64,4-2
49,M0439,2026-03-20,BlackShell,UnicornSting,918.6,988.9,70.2,4-2
50,M0485,2026-04-03,PhoenixRudder,WolfHunt,970.7,1039.9,69.19,4-2
51,M0590,2026-05-10,DranSword,ImpactDrake,1083.4,1149.7,66.3,4-2
52,M0573,2026-05-02,DranDagger,PhoenixRudder,939.6,1005.5,65.86,4-0
53,M0170,2025-12-27,LeonCrest,ViperTail,1000.5,1063.7,63.2,4-0
54,M0179,2026-01-04,HellsChain,WeissTiger,978.5,1041.2,62.69,5-0
55,M0635,2026-05-22,SamuraiSaber,PegasusBlast,857.0,918.5,61.5,4-2
56,M0180,2026-01-04,HellsReaper,LeonCrest,1012.5,1073.7,61.15,6-1
57,M0665,2026-05-22,BlackShell,GhostCircle,941.4,1002.4,61.04,4-0
58,M0419,2026-03-01,LeonCrest,ImpactDrake,1068.7,1129.3,60.55,4-3
59,M0376,2026-02-26,DranSword,TuskMammoth,1035.6,1095.4,59.84,5-0
60,M0372,2026-02-26,PhoenixWing,HellsReaper,955.2,1014.3,59.06,4-2
61,M0669,2026-05-22,DranDagger,MeteorDragoon,980.0,1038.8,58.86,8-4
62,M0328,2026-02-13,WeissTiger,SharkScale,1031.3,1089.4,58.11,4-3
63,M0438,2026-03-20,EmperorMight,ClockMirage,927.6,985.7,58.1,4-0
64,M0464,2026-03-20,HellsHammer,CrimsonGaruda,930.4,988.2,57.75,5-3
65,M0531,2026-04-25,ViperTail,DranBrave,1030.6,1088.4,57.74,4-0
