Bey,Top_Counter,Games_vs_Counter,Wins_vs_Counter,Losses_vs_Counter,Score_for_vs_Counter,Score_against_vs_Counter,Winrate_vs_Counter,Total_Games,Total_Wins,Total_Losses,Overall_Winrate
ViperTail,TuskMammoth,2,0,2,3,10,0.0,6,4,2,0.67
WizardArc,ViperTail,1,0,1,2,4,0.0,4,1,3,0.25
TuskMammoth,ImpactDrake,1,0,1,0,4,0.0,9,7,2,0.78
SamuraiSaber,TuskMammoth,1,0,1,2,4,0.0,4,0,4,0.0
GolemRock,ImpactDrake,1,0,1,0,4,0.0,6,3,3,0.5
BlackShell,GolemRock,1,0,1,0,4,0.0,5,2,3,0.4
ImpactDrake,DranSword,2,1,1,6,6,0.5,10,8,2,0.8
LeonCrest,ImpactDrake,1,0,1,3,4,0.0,4,1,3,0.25
DranBrave,DranSword,2,0,2,5,10,0.0,5,1,4,0.2
HellsReaper,DranBrave,1,0,1,2,4,0.0,4,0,4,0.0
DranSword,ImpactDrake,2,1,1,6,6,0.5,7,5,2,0.71
HellsHammer,DranSword,1,0,1,3,4,0.0,4,0,4,0.0
DranDagger,UnicornSting,2,1,1,6,4,0.5,7,5,2,0.71
CrimsonGaruda,DranDagger,1,0,1,0,4,0.0,4,1,3,0.25
UnicornSting,DranDagger,2,1,1,4,6,0.5,7,3,4,0.43
LeonClaw,UnicornSting,1,0,1,0,4,0.0,4,2,2,0.5
FoxBrush,ImpactDrake,1,0,1,0,7,0.0,12,10,2,0.83
DranBuster,FoxBrush,1,0,1,0,5,0.0,5,2,3,0.4
TyrannoBeat,FoxBrush,1,0,1,2,5,0.0,5,1,4,0.2
HellsChain,TyrannoBeat,1,0,1,2,4,0.0,5,2,3,0.4
PhoenixWing,FoxBrush,1,0,1,0,4,0.0,6,3,3,0.5
WizardArrow,PhoenixWing,1,0,1,3,4,0.0,4,0,4,0.0
CobaltDragoon,PhoenixWing,1,0,1,2,4,0.0,7,5,2,0.71
SharkEdge,CobaltDragoon,1,0,1,0,5,0.0,5,2,3,0.4
PerseusDark,WizardRod,1,0,1,2,4,0.0,5,2,3,0.4
WhaleWave,PerseusDark,1,0,1,0,5,0.0,5,2,3,0.4
WizardRod,FoxBrush,1,0,1,1,4,0.0,7,3,4,0.43
SilverWolf,CerberusFlame,2,0,2,0,8,0.0,6,3,3,0.5
WeissTiger,PhoenixRudder,1,0,1,3,4,0.0,5,3,2,0.6
RhinoReaper,WeissTiger,1,0,1,0,4,0.0,8,6,2,0.75
PhoenixRudder,WizardRod,1,0,1,2,4,0.0,6,3,3,0.5
ScorpioSpear,PhoenixRudder,1,0,1,2,4,0.0,6,3,3,0.5
CerberusFlame,FoxBrush,1,0,1,1,4,0.0,6,5,1,0.83
KnightMail,FoxBrush,1,0,1,2,4,0.0,5,3,2,0.6
PegasusBlast,FoxBrush,1,0,1,0,4,0.0,3,0,3,0.0
WhaleFlame,WhaleWave,1,0,1,2,4,0.0,3,1,2,0.33
