Platz,Bey,ELO,PowerIndex,Matches,Wins,Losses,Winrate,PointsFor,PointsAgainst,AvgPointDiff,Volatility,AvgΔELO,MaxΔELO,MinΔELO,UpsetWins,UpsetLosses,ELOTrend,CredibilityScore,CredibilityLabel
1,FoxBrush,1164,85.0,45,32,13,71.1%,164,111,1.18,14.85,13.62,24.12,-36.4,7,9,164.19,0.8,High
2,ImpactDrake,1142,81.4,50,33,17,66.0%,191,116,1.5,12.25,10.63,35.38,-25.61,3,17,141.58,0.819,High
3,TuskMammoth,1121,80.0,62,41,21,66.1%,213,164,0.79,11.72,10.6,26.82,-26.38,8,15,121.34,0.921,High
4,ValkyrieVolt,1109,69.7,27,17,10,63.0%,88,65,0.85,16.38,14.77,33.12,-31.73,5,8,108.78,0.669,Medium
5,DranSword,1102,72.6,42,27,15,64.3%,134,111,0.55,12.45,11.44,23.02,-25.87,11,6,101.66,0.793,High
6,SharkScale,1095,68.2,32,19,13,59.4%,110,83,0.84,13.37,12.55,25.78,-19.62,3,7,94.98,0.725,High
7,HellsBrave,1090,68.0,23,16,7,69.6%,82,47,1.52,14.65,13.47,26.48,-28.81,1,5,90.05,0.651,Medium
8,WeissTiger,1077,66.3,36,22,14,61.1%,119,90,0.81,12.64,11.69,22.62,-24.53,8,8,76.88,0.708,High
9,DranBrave,1056,62.0,38,22,16,57.9%,117,97,0.53,13.12,11.93,33.85,-18.71,7,10,55.88,0.704,High
10,SilverWolf,1054,61.2,35,20,15,57.1%,105,92,0.37,12.54,11.76,19.95,-21.51,10,5,54.49,0.719,High
11,HellsChain,1053,61.2,34,20,14,58.8%,106,83,0.68,12.93,12.16,24.18,-17.24,8,9,53.31,0.684,Medium
12,ViperTail,1047,57.9,34,18,16,52.9%,103,88,0.44,14.82,13.53,25.39,-25.31,12,7,46.82,0.712,High
13,LeonCrest,1043,57.5,39,20,19,51.3%,112,112,0.0,15.06,13.38,29.81,-31.61,11,8,42.74,0.73,High
14,CobaltDragoon,1040,58.0,41,21,20,51.2%,127,112,0.37,12.69,11.58,24.12,-21.33,8,11,39.58,0.748,High
15,ScorpioSpear,1030,55.4,42,20,22,47.6%,112,123,-0.26,13.57,12.27,23.5,-25.37,12,3,30.33,0.789,High
16,TriceraPress,1028,50.7,6,4,2,66.7%,21,9,2.0,22.8,20.17,23.58,-31.35,1,2,27.57,0.444,Medium
17,ShelterDrake,1027,53.6,4,3,1,75.0%,14,6,2.0,19.27,17.85,17.25,-22.09,1,1,27.22,0.384,Low
