Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,FoxBrush,1164,45,32,13,71.1%,164,111,53,▲ 2,+23
2,ImpactDrake,1142,50,33,17,66.0%,191,116,75,▼ 1,+1
3,TuskMammoth,1121,62,41,21,66.1%,213,164,49,▲ 2,+12
4,ValkyrieVolt,1109,27,17,10,63.0%,88,65,23,▼ 1,-15
5,DranSword,1102,42,27,15,64.3%,134,111,23,→ 0,+14
6,SharkScale,1095,32,19,13,59.4%,110,83,27,▼ 1,-16
7,HellsBrave,1090,23,16,7,69.6%,82,47,35,→ 0,+11
8,WeissTiger,1077,36,22,14,61.1%,119,90,29,▲ 4,+23
9,DranBrave,1056,38,22,16,57.9%,117,97,20,▼ 4,-16
10,SilverWolf,1054,35,20,15,57.1%,105,92,13,▲ 5,+16
11,HellsChain,1053,34,20,14,58.8%,106,83,23,▼ 2,-4
12,ViperTail,1047,34,18,16,52.9%,103,88,15,▲ 1,+2
13,LeonCrest,1043,39,20,19,51.3%,112,112,0,▼ 2,-17
14,CobaltDragoon,1040,41,21,20,51.2%,127,112,15,▼ 3,-11
15,ScorpioSpear,1030,42,20,22,47.6%,112,123,-11,▲ 1,0
16,TriceraPress,1028,6,4,2,66.7%,21,9,12,▼ 1,-17
17,ShelterDrake,1027,4,3,1,75.0%,14,6,8,▼ 2,0
18,KnightMail,1023,36,18,18,50.0%,105,100,5,▼ 1,0
19,TyrannoRoar,1018,10,7,3,70.0%,33,24,9,▼ 1,0
20,HellsReaper,1016,34,17,17,50.0%,106,96,10,▲ 1,+7
21,CerberusFlame,1014,41,20,21,48.8%,106,115,-9,▼ 3,-4
22,LeonClaw,1014,32,17,15,53.1%,97,90,7,▲ 7,+11
23,MeteorDragoon,1013,5,3,2,60.0%,21,14,7,▲ 1,0
24,GolemRock,1011,42,20,22,47.6%,112,112,0,▲ 6,+29
25,PhoenixFlare,1005,3,2,1,66.7%,11,7,4,▼ 2,0
26,SamuraiSteel,1004,3,2,1,66.7%,9,7,2,▼ 1,0
27,RhinoReaper,1001,34,16,18,47.1%,108,106,2,▼ 8,-8
28,BrachioWhip,1000,0,0,0,0.0%,0,0,0,→ 0,0
29,BahamutBlitz,1000,0,0,0,0.0%,0,0,0,→ 0,0
30,BulletGriffon,1000,0,0,0,0.0%,0,0,0,→ 0,0
31,DranStrike,1000,0,0,0,0.0%,0,0,0,→ 0,0
32,MummyCurse,1000,0,0,0,0.0%,0,0,0,→ 0,0
33,DranDagger,997,39,19,20,48.7%,117,120,-3,▲ 4,+11
34,PhoenixRudder,991,26,13,13,50.0%,67,72,-5,▲ 2,+8
35,WolfHunt,988,16,8,8,50.0%,42,46,-4,▼ 1,0
36,GhostCircle,981,3,1,2,33.3%,7,8,-1,▲ 1,0
37,ClockMirage,980,11,6,5,54.5%,28,31,-3,▼ 1,0
38,PerseusDark,979,35,16,19,45.7%,92,106,-14,▼ 5,-13
39,WizardArc,978,24,11,13,45.8%,62,69,-7,▲ 9,+15
40,CrimsonGaruda,978,29,13,16,44.8%,78,86,-8,▲ 1,0
41,UnicornSting,977,26,12,14,46.2%,68,74,-6,▲ 1,0
42,DranBuster,969,23,10,13,43.5%,64,68,-4,▲ 1,+4
43,CobaltDrake,967,22,9,13,40.9%,64,73,-9,→ 0,0
44,PhoenixWing,962,36,15,21,41.7%,87,118,-31,▼ 2,-11
45,HellsHammer,953,23,10,13,43.5%,60,76,-16,▼ 7,-32
46,SamuraiCalibur,952,2,0,2,0.0%,1,9,-8,→ 0,0
47,BlackShell,949,16,6,10,37.5%,31,50,-19,▲ 1,0
48,SharkEdge,934,37,15,22,40.5%,87,119,-32,▼ 2,-17
49,SolEclipse,931,27,9,18,33.3%,70,95,-25,→ 0,0
50,WhaleWave,929,26,9,17,34.6%,58,87,-29,▼ 1,0
51,EmperorMight,920,10,2,8,20.0%,14,32,-18,→ 0,0
52,WhaleFlame,912,11,3,8,27.3%,17,39,-22,→ 0,0
53,WyvernHover,906,22,6,16,27.3%,46,77,-31,→ 0,-10
54,PegasusBlast,903,12,3,9,25.0%,24,43,-19,→ 0,0
55,WizardRod,884,26,8,18,30.8%,53,91,-38,→ 0,0
56,SamuraiSaber,867,13,2,11,15.4%,21,50,-29,→ 0,0
57,WizardArrow,864,11,1,10,9.1%,19,43,-24,→ 0,0
58,TyrannoBeat,854,20,4,16,20.0%,32,73,-41,▲ 2,+8
