Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ValkyrieVolt,1165,28,21,7,75.0%,110,55,55,→ 0,-39
2,ImpactDrake,1145,43,30,13,69.8%,163,96,67,→ 0,+2
3,HellsBrave,1126,13,11,2,84.6%,53,17,36,→ 0,-5
4,SharkScale,1119,30,20,10,66.7%,114,70,44,→ 0,+2
5,TuskMammoth,1105,55,36,19,65.5%,188,142,46,→ 0,+9
6,FoxBrush,1085,35,23,12,65.7%,112,92,20,→ 0,+8
7,ScorpioSpear,1082,36,21,15,58.3%,117,95,22,▲ 1,+17
8,DranSword,1057,33,20,13,60.6%,103,93,10,▲ 7,+22
9,CobaltDragoon,1057,33,19,14,57.6%,107,84,23,▲ 5,+19
10,DranBrave,1055,33,19,14,57.6%,101,83,18,▼ 3,-10
11,LeonCrest,1045,37,19,18,51.4%,109,107,2,▼ 1,-1
12,ViperTail,1042,28,15,13,53.6%,85,74,11,▲ 1,+4
13,SilverWolf,1032,26,14,12,53.8%,79,69,10,▼ 4,-18
14,TyrannoRoar,1029,7,5,2,71.4%,24,14,10,▲ 2,0
15,WeissTiger,1027,31,17,14,54.8%,95,88,7,▲ 5,+12
16,HellsChain,1024,30,16,14,53.3%,88,76,12,▼ 4,-16
17,TriceraPress,1022,3,2,1,66.7%,12,5,7,→ 0,0
18,GolemRock,1017,37,18,19,48.6%,101,101,0,▼ 7,-24
19,HellsReaper,1015,29,14,15,48.3%,92,82,10,▲ 4,+4
20,CerberusFlame,1014,35,17,18,48.6%,93,97,-4,▼ 1,-5
21,RhinoReaper,1008,28,14,14,50.0%,91,90,1,▲ 6,+8
22,KnightMail,1008,32,15,17,46.9%,92,91,1,▼ 1,-4
23,WizardArc,1006,25,13,12,52.0%,73,72,1,▼ 5,-14
24,CobaltDrake,1000,26,12,14,46.2%,79,82,-3,→ 0,-11
25,WolfHunt,999,14,7,7,50.0%,35,37,-2,→ 0,-3
26,PerseusDark,998,31,15,16,48.4%,88,91,-3,▼ 4,-13
27,LeonClaw,995,28,13,15,46.4%,78,86,-8,▼ 1,-5
28,PhoenixRudder,990,20,10,10,50.0%,51,58,-7,▲ 1,+7
29,CrimsonGaruda,983,27,12,15,44.4%,73,81,-8,▼ 1,0
30,SamuraiSteel,981,3,1,2,33.3%,7,9,-2,→ 0,0
31,ClockMirage,969,7,3,4,42.9%,15,23,-8,→ 0,0
32,SharkEdge,966,32,14,18,43.8%,81,101,-20,▲ 3,+11
33,HellsHammer,966,17,7,10,41.2%,46,59,-13,▲ 9,+28
34,PhoenixWing,966,36,16,20,44.4%,87,116,-29,▲ 7,+26
35,UnicornSting,966,23,10,13,43.5%,60,69,-9,▼ 3,0
36,EmperorMight,965,9,3,6,33.3%,18,26,-8,▼ 3,0
37,DranDagger,957,33,13,20,39.4%,86,110,-24,▼ 3,-3
38,WhaleWave,954,28,12,16,42.9%,69,92,-23,▼ 2,0
39,SolEclipse,946,26,9,17,34.6%,67,91,-24,▼ 1,+1
40,SamuraiCalibur,943,3,0,3,0.0%,3,14,-11,▼ 1,0
41,PegasusBlast,941,12,4,8,33.3%,26,41,-15,▼ 1,0
42,WhaleFlame,935,8,2,6,25.0%,13,29,-16,▲ 1,0
43,WyvernHover,922,17,5,12,29.4%,38,58,-20,▼ 6,-29
44,WizardRod,921,24,8,16,33.3%,53,82,-29,→ 0,0
45,BlackShell,915,12,3,9,25.0%,17,42,-25,→ 0,0
46,DranBuster,902,13,3,10,23.1%,24,46,-22,→ 0,0
47,SamuraiSaber,901,15,3,12,20.0%,26,52,-26,→ 0,0
48,TyrannoBeat,895,15,3,12,20.0%,22,54,-32,→ 0,0
49,WizardArrow,883,10,1,9,10.0%,15,37,-22,→ 0,0
