Platz,Name,ELO_Global,ELO_Xtreme,Matches_Xtreme,Wins_Xtreme,Winrate_Xtreme,ELO_DropAttack,Matches_DropAttack,Wins_DropAttack,Winrate_DropAttack,ELO_DoubleXtreme,Matches_DoubleXtreme,Wins_DoubleXtreme,Winrate_DoubleXtreme
1,FoxBrush,1164,1164,45,32,71.1%,980,1,0,0.0%,1000,0,0,0.0%
2,ImpactDrake,1142,1142,50,33,66.0%,1000,2,1,50.0%,1000,0,0,0.0%
3,TuskMammoth,1121,1121,62,41,66.1%,985,5,2,40.0%,1000,0,0,0.0%
4,ValkyrieVolt,1109,1109,27,17,63.0%,1170,7,7,100.0%,1000,0,0,0.0%
5,DranSword,1102,1102,42,27,64.3%,957,2,0,0.0%,1000,0,0,0.0%
6,SharkScale,1095,1095,32,19,59.4%,1046,4,3,75.0%,1000,0,0,0.0%
7,HellsBrave,1090,1090,23,16,69.6%,1000,0,0,0.0%,1000,0,0,0.0%
8,WeissTiger,1077,1077,36,22,61.1%,976,1,0,0.0%,1000,0,0,0.0%
9,DranBrave,1056,1056,38,22,57.9%,986,1,0,0.0%,1000,0,0,0.0%
10,SilverWolf,1054,1054,35,20,57.1%,1000,0,0,0.0%,1000,0,0,0.0%
11,HellsChain,1053,1053,34,20,58.8%,997,2,1,50.0%,1000,0,0,0.0%
12,ViperTail,1047,1047,34,18,52.9%,1000,0,0,0.0%,1000,0,0,0.0%
13,LeonCrest,1043,1043,39,20,51.3%,982,4,1,25.0%,1000,0,0,0.0%
14,CobaltDragoon,1040,1040,41,21,51.2%,1000,2,1,50.0%,1000,0,0,0.0%
15,ScorpioSpear,1030,1030,42,20,47.6%,1087,4,4,100.0%,1000,0,0,0.0%
16,TriceraPress,1028,1028,6,4,66.7%,1000,0,0,0.0%,1116,8,7,87.5%
17,ShelterDrake,1027,1027,4,3,75.0%,1000,0,0,0.0%,983,1,0,0.0%
18,KnightMail,1023,1023,36,18,50.0%,1000,0,0,0.0%,1000,0,0,0.0%
19,TyrannoRoar,1018,1018,10,7,70.0%,1000,0,0,0.0%,971,3,1,33.3%
20,HellsReaper,1016,1016,34,17,50.0%,1000,0,0,0.0%,1000,0,0,0.0%
21,CerberusFlame,1014,1014,41,20,48.8%,1000,0,0,0.0%,1000,0,0,0.0%
22,LeonClaw,1014,1014,32,17,53.1%,961,2,0,0.0%,1000,0,0,0.0%
23,MeteorDragoon,1013,1013,5,3,60.0%,1000,0,0,0.0%,1010,4,2,50.0%
24,GolemRock,1011,1011,42,20,47.6%,976,1,0,0.0%,1000,0,0,0.0%
25,PhoenixFlare,1005,1005,3,2,66.7%,1000,0,0,0.0%,987,1,0,0.0%
26,SamuraiSteel,1004,1004,3,2,66.7%,1000,0,0,0.0%,998,6,3,50.0%
27,RhinoReaper,1001,1001,34,16,47.1%,1000,0,0,0.0%,1000,0,0,0.0%
28,DranStrike,1000,1000,0,0,0.0%,1000,0,0,0.0%,1000,0,0,0.0%
29,MummyCurse,1000,1000,0,0,0.0%,1000,0,0,0.0%,1000,0,0,0.0%
30,BulletGriffon,1000,1000,0,0,0.0%,1000,0,0,0.0%,1000,0,0,0.0%
31,BahamutBlitz,1000,1000,0,0,0.0%,1000,0,0,0.0%,1000,0,0,0.0%
32,BrachioWhip,1000,1000,0,0,0.0%,1000,0,0,0.0%,1000,0,0,0.0%
33,DranDagger,997,997,39,19,48.7%,988,5,2,40.0%,1070,5,4,80.0%
34,PhoenixRudder,991,991,26,13,50.0%,1000,0,0,0.0%,1000,0,0,0.0%
35,WolfHunt,988,988,16,8,50.0%,986,1,0,0.0%,1052,5,4,80.0%
36,GhostCircle,981,981,3,1,33.3%,1000,0,0,0.0%,980,1,0,0.0%
37,ClockMirage,980,980,11,6,54.5%,1000,0,0,0.0%,1022,3,2,66.7%
38,PerseusDark,979,979,35,16,45.7%,1005,2,1,50.0%,1000,0,0,0.0%
39,WizardArc,978,978,24,11,45.8%,1049,7,5,71.4%,1000,0,0,0.0%
40,CrimsonGaruda,978,978,29,13,44.8%,1002,2,1,50.0%,976,1,0,0.0%
41,UnicornSting,977,977,26,12,46.2%,1000,0,0,0.0%,986,1,0,0.0%
42,DranBuster,969,969,23,10,43.5%,976,1,0,0.0%,977,1,0,0.0%
43,CobaltDrake,967,967,22,9,40.9%,1013,6,3,50.0%,1020,4,3,75.0%
44,PhoenixWing,962,962,36,15,41.7%,962,6,2,33.3%,1000,0,0,0.0%
45,HellsHammer,953,953,23,10,43.5%,1000,0,0,0.0%,1000,0,0,0.0%
46,SamuraiCalibur,952,952,2,0,0.0%,978,1,0,0.0%,921,4,0,0.0%
47,BlackShell,949,949,16,6,37.5%,1000,0,0,0.0%,1000,2,1,50.0%
48,SharkEdge,934,934,37,15,40.5%,980,1,0,0.0%,1000,0,0,0.0%
49,SolEclipse,931,931,27,9,33.3%,961,2,0,0.0%,987,1,0,0.0%
50,WhaleWave,929,929,26,9,34.6%,1004,5,3,60.0%,991,2,1,50.0%
51,EmperorMight,920,920,10,2,20.0%,996,4,2,50.0%,980,1,0,0.0%
52,WhaleFlame,912,912,11,3,27.3%,1000,0,0,0.0%,980,1,0,0.0%
53,WyvernHover,906,906,22,6,27.3%,1000,0,0,0.0%,1000,0,0,0.0%
54,PegasusBlast,903,903,12,3,25.0%,1006,5,3,60.0%,981,1,0,0.0%
55,WizardRod,884,884,26,8,30.8%,997,3,2,66.7%,988,1,0,0.0%
56,SamuraiSaber,867,867,13,2,15.4%,1011,5,3,60.0%,998,2,1,50.0%
57,WizardArrow,864,864,11,1,9.1%,966,2,0,0.0%,985,1,0,0.0%
58,TyrannoBeat,854,854,20,4,20.0%,1042,6,4,66.7%,1042,2,2,100.0%
