Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,FoxBrush,1158,46,32,14,69.6%,164,115,49,▲ 2,+23
2,ValkyrieVolt,1157,34,24,10,70.6%,128,74,54,▼ 1,-15
3,ImpactDrake,1139,52,34,18,65.4%,196,122,74,▼ 1,-1
4,TuskMammoth,1112,67,43,24,64.2%,225,177,48,▲ 2,+13
5,SharkScale,1106,36,22,14,61.1%,127,91,36,▼ 1,-16
6,TriceraPress,1096,14,11,3,78.6%,57,23,34,▼ 1,-19
7,HellsBrave,1093,23,16,7,69.6%,82,47,35,→ 0,+11
8,DranSword,1087,44,27,17,61.4%,136,121,15,→ 0,+14
9,WeissTiger,1067,37,22,15,59.5%,119,95,24,▲ 4,+22
10,ScorpioSpear,1053,46,24,22,52.2%,133,129,4,▲ 1,0
11,HellsChain,1053,36,21,15,58.3%,110,87,23,▼ 1,-5
12,SilverWolf,1053,35,20,15,57.1%,105,92,13,▲ 4,+17
13,DranBrave,1044,39,22,17,56.4%,119,101,18,▼ 4,-17
14,ViperTail,1041,34,18,16,52.9%,103,88,15,▲ 1,+2
15,CobaltDragoon,1035,43,22,21,51.2%,132,118,14,▼ 3,-11
16,LeonCrest,1026,43,21,22,48.8%,119,125,-6,▼ 2,-18
17,DranDagger,1024,49,25,24,51.0%,156,150,6,▲ 3,+11
18,KnightMail,1023,36,18,18,50.0%,105,100,5,▼ 1,0
19,HellsReaper,1016,34,17,17,50.0%,106,96,10,▲ 4,+8
20,ShelterDrake,1014,5,3,2,60.0%,14,10,4,▼ 2,0
21,MeteorDragoon,1012,9,5,4,55.6%,34,25,9,→ 0,0
22,WizardArc,1012,31,16,15,51.6%,89,86,3,▲ 11,+16
23,CerberusFlame,1010,41,20,21,48.8%,106,115,-9,▼ 4,-3
24,WolfHunt,1005,22,12,10,54.5%,64,61,3,→ 0,0
25,LeonClaw,1004,34,17,17,50.0%,97,98,-1,▲ 12,+12
26,RhinoReaper,1003,34,16,18,47.1%,108,106,2,▼ 4,-9
27,GolemRock,1000,43,20,23,46.5%,112,117,-5,▲ 13,+27
28,SamuraiSteel,1000,9,5,4,55.6%,24,20,4,▼ 3,0
29,DranStrike,1000,0,0,0,0.0%,0,0,0,▼ 3,0
30,MummyCurse,1000,0,0,0,0.0%,0,0,0,▼ 3,0
31,BulletGriffon,1000,0,0,0,0.0%,0,0,0,▼ 3,0
32,BahamutBlitz,1000,0,0,0,0.0%,0,0,0,▼ 3,0
33,BrachioWhip,1000,0,0,0,0.0%,0,0,0,▼ 3,0
34,ClockMirage,999,14,8,6,57.1%,40,37,3,▼ 3,0
35,TyrannoRoar,998,13,8,5,61.5%,37,36,1,▼ 3,0
36,PhoenixRudder,996,26,13,13,50.0%,67,72,-5,▲ 2,+5
37,PhoenixFlare,995,4,2,2,50.0%,14,11,3,▼ 3,0
38,CobaltDrake,986,32,15,17,46.9%,99,102,-3,▲ 1,0
39,PerseusDark,979,37,17,20,45.9%,99,110,-11,▼ 3,-13
40,CrimsonGaruda,972,32,14,18,43.8%,84,96,-12,▲ 1,0
41,UnicornSting,971,27,12,15,44.4%,70,78,-8,▲ 1,0
42,GhostCircle,961,4,1,3,25.0%,7,12,-5,▲ 1,0
43,HellsHammer,960,23,10,13,43.5%,60,76,-16,▼ 8,-32
44,BlackShell,952,18,7,11,38.9%,37,55,-18,▲ 2,0
45,PhoenixWing,946,42,17,25,40.5%,97,137,-40,▼ 1,-12
46,DranBuster,944,25,10,15,40.0%,64,78,-14,▲ 1,+6
47,SharkEdge,934,38,15,23,39.5%,87,123,-36,▼ 2,-19
48,TyrannoBeat,933,28,10,18,35.7%,60,84,-24,▲ 1,+8
49,WhaleWave,932,33,13,20,39.4%,77,110,-33,▼ 1,0
50,SamuraiSaber,920,20,6,14,30.0%,41,67,-26,→ 0,0
51,EmperorMight,915,15,4,11,26.7%,24,46,-22,→ 0,0
52,PegasusBlast,913,18,6,12,33.3%,38,61,-23,▲ 1,0
53,SolEclipse,911,30,9,21,30.0%,75,108,-33,▲ 1,0
54,WyvernHover,903,22,6,16,27.3%,46,77,-31,▼ 2,-11
55,WhaleFlame,900,12,3,9,25.0%,17,43,-26,→ 0,0
56,WizardRod,889,30,10,20,33.3%,65,107,-42,→ 0,0
57,SamuraiCalibur,853,7,0,7,0.0%,4,31,-27,→ 0,0
58,WizardArrow,833,14,1,13,7.1%,23,56,-33,→ 0,0
