Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,TriceraPress,1116,8,7,1,87.5%,36,14,22,→ 0,0
2,DranDagger,1070,5,4,1,80.0%,25,12,13,→ 0,0
3,WolfHunt,1052,5,4,1,80.0%,20,11,9,→ 0,0
4,TyrannoBeat,1042,2,2,0,100.0%,8,0,8,→ 0,0
5,ClockMirage,1022,3,2,1,66.7%,12,6,6,→ 0,0
6,CobaltDrake,1020,4,3,1,75.0%,15,13,2,→ 0,0
7,MeteorDragoon,1010,4,2,2,50.0%,13,11,2,→ 0,0
8,BlackShell,1000,2,1,1,50.0%,6,5,1,→ 0,0
9,FoxBrush,1000,0,0,0,0.0%,0,0,0,→ 0,0
10,ImpactDrake,1000,0,0,0,0.0%,0,0,0,→ 0,0
11,CerberusFlame,1000,0,0,0,0.0%,0,0,0,→ 0,0
12,CobaltDragoon,1000,0,0,0,0.0%,0,0,0,→ 0,0
13,KnightMail,1000,0,0,0,0.0%,0,0,0,→ 0,0
14,RhinoReaper,1000,0,0,0,0.0%,0,0,0,→ 0,0
15,WeissTiger,1000,0,0,0,0.0%,0,0,0,→ 0,0
16,TuskMammoth,1000,0,0,0,0.0%,0,0,0,→ 0,0
17,ViperTail,1000,0,0,0,0.0%,0,0,0,→ 0,0
18,DranSword,1000,0,0,0,0.0%,0,0,0,→ 0,0
19,SilverWolf,1000,0,0,0,0.0%,0,0,0,→ 0,0
20,HellsChain,1000,0,0,0,0.0%,0,0,0,→ 0,0
21,GolemRock,1000,0,0,0,0.0%,0,0,0,→ 0,0
22,PerseusDark,1000,0,0,0,0.0%,0,0,0,→ 0,0
23,ScorpioSpear,1000,0,0,0,0.0%,0,0,0,→ 0,0
24,PhoenixRudder,1000,0,0,0,0.0%,0,0,0,→ 0,0
25,LeonCrest,1000,0,0,0,0.0%,0,0,0,→ 0,0
26,WizardArc,1000,0,0,0,0.0%,0,0,0,→ 0,0
27,HellsReaper,1000,0,0,0,0.0%,0,0,0,→ 0,0
28,SharkEdge,1000,0,0,0,0.0%,0,0,0,→ 0,0
29,PhoenixWing,1000,0,0,0,0.0%,0,0,0,→ 0,0
30,DranBrave,1000,0,0,0,0.0%,0,0,0,→ 0,0
31,HellsHammer,1000,0,0,0,0.0%,0,0,0,→ 0,0
32,LeonClaw,1000,0,0,0,0.0%,0,0,0,→ 0,0
33,SharkScale,1000,0,0,0,0.0%,0,0,0,→ 0,0
34,ValkyrieVolt,1000,0,0,0,0.0%,0,0,0,→ 0,0
35,WyvernHover,1000,0,0,0,0.0%,0,0,0,→ 0,0
36,HellsBrave,1000,0,0,0,0.0%,0,0,0,→ 0,0
37,DranStrike,1000,0,0,0,0.0%,0,0,0,→ 0,0
38,MummyCurse,1000,0,0,0,0.0%,0,0,0,→ 0,0
39,BulletGriffon,1000,0,0,0,0.0%,0,0,0,→ 0,0
40,BahamutBlitz,1000,0,0,0,0.0%,0,0,0,→ 0,0
41,BrachioWhip,1000,0,0,0,0.0%,0,0,0,→ 0,0
42,SamuraiSteel,998,6,3,3,50.0%,15,13,2,→ 0,0
43,SamuraiSaber,998,2,1,1,50.0%,5,6,-1,→ 0,0
44,WhaleWave,991,2,1,1,50.0%,4,6,-2,→ 0,0
45,WizardRod,988,1,0,1,0.0%,2,4,-2,→ 0,0
46,SolEclipse,987,1,0,1,0.0%,3,4,-1,→ 0,0
47,PhoenixFlare,987,1,0,1,0.0%,3,4,-1,→ 0,0
48,UnicornSting,986,1,0,1,0.0%,2,4,-2,→ 0,0
49,WizardArrow,985,1,0,1,0.0%,2,5,-3,→ 0,0
50,ShelterDrake,983,1,0,1,0.0%,0,4,-4,→ 0,0
51,PegasusBlast,981,1,0,1,0.0%,0,4,-4,→ 0,0
52,WhaleFlame,980,1,0,1,0.0%,0,4,-4,→ 0,0
53,GhostCircle,980,1,0,1,0.0%,0,4,-4,→ 0,0
54,EmperorMight,980,1,0,1,0.0%,0,4,-4,→ 0,0
55,DranBuster,977,1,0,1,0.0%,0,5,-5,→ 0,0
56,CrimsonGaruda,976,1,0,1,0.0%,0,5,-5,→ 0,0
57,TyrannoRoar,971,3,1,2,33.3%,4,12,-8,→ 0,0
58,SamuraiCalibur,921,4,0,4,0.0%,3,18,-15,→ 0,0
