Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1098,50,33,17,66.0%,191,116,75,→ 0,0
2,FoxBrush,1091,45,32,13,71.1%,164,111,53,→ 0,0
3,SharkScale,1072,32,19,13,59.4%,110,83,27,→ 0,0
4,ValkyrieVolt,1072,27,17,10,63.0%,88,65,23,→ 0,0
5,HellsBrave,1068,23,16,7,69.6%,82,47,35,→ 0,0
6,TuskMammoth,1066,62,41,21,66.1%,213,164,49,→ 0,0
7,WeissTiger,1051,36,22,14,61.1%,119,90,29,→ 0,0
8,CobaltDragoon,1047,41,21,20,51.2%,127,112,15,→ 0,0
9,DranSword,1041,42,27,15,64.3%,134,111,23,→ 0,0
10,TriceraPress,1041,6,4,2,66.7%,21,9,12,→ 0,0
11,HellsChain,1037,34,20,14,58.8%,106,83,23,→ 0,0
12,ViperTail,1036,34,18,16,52.9%,103,88,15,→ 0,0
13,ShelterDrake,1031,4,3,1,75.0%,14,6,8,→ 0,0
14,DranBrave,1031,38,22,16,57.9%,117,97,20,→ 0,0
15,MeteorDragoon,1027,5,3,2,60.0%,21,14,7,→ 0,0
16,TyrannoRoar,1024,10,7,3,70.0%,33,24,9,→ 0,0
17,KnightMail,1023,36,18,18,50.0%,105,100,5,→ 0,0
18,GolemRock,1020,42,20,22,47.6%,112,112,0,→ 0,0
19,LeonCrest,1017,39,20,19,51.3%,112,112,0,→ 0,0
20,CerberusFlame,1016,41,20,21,48.8%,106,115,-9,→ 0,0
21,ScorpioSpear,1015,42,20,22,47.6%,112,123,-11,→ 0,0
22,RhinoReaper,1015,34,16,18,47.1%,108,106,2,→ 0,0
23,HellsReaper,1013,34,17,17,50.0%,106,96,10,→ 0,0
24,SilverWolf,1013,35,20,15,57.1%,105,92,13,→ 0,0
25,PhoenixFlare,1009,3,2,1,66.7%,11,7,4,→ 0,0
26,LeonClaw,1008,32,17,15,53.1%,97,90,7,→ 0,0
27,DranDagger,1006,39,19,20,48.7%,117,120,-3,→ 0,0
28,WizardArrow 4-80B,1000,0,0,0,0.0%,0,0,0,→ 0,0
29,SharkEdge 3-60LF,1000,0,0,0,0.0%,0,0,0,→ 0,0
30,BlackShell 4-60D,1000,0,0,0,0.0%,0,0,0,→ 0,0
31,PhoenixWing 9-60GF,1000,0,0,0,0.0%,0,0,0,→ 0,0
32,MeteorDragoon 3-70J,1000,0,0,0,0.0%,0,0,0,→ 0,0
33,DranBuster 1-60A,1000,0,0,0,0.0%,0,0,0,→ 0,0
34,DranDagger 4-60R,1000,0,0,0,0.0%,0,0,0,→ 0,0
35,FoxBrush J9-70GR,1000,0,0,0,0.0%,0,0,0,→ 0,0
36,WhaleFlame M3-85HT,1000,0,0,0,0.0%,0,0,0,→ 0,0
37,HellsReaper T4-70K,1000,0,0,0,0.0%,0,0,0,→ 0,0
38,SamuraiSteel 5-70GF,1000,0,0,0,0.0%,0,0,0,→ 0,0
39,ScorpioSpear 0-70Z,1000,0,0,0,0.0%,0,0,0,→ 0,0
40,CobaltDrake 4-60F,1000,0,0,0,0.0%,0,0,0,→ 0,0
41,CerberusFlame W5-80WB,1000,0,0,0,0.0%,0,0,0,→ 0,0
42,ImpactDrake 9-60LR,1000,0,0,0,0.0%,0,0,0,→ 0,0
43,ValkyrieVolt S4-70V,1000,0,0,0,0.0%,0,0,0,→ 0,0
44,HellsChain 5-60HT,1000,0,0,0,0.0%,0,0,0,→ 0,0
45,PegasusBlast ATr,1000,0,0,0,0.0%,0,0,0,→ 0,0
46,EmperorMight HOp,1000,0,0,0,0.0%,0,0,0,→ 0,0
47,HellsBrave J3-60GF,1000,0,0,0,0.0%,0,0,0,→ 0,0
48,WeissTiger 3-60U,1000,0,0,0,0.0%,0,0,0,→ 0,0
49,WizardArc R4-55LO,1000,0,0,0,0.0%,0,0,0,→ 0,0
50,KnightMail 3-85BS,1000,0,0,0,0.0%,0,0,0,→ 0,0
51,DranBrave S6-60V,1000,0,0,0,0.0%,0,0,0,→ 0,0
52,GhostCircle 0-80GB,1000,0,0,0,0.0%,0,0,0,→ 0,0
53,DranSword 3-60F,1000,0,0,0,0.0%,0,0,0,→ 0,0
54,GolemRock 1-60UN,1000,0,0,0,0.0%,0,0,0,→ 0,0
55,BulletGriffon H,1000,0,0,0,0.0%,0,0,0,→ 0,0
56,TyrannoRoar 1-70L,1000,0,0,0,0.0%,0,0,0,→ 0,0
57,SolEclipse D5-70TK,1000,0,0,0,0.0%,0,0,0,→ 0,0
58,HellsHammer 3-70H,1000,0,0,0,0.0%,0,0,0,→ 0,0
59,UnicornSting 5-60GP,1000,0,0,0,0.0%,0,0,0,→ 0,0
60,RhinoReaper C4-55D,1000,0,0,0,0.0%,0,0,0,→ 0,0
61,WyvernHover 3-85N,1000,0,0,0,0.0%,0,0,0,→ 0,0
62,TriceraPress M-85BS,1000,0,0,0,0.0%,0,0,0,→ 0,0
63,LeonCrest 7-60GN,1000,0,0,0,0.0%,0,0,0,→ 0,0
64,SamuraiCalibur 6-70M,1000,0,0,0,0.0%,0,0,0,→ 0,0
65,SilverWolf 3-80FB,1000,0,0,0,0.0%,0,0,0,→ 0,0
66,WolfHunt F0-60DB,1000,0,0,0,0.0%,0,0,0,→ 0,0
67,TyrannoBeat 4-70Q,1000,0,0,0,0.0%,0,0,0,→ 0,0
68,PhoenixFlare Z9-80WW,1000,0,0,0,0.0%,0,0,0,→ 0,0
69,CrimsonGaruda 4-70TP,1000,0,0,0,0.0%,0,0,0,→ 0,0
70,ClockMirage 9-65B,1000,0,0,0,0.0%,0,0,0,→ 0,0
71,PhoenixRudder 9-70G,1000,0,0,0,0.0%,0,0,0,→ 0,0
72,BrachioWhip OW5-70Nr,1000,0,0,0,0.0%,0,0,0,→ 0,0
73,CobaltDragoon 2-60C,1000,0,0,0,0.0%,0,0,0,→ 0,0
74,MummyCurse 7-55W,1000,0,0,0,0.0%,0,0,0,→ 0,0
75,ViperTail 5-80O,1000,0,0,0,0.0%,0,0,0,→ 0,0
76,BahamutBlitz BK1-50I,1000,0,0,0,0.0%,0,0,0,→ 0,0
77,LeonClaw 5-60P,1000,0,0,0,0.0%,0,0,0,→ 0,0
78,WizardRod 5-70DB,1000,0,0,0,0.0%,0,0,0,→ 0,0
79,PerseusDark B6-80W,1000,0,0,0,0.0%,0,0,0,→ 0,0
80,WhaleWave 5-80E,1000,0,0,0,0.0%,0,0,0,→ 0,0
81,TuskMammoth 3-60T,1000,0,0,0,0.0%,0,0,0,→ 0,0
82,ShelterDrake 7-80GP,1000,0,0,0,0.0%,0,0,0,→ 0,0
83,SamuraiSaber 2-70L,1000,0,0,0,0.0%,0,0,0,→ 0,0
84,DranStrike 4-50FF,1000,0,0,0,0.0%,0,0,0,→ 0,0
85,SharkScale 4-50UF,1000,0,0,0,0.0%,0,0,0,→ 0,0
86,WolfHunt,997,16,8,8,50.0%,42,46,-4,→ 0,0
87,SamuraiSteel,997,3,2,1,66.7%,9,7,2,→ 0,0
88,PerseusDark,994,35,16,19,45.7%,92,106,-14,→ 0,0
89,UnicornSting,992,26,12,14,46.2%,68,74,-6,→ 0,0
90,GhostCircle,992,3,1,2,33.3%,7,8,-1,→ 0,0
91,WizardArc,990,24,11,13,45.8%,62,69,-7,→ 0,0
92,CrimsonGaruda,988,29,13,16,44.8%,78,86,-8,→ 0,0
93,CobaltDrake,987,22,9,13,40.9%,64,73,-9,→ 0,0
94,DranBuster,986,23,10,13,43.5%,64,68,-4,→ 0,0
95,PhoenixRudder,983,26,13,13,50.0%,67,72,-5,→ 0,0
96,PhoenixWing,981,36,15,21,41.7%,87,118,-31,→ 0,0
97,HellsHammer,970,23,10,13,43.5%,60,76,-16,→ 0,0
98,WyvernHover,968,22,6,16,27.3%,46,77,-31,→ 0,0
99,SolEclipse,968,27,9,18,33.3%,70,95,-25,→ 0,0
100,SamuraiCalibur,966,2,0,2,0.0%,1,9,-8,→ 0,0
101,BlackShell,965,16,6,10,37.5%,31,50,-19,→ 0,0
102,ClockMirage,961,11,6,5,54.5%,28,31,-3,→ 0,0
103,SharkEdge,959,37,15,22,40.5%,87,119,-32,→ 0,0
104,WhaleWave,944,26,9,17,34.6%,58,87,-29,→ 0,0
105,PegasusBlast,943,12,3,9,25.0%,24,43,-19,→ 0,0
106,WizardRod,941,26,8,18,30.8%,53,91,-38,→ 0,0
107,EmperorMight,941,10,2,8,20.0%,14,32,-18,→ 0,0
108,WhaleFlame,931,11,3,8,27.3%,17,39,-22,→ 0,0
109,WizardArrow,921,11,1,10,9.1%,19,43,-24,→ 0,0
110,SamuraiSaber,912,13,2,11,15.4%,21,50,-29,→ 0,0
111,TyrannoBeat,909,20,4,16,20.0%,32,73,-41,→ 0,0
