Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1120,27,19,8,70.4%,103,57,46,→ 0,0
2,LeonCrest,1108,18,12,6,66.7%,62,40,22,→ 0,0
3,ValkyrieVolt,1101,6,5,1,83.3%,25,7,18,▲ 1,0
4,TuskMammoth,1095,34,24,10,70.6%,116,86,30,▼ 1,-10
5,SharkScale,1085,11,8,3,72.7%,44,21,23,→ 0,0
6,GolemRock,1078,26,16,10,61.5%,81,57,24,▲ 1,+13
7,CobaltDragoon,1068,20,13,7,65.0%,69,46,23,▼ 1,0
8,ScorpioSpear,1064,19,12,7,63.2%,60,44,16,→ 0,0
9,FoxBrush,1050,24,15,9,62.5%,75,66,9,→ 0,0
10,DranBrave,1040,21,12,9,57.1%,64,55,9,→ 0,0
11,DranSword,1036,21,12,9,57.1%,61,60,1,→ 0,0
12,PerseusDark,1034,16,9,7,56.2%,50,42,8,→ 0,0
13,WeissTiger,1032,14,8,6,57.1%,44,33,11,→ 0,0
14,ViperTail,1028,18,9,9,50.0%,53,49,4,→ 0,0
15,WyvernHover,1027,6,4,2,66.7%,18,13,5,→ 0,0
16,LeonClaw,1016,15,8,7,53.3%,45,44,1,→ 0,0
17,KnightMail,1015,18,9,9,50.0%,53,49,4,→ 0,0
18,HellsChain,1005,17,8,9,47.1%,51,47,4,→ 0,0
19,RhinoReaper,1003,17,8,9,47.1%,56,57,-1,→ 0,0
20,WolfHunt,1003,2,1,1,50.0%,4,4,0,→ 0,0
21,HellsReaper,1002,17,8,9,47.1%,48,46,2,→ 0,0
22,ClockMirage,1000,0,0,0,0.0%,0,0,0,→ 0,0
23,MeteorDragoon,1000,0,0,0,0.0%,0,0,0,→ 0,0
24,BrachioWhip,1000,0,0,0,0.0%,0,0,0,→ 0,0
25,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,→ 0,0
26,SamuraiSteel,1000,0,0,0,0.0%,0,0,0,→ 0,0
27,BahamutBlitz,1000,0,0,0,0.0%,0,0,0,→ 0,0
28,HellsBrave,1000,0,0,0,0.0%,0,0,0,→ 0,0
29,GhostCircle,1000,0,0,0,0.0%,0,0,0,→ 0,0
30,BulletGriffon,1000,0,0,0,0.0%,0,0,0,→ 0,0
31,DranStrike,1000,0,0,0,0.0%,0,0,0,→ 0,0
32,PhoenixFlare,1000,0,0,0,0.0%,0,0,0,→ 0,0
33,MummyCurse,1000,0,0,0,0.0%,0,0,0,→ 0,0
34,ShelterDrake,1000,0,0,0,0.0%,0,0,0,→ 0,0
35,TriceraPress,1000,0,0,0,0.0%,0,0,0,→ 0,0
36,SamuraiCalibur,1000,0,0,0,0.0%,0,0,0,→ 0,0
37,CerberusFlame,996,24,11,13,45.8%,59,67,-8,→ 0,0
38,SharkEdge,993,20,10,10,50.0%,54,63,-9,→ 0,0
39,SolEclipse,989,14,6,8,42.9%,41,45,-4,→ 0,0
40,SilverWolf,985,14,6,8,42.9%,39,45,-6,→ 0,0
41,UnicornSting,984,17,8,9,47.1%,42,47,-5,→ 0,0
42,DranDagger,980,17,8,9,47.1%,46,53,-7,→ 0,0
43,CrimsonGaruda,979,17,7,10,41.2%,41,51,-10,→ 0,0
44,WizardRod,978,16,7,9,43.8%,44,52,-8,→ 0,0
45,PhoenixWing,970,19,8,11,42.1%,48,64,-16,→ 0,0
46,DranBuster,967,10,3,7,30.0%,24,33,-9,→ 0,0
47,EmperorMight,965,2,0,2,0.0%,0,8,-8,→ 0,0
48,WhaleWave,964,16,6,10,37.5%,38,53,-15,→ 0,0
49,CobaltDrake,955,5,1,4,20.0%,11,21,-10,→ 0,0
50,PhoenixRudder,952,9,3,6,33.3%,17,31,-14,→ 0,0
51,WhaleFlame,951,5,1,4,20.0%,8,19,-11,→ 0,0
52,WizardArc,934,7,1,6,14.3%,17,30,-13,→ 0,0
53,PegasusBlast,923,6,1,5,16.7%,11,24,-13,→ 0,0
54,TyrannoBeat,923,9,2,7,22.2%,18,33,-15,→ 0,0
55,BlackShell,919,9,2,7,22.2%,11,32,-21,→ 0,0
56,HellsHammer,900,5,0,5,0.0%,6,23,-17,→ 0,0
57,WizardArrow,887,6,0,6,0.0%,7,24,-17,→ 0,0
58,SamuraiSaber,867,8,0,8,0.0%,9,32,-23,→ 0,0
