FixtureID,Date,BeyA,BeyB,MatchType,SeasonID,Tier,Matchday
S3_T4_LeonClaw_TyrannoBeat,,TyrannoBeat,LeonClaw,season,S3,4,1
S3_T4_HellsHammer_TriceraPress,,TriceraPress,HellsHammer,season,S3,4,1
S3_T4_DranBuster_DranDagger,,DranDagger,DranBuster,season,S3,4,1
S3_T4_PhoenixRudder_SharkEdge,,PhoenixRudder,SharkEdge,season,S3,4,1
S3_T3_HellsBrave_WyvernHover,,WyvernHover,HellsBrave,season,S3,3,1
S3_T3_HellsChain_WizardArc,,HellsChain,WizardArc,season,S3,3,1
S3_T3_KnightMail_PerseusDark,,KnightMail,PerseusDark,season,S3,3,1
S3_T3_HellsReaper_RhinoReaper,,HellsReaper,RhinoReaper,season,S3,3,1
S3_T2_LeonCrest_PhoenixWing,,PhoenixWing,LeonCrest,season,S3,2,1
S3_T2_CerberusFlame_DranBrave,,DranBrave,CerberusFlame,season,S3,2,1
S3_T2_GolemRock_ViperTail,,ViperTail,GolemRock,season,S3,2,1
S3_T2_SilverWolf_WeissTiger,,WeissTiger,SilverWolf,season,S3,2,1
S3_T1_ImpactDrake_ScorpioSpear,,ScorpioSpear,ImpactDrake,season,S3,1,1
S3_T1_CobaltDragoon_FoxBrush,,FoxBrush,CobaltDragoon,season,S3,1,1
S3_T1_DranSword_TuskMammoth,,TuskMammoth,DranSword,season,S3,1,1
S3_T1_SharkScale_ValkyrieVolt,,SharkScale,ValkyrieVolt,season,S3,1,1
S3_T4_DranBuster_PhoenixRudder,,DranBuster,PhoenixRudder,season,S3,4,2
S3_T4_SharkEdge_TyrannoBeat,,SharkEdge,TyrannoBeat,season,S3,4,2
S3_T4_DranDagger_HellsHammer,,HellsHammer,DranDagger,season,S3,4,2
S3_T4_LeonClaw_TriceraPress,,LeonClaw,TriceraPress,season,S3,4,2
S3_T3_HellsReaper_PerseusDark,,PerseusDark,HellsReaper,season,S3,3,2
S3_T3_RhinoReaper_WyvernHover,,RhinoReaper,WyvernHover,season,S3,3,2
S3_T3_KnightMail_WizardArc,,WizardArc,KnightMail,season,S3,3,2
S3_T3_HellsBrave_HellsChain,,HellsBrave,HellsChain,season,S3,3,2
S3_T2_GolemRock_WeissTiger,,GolemRock,WeissTiger,season,S3,2,2
S3_T2_PhoenixWing_SilverWolf,,SilverWolf,PhoenixWing,season,S3,2,2
S3_T2_CerberusFlame_ViperTail,,CerberusFlame,ViperTail,season,S3,2,2
S3_T2_DranBrave_LeonCrest,,LeonCrest,DranBrave,season,S3,2,2
S3_T1_DranSword_SharkScale,,DranSword,SharkScale,season,S3,1,2
S3_T1_ScorpioSpear_ValkyrieVolt,,ValkyrieVolt,ScorpioSpear,season,S3,1,2
S3_T1_CobaltDragoon_TuskMammoth,,CobaltDragoon,TuskMammoth,season,S3,1,2
S3_T1_FoxBrush_ImpactDrake,,ImpactDrake,FoxBrush,season,S3,1,2
S3_T4_HellsHammer_PhoenixRudder,,PhoenixRudder,HellsHammer,season,S3,4,3
S3_T4_DranDagger_LeonClaw,,DranDagger,LeonClaw,season,S3,4,3
