MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,,WyvernHover,KnightMail,,,season,S3,3,5,Xtreme
M0002,,KnightMail,HellsReaper,,,season,S3,3,6,Xtreme
M0003,,SharkEdge,DranDagger,,,season,S3,4,7,Xtreme
M0004,,TyrannoBeat,PhoenixRudder,,,season,S3,4,7,Xtreme
M0005,,DranBuster,TriceraPress,,,season,S3,4,7,Xtreme
M0006,,HellsHammer,LeonClaw,,,season,S3,4,7,Xtreme
M0007,,RhinoReaper,KnightMail,,,season,S3,3,7,Xtreme
M0008,,WyvernHover,HellsReaper,,,season,S3,3,7,Xtreme
M0009,,PerseusDark,HellsChain,,,season,S3,3,7,Xtreme
M0010,,WizardArc,HellsBrave,,,season,S3,3,7,Xtreme
M0011,,SilverWolf,ViperTail,,,season,S3,2,7,Xtreme
M0012,,PhoenixWing,WeissTiger,,,season,S3,2,7,Xtreme
M0013,,GolemRock,DranBrave,,,season,S3,2,7,Xtreme
M0014,,CerberusFlame,LeonCrest,,,season,S3,2,7,Xtreme
M0015,,ValkyrieVolt,TuskMammoth,,,season,S3,1,7,Xtreme
M0016,,ScorpioSpear,SharkScale,,,season,S3,1,7,Xtreme
M0017,,DranSword,FoxBrush,,,season,S3,1,7,Xtreme
M0018,,CobaltDragoon,ImpactDrake,,,season,S3,1,7,Xtreme
