Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
1,1,1,0,2025-09-07,WizardArc,993,2,1,0,1,0.0
2,1,0,1,2025-09-07,WizardArc,993,3,1,0,1,0.0
2,1,1,0,2025-09-07,TuskMammoth,1007,2,1,1,0,1.0
2,1,1,0,2025-09-07,SamuraiSaber,993,4,1,0,1,0.0
3,1,1,0,2025-09-07,GolemRock,1020,1,1,1,0,1.0
3,1,0,1,2025-09-07,ViperTail,1007,2,1,1,0,1.0
3,1,0,1,2025-09-07,TuskMammoth,1007,3,1,1,0,1.0
3,1,1,0,2025-09-07,BlackShell,980,6,1,0,1,0.0
3,1,0,1,2025-09-07,WizardArc,993,4,1,0,1,0.0
3,1,0,1,2025-09-07,SamuraiSaber,993,5,1,0,1,0.0
4,1,0,1,2025-09-07,BlackShell,980,8,1,0,1,0.0
4,1,1,0,2025-09-07,ImpactDrake,1003,4,1,1,0,1.0
4,1,0,1,2025-09-07,WizardArc,993,6,1,0,1,0.0
4,1,1,0,2025-09-07,LeonCrest,997,5,1,0,1,0.0
4,1,0,1,2025-09-07,SamuraiSaber,993,7,1,0,1,0.0
5,1,1,0,2025-09-07,HellsReaper,993,9,1,0,1,0.0
5,1,1,0,2025-09-07,DranBrave,1007,4,1,1,0,1.0
5,1,0,1,2025-09-07,BlackShell,980,10,1,0,1,0.0
5,1,0,1,2025-09-07,ImpactDrake,1003,5,1,1,0,1.0
5,1,0,1,2025-09-07,WizardArc,993,7,1,0,1,0.0
5,1,0,1,2025-09-07,LeonCrest,997,6,1,0,1,0.0
5,1,0,1,2025-09-07,SamuraiSaber,993,8,1,0,1,0.0
6,1,0,1,2025-09-07,HellsReaper,993,11,1,0,1,0.0
6,1,1,0,2025-09-07,DranSword,1003,6,1,1,0,1.0
6,1,0,1,2025-09-07,BlackShell,980,12,1,0,1,0.0
6,1,0,1,2025-09-07,WizardArc,993,9,1,0,1,0.0
6,1,1,0,2025-09-07,HellsHammer,997,8,1,0,1,0.0
6,1,0,1,2025-09-07,LeonCrest,997,7,1,0,1,0.0
