bey_name,matches_played,matches_won,matches_lost,match_win_rate,total_points_scored,total_points_conceded,points_differential,total_rounds_played,rounds_won,rounds_lost,round_differential,points_per_round,avg_rounds_per_match,avg_points_per_match,burst_wins,pocket_wins,extreme_wins,spin_wins,burst_losses,pocket_losses,extreme_losses,spin_losses,total_finishes,burst_win_rate,aggression_ratio,bursts_suffered,pocket_outs_suffered,extreme_finishes_suffered,defensive_stability_index,clutch_matches_won,clutch_win_rate,comeback_wins,reverse_sweeps,offensive_power_index,dominance_index,volatility_index
TriceraPress,6,4,2,66.67,21,9,12,15,11,4,7,1.4,2.5,3.5,1,7,1,2,0,1,2,1,11,9.09,81.82,0,1,2,1.0,0,0.0,0,0,3.58,4.1,1.87
HellsBrave,16,11,5,68.75,57,36,21,52,28,24,4,1.096,3.25,3.56,6,12,5,4,1,9,1,13,27,21.43,82.14,1,9,1,0.981,1,6.25,2,2,3.66,2.96,1.71
ImpactDrake,26,15,11,57.69,93,64,29,91,49,42,7,1.022,3.5,3.58,11,14,9,14,1,19,1,21,48,22.45,69.39,1,19,1,0.989,1,3.85,3,1,3.75,2.65,1.36
TuskMammoth,24,15,9,62.5,79,54,25,77,47,30,17,1.026,3.21,3.29,6,10,8,23,1,17,3,9,47,12.77,51.06,1,17,3,0.987,0,0.0,5,4,3.38,2.58,1.97
SharkScale,23,14,9,60.87,79,57,22,81,44,37,7,0.975,3.52,3.43,12,10,6,15,1,10,4,21,43,27.27,63.64,1,10,4,0.988,1,4.35,7,4,3.74,2.42,1.73
FoxBrush,23,16,7,69.57,79,60,19,75,44,31,13,1.053,3.26,3.43,9,15,5,14,5,6,9,11,43,20.45,65.91,5,6,9,0.933,4,17.39,7,5,3.63,2.41,1.83
HellsChain,22,15,7,68.18,69,48,21,72,48,24,24,0.958,3.27,3.14,9,6,3,30,3,11,5,5,48,18.75,37.5,3,11,5,0.958,3,13.64,1,1,3.48,2.39,1.61
WeissTiger,25,16,9,64.0,82,59,23,86,47,39,8,0.953,3.44,3.28,4,17,7,19,5,10,2,21,47,8.51,59.57,5,10,2,0.942,2,8.0,2,2,3.3,2.35,1.9
ValkyrieVolt,23,15,8,65.22,74,54,20,84,43,41,2,0.881,3.65,3.22,9,16,3,15,5,4,1,29,43,20.93,65.12,5,4,1,0.94,2,8.7,4,4,3.54,2.19,1.73
DranSword,23,15,8,65.22,74,58,16,75,39,36,3,0.987,3.26,3.22,10,13,6,10,9,9,2,16,39,25.64,74.36,9,9,2,0.88,2,8.7,5,4,3.52,2.18,1.73
LeonClaw,22,13,9,59.09,71,57,14,73,41,32,9,0.973,3.32,3.23,9,13,4,15,7,14,2,9,41,21.95,63.41,7,14,2,0.904,2,9.09,4,4,3.55,2.1,1.6
DranBrave,22,13,9,59.09,68,55,13,71,35,36,-1,0.958,3.23,3.09,4,16,6,8,5,10,2,19,34,11.43,74.29,5,10,2,0.93,2,9.09,5,3,3.05,2.03,1.9
PhoenixRudder,13,7,6,53.85,38,33,5,40,23,17,6,0.95,3.08,2.92,4,7,2,10,4,12,0,1,23,17.39,56.52,4,12,0,0.9,0,0.0,1,1,3.15,1.81,1.89
DranBuster,6,3,3,50.0,18,16,2,19,9,10,-1,0.947,3.17,3.0,3,4,1,1,0,6,0,4,9,33.33,88.89,0,6,0,1.0,0,0.0,1,1,3.42,1.75,1.55
SilverWolf,25,16,9,64.0,77,63,14,98,61,37,24,0.786,3.92,3.08,4,8,2,47,14,6,3,14,61,6.56,22.95,14,6,3,0.857,2,8.0,4,3,3.2,1.74,1.55
ViperTail,22,11,11,50.0,64,57,7,69,35,34,1,0.928,3.14,2.91,13,9,3,9,4,13,3,14,34,37.14,71.43,4,13,3,0.942,1,4.55,1,0,3.34,1.71,1.9
KnightMail,23,12,11,52.17,68,64,4,77,43,34,9,0.883,3.35,2.96,5,10,5,23,5,9,8,12,43,11.63,46.51,5,9,8,0.935,1,4.35,4,2,3.07,1.5,1.8
HellsHammer,13,7,6,53.85,36,34,2,44,26,18,8,0.818,3.38,2.77,1,5,2,18,7,3,3,5,26,3.85,30.77,7,3,3,0.841,1,7.69,2,1,2.77,1.38,1.59
RhinoReaper,22,10,12,45.45,69,65,4,88,47,41,6,0.784,4.0,3.14,10,8,2,27,5,6,6,23,47,21.28,42.55,5,6,6,0.943,0,0.0,3,1,3.55,1.36,1.39
HellsReaper,21,10,11,47.62,62,60,2,77,37,40,-3,0.805,3.67,2.95,2,17,3,15,5,9,3,23,37,5.41,59.46,5,9,3,0.935,1,4.76,6,5,2.98,1.3,1.77
LeonCrest,25,13,12,52.0,65,65,0,75,36,39,-3,0.867,3.0,2.6,4,15,5,12,2,16,4,17,36,11.11,66.67,2,16,4,0.973,2,8.0,1,0,2.66,1.3,2.06
WizardArc,13,7,6,53.85,33,31,2,44,24,20,4,0.75,3.38,2.54,1,6,1,16,6,3,1,10,24,4.17,33.33,6,3,1,0.864,1,7.69,1,1,2.58,1.28,1.76
CobaltDragoon,23,10,13,43.48,61,66,-5,73,36,37,-1,0.836,3.17,2.65,9,13,1,12,12,11,3,11,35,25.0,63.89,12,11,3,0.836,0,0.0,4,2,2.93,1.04,1.87
PerseusDark,22,11,11,50.0,56,60,-4,77,36,41,-5,0.727,3.5,2.55,5,13,1,17,3,14,1,23,36,13.89,52.78,3,14,1,0.961,0,0.0,5,3,2.75,0.91,1.99
UnicornSting,9,4,5,44.44,24,29,-5,26,12,14,-2,0.923,2.89,2.67,3,5,2,2,6,3,3,2,12,25.0,83.33,6,3,3,0.769,1,11.11,2,1,2.89,0.83,1.66
CrimsonGaruda,9,3,6,33.33,24,30,-6,31,13,18,-5,0.774,3.44,2.67,8,1,1,3,2,6,2,8,13,61.54,76.92,2,6,2,0.935,0,0.0,1,1,3.5,0.49,1.5
ScorpioSpear,28,12,16,42.86,67,87,-20,85,38,47,-9,0.788,3.04,2.39,9,11,4,13,7,14,8,15,37,23.68,63.16,7,14,8,0.918,2,7.14,3,2,2.57,0.47,1.99
CerberusFlame,22,9,13,40.91,54,67,-13,80,41,39,2,0.675,3.64,2.45,4,5,2,30,13,11,2,13,41,9.76,26.83,13,11,2,0.838,2,9.09,1,1,2.59,0.42,1.74
DranDagger,22,8,14,36.36,59,77,-18,82,31,51,-20,0.72,3.73,2.68,6,14,3,6,4,14,4,29,29,19.35,74.19,4,14,4,0.951,1,4.55,4,1,2.7,0.26,1.55
WolfHunt,7,3,4,42.86,16,22,-6,23,10,13,-3,0.696,3.29,2.29,1,3,1,5,2,5,1,5,10,10.0,50.0,2,5,1,0.913,0,0.0,1,1,2.36,0.19,2.06
SharkEdge,22,8,14,36.36,48,71,-23,68,22,46,-24,0.706,3.09,2.18,9,6,5,1,6,15,2,23,21,40.91,90.91,6,15,2,0.912,2,9.09,1,0,2.39,0.01,1.92
TyrannoBeat,6,2,4,33.33,12,20,-8,16,7,9,-2,0.75,2.67,2.0,1,2,1,3,1,3,3,1,7,14.29,57.14,1,3,3,0.938,0,0.0,0,0,2.08,-0.21,2.45
WyvernHover,21,6,15,28.57,46,73,-27,65,26,39,-13,0.708,3.1,2.19,2,9,4,10,13,10,5,10,25,7.69,57.69,13,10,5,0.8,0,0.0,2,1,2.1,-0.22,1.63
CobaltDrake,7,2,5,28.57,16,25,-9,23,8,15,-7,0.696,3.29,2.29,4,2,1,1,3,3,2,7,8,50.0,87.5,3,3,2,0.87,1,14.29,1,1,2.79,-0.24,1.38
PhoenixWing,22,7,15,31.82,40,74,-34,60,20,40,-20,0.667,2.73,1.82,4,14,1,1,1,17,7,13,20,20.0,95.0,1,17,7,0.983,2,9.09,3,2,1.98,-0.55,1.82
GolemRock,22,6,16,27.27,42,75,-33,66,27,39,-12,0.636,3.0,1.91,5,7,1,13,21,9,3,6,26,18.52,48.15,21,9,3,0.682,2,9.09,2,1,2.02,-0.55,1.72
SolEclipse,16,4,12,25.0,34,61,-27,52,20,32,-12,0.654,3.25,2.12,5,7,1,7,9,9,5,8,20,25.0,65.0,9,9,5,0.827,1,6.25,1,1,2.41,-0.71,1.82
WhaleWave,9,2,7,22.22,15,34,-19,27,8,19,-11,0.556,3.0,1.67,3,2,1,2,9,2,2,6,8,37.5,75.0,9,2,2,0.667,0,0.0,2,2,1.94,-1.28,1.94
WizardRod,9,2,7,22.22,14,34,-20,29,11,18,-7,0.483,3.22,1.56,2,1,0,8,10,4,1,3,11,18.18,27.27,10,4,1,0.655,0,0.0,0,0,1.78,-1.5,1.74
