bey_name,matches_played,matches_won,matches_lost,match_win_rate,total_points_scored,total_points_conceded,points_differential,total_rounds_played,rounds_won,rounds_lost,round_differential,points_per_round,avg_rounds_per_match,avg_points_per_match,burst_wins,pocket_wins,extreme_wins,spin_wins,burst_losses,pocket_losses,extreme_losses,spin_losses,total_finishes,burst_win_rate,aggression_ratio,bursts_suffered,pocket_outs_suffered,extreme_finishes_suffered,defensive_stability_index,clutch_matches_won,clutch_win_rate,comeback_wins,reverse_sweeps,offensive_power_index,dominance_index,volatility_index
HellsBrave,7,6,1,85.71,28,10,18,21,13,8,5,1.333,3.0,4.0,4,5,3,1,0,2,0,6,13,30.77,92.31,0,2,0,1.0,0,0.0,0,0,4.36,4.57,1.83
DranSword,7,6,1,85.71,30,17,13,27,15,12,3,1.111,3.86,4.29,6,5,2,2,1,2,1,8,15,40.0,86.67,1,2,1,0.963,1,14.29,3,3,5.0,3.52,0.76
TuskMammoth,7,5,2,71.43,26,15,11,23,15,8,7,1.13,3.29,3.71,1,4,3,7,0,3,2,3,15,6.67,53.33,0,3,2,1.0,0,0.0,2,1,3.64,3.27,1.38
DranBrave,7,4,3,57.14,22,16,6,18,10,8,2,1.222,2.57,3.14,1,5,3,1,2,4,1,1,10,10.0,90.0,2,4,1,0.889,1,14.29,1,1,3.07,2.69,2.34
CobaltDragoon,7,4,3,57.14,22,15,7,20,12,8,4,1.1,2.86,3.14,5,4,0,2,2,5,0,1,11,41.67,75.0,2,5,0,0.9,0,0.0,0,0,3.57,2.65,1.86
CerberusFlame,7,4,3,57.14,22,16,6,23,14,9,5,0.957,3.29,3.14,2,2,2,8,3,4,0,2,14,14.29,42.86,3,4,0,0.87,0,0.0,0,0,3.29,2.29,1.68
FoxBrush,7,5,2,71.43,23,18,5,22,13,9,4,1.045,3.14,3.29,2,3,2,5,1,2,3,3,12,15.38,53.85,1,2,3,0.955,1,14.29,2,2,3.14,2.28,2.06
HellsHammer,7,4,3,57.14,22,17,5,27,17,10,7,0.815,3.86,3.14,1,2,1,13,5,0,1,4,17,5.88,23.53,5,0,1,0.815,0,0.0,1,0,3.21,1.94,1.21
HellsReaper,7,3,4,42.86,24,20,4,27,14,13,1,0.889,3.86,3.43,1,5,2,6,2,3,1,7,14,7.14,57.14,2,3,1,0.926,0,0.0,1,1,3.43,1.9,1.27
PerseusDark,7,4,3,57.14,21,17,4,24,12,12,0,0.875,3.43,3.0,3,4,1,4,2,3,0,7,12,25.0,66.67,2,3,0,0.917,0,0.0,3,2,3.36,1.88,2.0
