matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta,rw,rl,ppr,ppw
1,1,KnightMail,1,1,0,4,4,0,4,1000.0,0,2,0,2.0,2.0
1,2,SharkScale,1,1,0,3,6,2,4,1000.0,0,2,1,2.0,3.0
1,3,PerseusDark,1,1,0,3,5,3,2,1000.0,0,4,2,0.83,1.25
1,4,WyvernHover,1,1,0,3,4,2,2,1000.0,0,3,1,1.0,1.33
1,5,HellsReaper,1,1,0,3,4,3,1,1000.0,0,3,3,0.67,1.33
1,6,DranBrave,1,0,1,0,3,4,-1,1000.0,0,3,3,0.5,1.0
1,7,DranDagger,1,0,1,0,3,5,-2,1000.0,0,2,4,0.5,1.5
1,8,WeissTiger,1,0,1,0,2,4,-2,1000.0,0,1,3,0.5,2.0
1,9,SolEclipse,1,0,1,0,2,6,-4,1000.0,0,1,2,0.67,2.0
1,10,PhoenixWing,1,0,1,0,0,4,-4,1000.0,0,0,2,0.0,0.0
2,1,KnightMail,2,2,0,7,10,2,8,1000.0,0,5,1,1.67,2.0
2,2,SharkScale,2,2,0,6,11,4,7,1000.0,0,4,3,1.57,2.75
2,3,WyvernHover,2,2,0,6,8,3,5,1000.0,1,5,2,1.14,1.6
2,4,DranBrave,2,1,1,4,7,4,3,1000.0,2,5,3,0.88,1.4
2,5,WeissTiger,2,1,1,4,6,4,2,1000.0,3,4,3,0.86,1.5
2,6,PerseusDark,2,1,1,3,7,8,-1,1000.0,-3,6,4,0.7,1.17
2,7,HellsReaper,2,1,1,3,5,7,-2,1000.0,-2,4,5,0.56,1.25
2,8,DranDagger,2,0,2,0,5,11,-6,1000.0,-1,3,7,0.5,1.67
2,9,SolEclipse,2,0,2,0,2,10,-8,1000.0,0,1,4,0.4,2.0
2,10,PhoenixWing,2,0,2,0,0,8,-8,1000.0,0,0,5,0.0,0.0
3,1,SharkScale,3,3,0,10,15,4,11,1000.0,1,6,3,1.67,2.5
3,2,WyvernHover,3,3,0,10,12,3,9,1000.0,1,7,2,1.33,1.71
3,3,WeissTiger,3,2,1,7,11,6,5,1000.0,2,7,5,0.92,1.57
3,4,KnightMail,3,2,1,7,10,6,4,1000.0,-3,5,3,1.25,2.0
3,5,PerseusDark,3,2,1,7,11,8,3,1000.0,1,9,4,0.85,1.22
3,6,HellsReaper,3,2,1,7,9,7,2,1000.0,1,6,5,0.82,1.5
3,7,DranBrave,3,1,2,4,7,8,-1,1000.0,-3,5,6,0.64,1.4
3,8,DranDagger,3,0,3,0,7,16,-9,1000.0,0,5,10,0.47,1.4
3,9,SolEclipse,3,0,3,0,2,14,-12,1000.0,0,1,6,0.29,2.0
3,10,PhoenixWing,3,0,3,0,0,12,-12,1000.0,0,0,7,0.0,0.0
4,1,PerseusDark,4,3,1,11,15,8,7,1000.0,4,12,4,0.94,1.25
4,2,SharkScale,4,3,1,10,18,8,10,1000.0,-1,8,5,1.38,2.25
4,3,WeissTiger,4,3,1,10,15,9,6,1000.0,0,9,7,0.94,1.67
4,4,WyvernHover,4,3,1,10,13,7,6,1000.0,-2,8,4,1.08,1.62
4,5,KnightMail,4,2,2,7,12,10,2,1000.0,-1,7,5,1.0,1.71
4,6,DranBrave,4,2,2,7,11,10,1,1000.0,1,7,8,0.73,1.57
4,7,HellsReaper,4,2,2,7,9,11,-2,1000.0,-1,6,8,0.64,1.5
4,8,DranDagger,4,1,3,3,11,17,-6,1000.0,0,7,11,0.61,1.57
4,9,SolEclipse,4,1,3,3,6,15,-9,1000.0,0,3,7,0.6,2.0
4,10,PhoenixWing,4,0,4,0,1,16,-15,1000.0,0,1,9,0.1,1.0
5,1,SharkScale,5,4,1,14,22,8,14,1000.0,1,10,5,1.47,2.2
5,2,PerseusDark,5,4,1,14,20,10,10,1000.0,-1,15,5,1.0,1.33
5,3,WyvernHover,5,4,1,13,18,9,9,1000.0,1,11,5,1.12,1.64
5,4,WeissTiger,5,3,2,10,18,13,5,1000.0,-1,11,9,0.9,1.64
