Platz,Bey,ELO,PowerIndex,Matches,Wins,Losses,Winrate,PointsFor,PointsAgainst,AvgPointDiff,Volatility,AvgΔELO,MaxΔELO,MinΔELO,UpsetWins,UpsetLosses,ELOTrend
1,FoxBrush,1087,85.1,16,12,4,75.0%,60,33,1.69,12.87,12.66,20.0,-22.15,0,4,86.71
2,ImpactDrake,1082,84.7,16,12,4,75.0%,61,33,1.75,10.82,9.85,22.15,-15.05,3,4,82.01
3,WeissTiger,1057,68.5,8,5,3,62.5%,26,15,1.38,12.64,11.7,21.08,-13.19,1,2,56.96
4,DranSword,1050,72.3,12,9,3,75.0%,45,29,1.33,11.25,10.89,16.18,-17.37,5,2,50.11
5,TuskMammoth,1040,71.4,19,13,6,68.4%,67,54,0.68,10.89,9.13,20.01,-20.0,4,5,40.19
6,CobaltDragoon,1037,62.5,10,6,4,60.0%,36,24,1.2,13.15,12.4,20.0,-13.74,1,4,37.35
7,ViperTail,1036,60.3,10,6,4,60.0%,32,23,0.9,16.2,15.22,20.27,-20.02,4,3,35.76
8,ScorpioSpear,1033,62.0,12,7,5,58.3%,38,32,0.5,12.38,11.25,18.33,-18.82,2,1,32.69
9,CerberusFlame,1029,60.5,12,7,5,58.3%,33,30,0.25,13.19,11.85,19.77,-13.44,0,4,29.35
10,LeonCrest,1028,61.7,11,7,4,63.6%,40,29,1.0,12.08,10.55,16.57,-18.47,5,0,28.38
11,GolemRock,1023,57.6,12,7,5,58.3%,36,26,0.83,14.76,13.56,20.0,-20.92,2,2,22.65
12,SharkEdge,1022,59.3,12,7,5,58.3%,39,35,0.33,11.17,9.59,15.0,-20.0,3,1,21.71
13,DranDagger,1014,54.6,12,7,5,58.3%,33,31,0.17,15.33,13.42,21.63,-22.27,2,3,14.1
14,KnightMail,1011,52.6,12,6,6,50.0%,37,32,0.42,13.17,12.1,20.52,-13.09,3,5,10.84
15,RhinoReaper,1011,52.4,11,6,5,54.5%,39,37,0.18,14.63,12.14,22.27,-20.0,4,3,10.57
16,HellsReaper,1009,51.4,10,5,5,50.0%,30,26,0.4,12.46,11.25,18.7,-13.66,3,0,8.88
17,PerseusDark,1003,45.7,9,4,5,44.4%,26,28,-0.22,15.96,14.13,20.93,-20.52,2,3,3.21
18,UnicornSting,999,46.2,10,5,5,50.0%,27,26,0.1,16.03,14.7,20.0,-21.63,0,5,-1.12
19,DranBrave,999,46.5,11,5,6,45.5%,32,33,-0.09,14.37,11.91,27.65,-20.26,3,2,-1.17
20,LeonClaw,996,45.0,9,4,5,44.4%,26,28,-0.22,13.22,11.25,16.24,-20.0,4,1,-3.83
21,PhoenixWing,994,47.7,12,6,6,50.0%,37,44,-0.58,12.79,11.33,16.79,-18.88,5,1,-5.62
22,DranBuster,994,39.4,8,3,5,37.5%,18,24,-0.75,18.1,15.98,20.58,-20.63,2,1,-5.85
23,SilverWolf,993,40.7,8,3,5,37.5%,21,25,-0.5,15.13,12.82,18.38,-19.77,2,1,-7.1
24,WizardRod,988,45.3,10,5,5,50.0%,29,30,-0.1,11.37,10.2,11.68,-16.24,1,3,-12.24
25,HellsChain,982,38.0,8,3,5,37.5%,24,27,-0.38,13.79,12.37,15.35,-20.93,1,4,-18.03
26,WhaleWave,975,38.1,9,4,5,44.4%,22,31,-1.0,13.37,11.68,15.59,-20.0,4,0,-25.43
27,CrimsonGaruda,967,29.4,7,2,5,28.6%,15,24,-1.29,15.79,13.93,21.5,-20.0,2,0,-33.04
28,TyrannoBeat,966,30.7,7,2,5,28.6%,16,24,-1.14,13.04,11.66,13.96,-20.45,0,2,-33.72
29,WhaleFlame,965,28.0,4,1,3,25.0%,6,15,-2.25,12.54,13.46,9.34,-19.27,0,1,-35.16
30,PhoenixRudder,961,32.6,9,3,6,33.3%,17,31,-1.56,10.79,10.55,13.55,-15.5,1,1,-38.67
31,BlackShell,955,25.2,8,2,6,25.0%,11,26,-1.88,15.9,15.12,20.63,-20.0,2,0,-45.0
32,WizardArc,950,23.6,6,1,5,16.7%,14,25,-1.83,10.15,12.05,10.99,-17.56,1,1,-50.3
33,PegasusBlast,940,18.5,4,0,4,0.0%,4,18,-3.5,4.38,14.97,-9.34,-19.27,0,0,-59.9
34,WizardArrow,937,15.9,5,0,5,0.0%,7,20,-2.6,7.96,12.69,-4.0,-21.5,0,2,-63.46
35,HellsHammer,927,13.7,5,0,5,0.0%,6,23,-3.4,6.29,14.68,-4.0,-18.74,0,0,-73.39
36,SamuraiSaber,912,10.1,6,0,6,0.0%,5,24,-3.17,5.58,14.66,-6.55,-20.58,0,1,-87.95
