Platz,Bey,ELO,PowerIndex,Matches,Wins,Losses,Winrate,PointsFor,PointsAgainst,AvgPointDiff,Volatility,AvgΔELO,MaxΔELO,MinΔELO,UpsetWins,UpsetLosses,ELOTrend,CredibilityScore,CredibilityLabel
1,ValkyrieVolt,1109,95.2,4,4,0,100.0%,22,4,4.5,8.69,27.29,39.71,19.42,1,0,109.15,0.745,Low
2,ScorpioSpear,1095,90.2,4,4,0,100.0%,21,6,3.75,8.72,23.79,34.57,13.39,0,0,95.17,0.703,Low
3,SamuraiSaber,1039,59.7,4,3,1,75.0%,13,5,2.0,23.38,22.38,25.0,-25.01,0,1,39.48,0.586,Low
4,WizardArc,1038,60.0,4,3,1,75.0%,16,7,2.25,20.63,19.84,25.0,-20.7,0,1,37.96,0.581,Low
5,SharkScale,1025,52.1,4,3,1,75.0%,17,8,2.25,30.7,26.04,25.0,-39.71,0,0,24.74,0.604,Low
6,WhaleWave,1019,51.4,4,3,1,75.0%,15,13,0.5,26.42,21.94,20.71,-34.58,1,0,18.61,0.616,Low
7,PerseusDark,1007,38.3,2,1,1,50.0%,7,4,1.5,22.76,16.1,19.71,-12.48,0,0,7.23,0.421,Low
8,CobaltDrake,1007,35.8,2,1,1,50.0%,6,4,1.0,30.36,21.46,25.0,-17.93,0,1,7.07,0.34,Low
9,TuskMammoth,1004,40.3,4,2,2,50.0%,12,9,0.75,25.0,21.57,24.98,-21.59,0,1,3.68,0.543,Low
10,HellsChain,1000,34.1,2,1,1,50.0%,4,4,0.0,28.08,19.86,20.0,-19.71,0,0,0.29,0.386,Low
11,CrimsonGaruda,998,32.7,2,1,1,50.0%,6,5,0.5,29.85,21.11,20.0,-22.21,0,0,-2.21,0.375,Low
12,PhoenixWing,996,38.8,4,2,2,50.0%,8,10,-0.5,21.55,18.67,17.93,-19.78,1,0,-3.8,0.598,Low
13,PegasusBlast,996,33.7,2,1,1,50.0%,4,6,-1.0,24.34,17.21,15.0,-19.42,0,0,-4.42,0.411,Low
14,DranDagger,992,36.6,5,2,3,40.0%,14,18,-0.8,22.13,19.29,22.5,-25.0,1,0,-8.24,0.721,Low
15,DranBrave,985,23.4,1,0,1,0.0%,2,4,-2.0,0.0,15.0,-15.0,-15.0,0,0,-15.0,0.362,Low
16,CobaltDragoon,982,22.5,1,0,1,0.0%,1,4,-3.0,0.0,17.5,-17.5,-17.5,0,0,-17.5,0.362,Low
17,ImpactDrake,980,21.7,1,0,1,0.0%,0,4,-4.0,0.0,20.0,-20.0,-20.0,0,0,-20.0,0.362,Low
18,FoxBrush,980,21.7,1,0,1,0.0%,0,4,-4.0,0.0,20.0,-20.0,-20.0,0,0,-20.0,0.362,Low
19,SharkEdge,980,21.7,1,0,1,0.0%,0,4,-4.0,0.0,20.0,-20.0,-20.0,0,0,-20.0,0.362,Low
20,WizardArrow,980,21.7,1,0,1,0.0%,0,4,-4.0,0.0,20.0,-20.0,-20.0,0,0,-20.0,0.362,Low
21,LeonClaw,980,21.7,1,0,1,0.0%,0,4,-4.0,0.0,20.0,-20.0,-20.0,0,0,-20.0,0.362,Low
22,LeonCrest,980,21.7,1,0,1,0.0%,0,4,-4.0,0.0,20.0,-20.0,-20.0,0,0,-20.0,0.362,Low
23,TyrannoBeat,975,24.3,3,1,2,33.3%,4,9,-1.67,24.6,21.57,20.0,-25.0,0,0,-24.71,0.459,Low
24,WeissTiger,975,19.9,1,0,1,0.0%,0,5,-5.0,0.0,24.98,-24.98,-24.98,0,0,-24.98,0.362,Low
25,DranBuster,975,19.9,1,0,1,0.0%,0,5,-5.0,0.0,25.0,-25.0,-25.0,0,0,-25.0,0.362,Low
26,SolEclipse,975,19.9,1,0,1,0.0%,0,5,-5.0,0.0,25.0,-25.0,-25.0,0,0,-25.0,0.362,Low
27,GolemRock,975,19.9,1,0,1,0.0%,0,5,-5.0,0.0,25.0,-25.0,-25.0,0,0,-25.0,0.362,Low
28,DranSword,952,13.4,2,0,2,0.0%,2,10,-4.0,1.77,23.75,-22.5,-25.0,0,0,-47.5,0.558,Low
