Bey,Rank,ELO,Attack,Defense,Stamina,Control,Meta,Archetype,Archetype_Category,Archetype_Confidence
SharkScale,1,1133,3.27,4.15,3.64,3.47,3.4,Spin Tank,stamina,0.578
ImpactDrake,2,1121,4.52,4.65,1.68,3.93,4.11,Tempo Controller,control,0.501
ValkyrieVolt,3,1100,4.74,4.91,1.86,2.48,4.27,Meta Anchor,balance,0.495
TuskMammoth,4,1088,3.33,3.77,3.22,4.28,4.31,Tempo Controller,control,0.546
GolemRock,5,1082,2.77,2.8,4.01,3.34,4.05,Spin Tank,stamina,0.456
FoxBrush,6,1080,3.85,3.77,3.08,2.7,3.58,Adaptive Fighter,balance,0.534
LeonCrest,7,1078,2.82,3.8,3.8,3.3,4.38,Spin Tank,stamina,0.526
TyrannoRoar,8,1064,3.87,3.98,3.4,3.78,3.42,Tempo Controller,control,0.718
ScorpioSpear,9,1059,3.55,3.8,3.68,3.69,3.94,Adaptive Fighter,balance,0.531
DranBrave,10,1054,3.81,4.18,2.09,3.12,3.51,Tempo Controller,control,0.438
WeissTiger,11,1049,2.96,3.64,3.99,2.84,3.6,Spin Tank,stamina,0.613
DranSword,12,1049,2.8,3.66,3.44,3.04,3.9,Adaptive Fighter,balance,0.415
ViperTail,13,1047,4.05,3.07,2.85,3.18,3.85,Berserker,offense,0.395
KnightMail,14,1039,2.3,3.17,4.17,4.14,3.78,Tempo Controller,control,0.502
CobaltDragoon,15,1038,3.3,3.74,2.79,2.55,3.87,Meta Anchor,balance,0.467
SilverWolf,16,1030,1.41,4.49,4.12,3.51,4.02,Spin Tank,stamina,0.503
HellsBrave,17,1027,4.68,2.77,1.84,1.53,2.46,Berserker,offense,0.596
HellsChain,18,1026,2.6,2.65,4.32,2.98,3.4,Spin Tank,stamina,0.482
LeonClaw,19,1009,3.43,3.03,3.21,4.04,3.52,Tempo Controller,control,0.585
RhinoReaper,20,1009,2.24,4.24,4.18,2.5,3.6,Spin Tank,stamina,0.809
WyvernHover,21,1009,3.05,3.04,3.34,3.07,2.95,Adaptive Fighter,balance,0.512
CerberusFlame,22,1005,1.65,3.39,4.79,3.66,3.63,Spin Tank,stamina,0.797
HellsReaper,23,1004,2.61,4.21,3.03,2.55,2.97,Iron Wall,defense,0.392
SharkEdge,24,997,4.43,3.48,0.7,3.76,3.01,Tempo Controller,control,0.404
PerseusDark,25,992,2.24,3.59,3.37,2.79,3.05,Spin Tank,stamina,0.389
UnicornSting,26,989,4.21,2.2,2.46,3.08,2.54,Glass Cannon,offense,0.724
CrimsonGaruda,27,987,3.66,3.3,1.82,2.81,3.0,Berserker,offense,1.0
ClockMirage,28,986,1.57,2.08,4.37,2.75,2.26,Endurance Core,stamina,1.0
WolfHunt,29,980,3.52,0.74,2.77,3.6,1.44,Glass Cannon,offense,0.833
PhoenixWing,30,970,3.84,3.1,1.53,3.25,3.45,Tempo Controller,control,0.442
DranBuster,31,967,3.75,1.92,2.43,1.69,3.27,Glass Cannon,offense,0.588
DranDagger,32,966,2.76,3.54,2.79,3.13,3.03,Adaptive Fighter,balance,0.682
PhoenixRudder,33,952,1.48,3.89,3.26,2.76,1.95,Spin Tank,stamina,0.447
WhaleFlame,34,951,1.26,1.41,4.44,2.64,2.03,Endurance Core,stamina,1.0
CobaltDrake,35,946,4.83,3.14,0.82,3.21,1.44,Berserker,offense,0.535
SolEclipse,36,944,3.07,1.94,3.01,2.31,2.41,Glass Cannon,offense,0.632
WhaleWave,37,936,3.88,2.39,1.98,2.51,2.67,Glass Cannon,offense,0.68
WizardArc,38,934,2.6,3.48,3.91,2.79,2.36,Spin Tank,stamina,0.59
EmperorMight,39,928,4.19,1.64,0.97,4.67,0.8,Tempo Controller,control,0.918
PegasusBlast,40,923,4.29,2.79,0.0,3.01,0.97,Glass Cannon,offense,0.559
WizardRod,41,920,1.26,2.55,4.88,3.55,2.02,Endurance Core,stamina,0.565
BlackShell,42,919,1.61,3.12,2.87,3.15,2.86,Tempo Controller,control,0.523
TyrannoBeat,43,909,3.19,1.55,2.64,3.23,1.07,Glass Cannon,offense,0.654
HellsHammer,44,900,0.0,2.85,4.3,2.72,1.64,Endurance Core,stamina,0.966
WizardArrow,45,887,0.66,1.15,4.07,2.49,1.62,Endurance Core,stamina,1.0
SamuraiSaber,46,867,4.32,0.82,2.63,3.66,1.49,Glass Cannon,offense,0.908
