Rank,Bey,ELO,GiantKillerScore,Matches,Wins,Losses,UpsetWins,UpsetLosses,UpsetRate,Vulnerability,AvgUpsetWinMagnitude,AvgUpsetLossMagnitude,BiggestUpsetWin,BiggestUpsetLoss
1,ViperTail,1047,70.9,21,11,10,8,3,72.7%,30.0%,58.6,32.2,137.3,63.2
2,LeonCrest,1078,69.9,25,14,11,11,3,78.6%,27.3%,38.4,58.5,70.7,70.9
3,SilverWolf,1030,66.3,19,10,9,7,2,70.0%,22.2%,54.2,8.6,123.5,14.6
4,PhoenixWing,970,63.9,29,12,17,8,6,66.7%,35.3%,53.4,15.6,145.1,36.5
5,WhaleWave,936,55.4,24,10,14,6,3,60.0%,21.4%,46.9,10.8,83.1,25.8
6,BlackShell,919,54.7,9,2,7,2,1,100.0%,14.3%,26.8,12.6,51.0,12.6
7,CrimsonGaruda,987,53.6,23,10,13,7,4,70.0%,30.8%,27.9,7.8,46.9,21.9
8,HellsReaper,1004,50.6,21,10,11,6,5,60.0%,45.5%,33.4,23.1,61.2,59.1
9,DranSword,1049,50.1,26,14,12,7,5,50.0%,41.7%,38.4,30.4,97.1,70.7
10,PerseusDark,992,50.0,23,11,12,7,5,63.6%,41.7%,24.9,10.3,46.2,13.3
11,ScorpioSpear,1059,49.8,26,17,9,6,2,35.3%,22.2%,55.1,43.2,134.8,77.4
12,DranBuster,976,48.3,11,3,8,3,1,100.0%,12.5%,5.7,2.6,10.3,2.6
13,HellsChain,1026,47.2,23,12,11,6,5,50.0%,45.5%,35.2,21.5,97.0,50.9
14,CerberusFlame,1005,45.1,28,13,15,6,5,46.2%,33.3%,36.1,41.9,101.0,86.5
15,DranBrave,1054,44.9,26,15,11,6,5,40.0%,45.5%,39.6,14.8,173.8,46.2
16,LeonClaw,1009,44.5,21,10,11,5,4,50.0%,36.4%,33.4,29.2,52.2,83.1
17,SharkEdge,997,43.6,25,12,13,6,4,50.0%,30.8%,28.0,28.5,86.5,37.9
18,SolEclipse,944,40.4,19,6,13,3,2,50.0%,15.4%,34.8,30.2,50.2,44.5
19,WyvernHover,1009,37.6,10,5,5,3,1,60.0%,20.0%,11.8,50.2,16.6,50.2
20,KnightMail,1039,36.9,22,12,10,5,6,41.7%,60.0%,23.0,25.8,51.1,52.2
21,WeissTiger,1049,35.2,19,11,8,4,7,36.4%,87.5%,27.5,19.7,58.1,62.7
22,ValkyrieVolt,1100,34.5,17,15,2,3,2,20.0%,100.0%,44.6,66.2,109.0,118.9
23,GolemRock,1082,33.6,30,18,12,4,7,22.2%,58.3%,39.9,45.2,84.6,104.1
24,RhinoReaper,1009,33.4,21,10,11,4,8,40.0%,72.7%,21.4,30.8,37.1,72.2
25,CobaltDragoon,1038,32.8,25,14,11,5,7,35.7%,63.6%,19.9,27.2,72.1,55.4
26,CobaltDrake,946,32.4,12,4,8,1,2,25.0%,25.0%,47.4,16.5,47.4,24.7
27,ClockMirage,986,29.9,4,2,2,1,0,50.0%,0.0%,11.3,0,11.3,0
28,UnicornSting,989,29.0,21,10,11,4,8,40.0%,72.7%,11.2,29.4,22.0,76.5
29,WizardRod,920,27.9,21,7,14,3,4,42.9%,28.6%,12.2,29.4,21.9,43.0
30,WizardArc,1049,27.3,14,6,8,1,1,16.7%,12.5%,43.0,12.6,43.0,12.6
31,DranDagger,966,26.8,26,11,15,3,4,27.3%,26.7%,24.2,26.0,32.5,35.7
32,TuskMammoth,1088,25.6,42,27,15,5,12,18.5%,80.0%,21.8,53.6,53.8,137.3
33,PhoenixRudder,952,18.5,9,3,6,1,1,33.3%,16.7%,6.2,25.7,6.2,25.7
34,ImpactDrake,1121,17.1,32,22,10,3,9,13.6%,90.0%,13.8,89.0,24.7,145.1
35,FoxBrush,1080,16.5,28,18,10,2,7,11.1%,70.0%,19.0,83.0,20.0,173.8
36,SharkScale,1133,11.8,19,15,4,1,2,6.7%,50.0%,15.9,29.9,15.9,58.1
37,SamuraiSaber,1011,0.0,13,3,10,0,3,0.0%,30.0%,0,19.4,0,47.4
38,HellsHammer,900,0.0,5,0,5,0,0,0.0%,0.0%,0,0,0,0
39,TyrannoBeat,909,0.0,13,3,10,0,2,0.0%,20.0%,0,6.0,0,9.4
40,WizardArrow,980,0.0,7,0,7,0,2,0.0%,28.6%,0,8.9,0,10.8
41,PegasusBlast,993,0.0,8,2,6,0,0,0.0%,0.0%,0,0,0,0
42,WhaleFlame,951,0.0,5,1,4,0,1,0.0%,25.0%,0,24.1,0,24.1
43,EmperorMight,928,0.0,5,1,4,0,1,0.0%,25.0%,0,11.3,0,11.3
44,WolfHunt,980,0.0,4,1,3,0,1,0.0%,33.3%,0,14.1,0,14.1
45,HellsBrave,1027,0.0,3,2,1,0,0,0.0%,0.0%,0,0,0,0
46,TyrannoRoar,1064,0.0,4,4,0,0,0,0.0%,0.0%,0,0,0,0
