Rank,MatchID,Date,Winner,Loser,WinnerPreELO,LoserPreELO,ELODifference,Score
1,M0106,2025-12-11,DranBrave,FoxBrush,947.5,1121.2,173.77,4-0
2,M0144,2025-12-27,PhoenixWing,ImpactDrake,974.4,1119.6,145.14,6-3
3,M0346,2026-02-26,ViperTail,TuskMammoth,986.1,1123.4,137.3,5-0
4,M0129,2025-12-27,ScorpioSpear,ImpactDrake,1009.1,1143.9,134.79,4-0
5,M0085,2025-12-02,ViperTail,FoxBrush,1016.1,1147.1,130.98,5-2
6,M0056,2025-11-12,SilverWolf,ImpactDrake,1005.7,1129.1,123.47,4-2
7,M0390,2026-03-01,SilverWolf,ValkyrieVolt,1002.9,1121.8,118.93,4-0
8,M0306,2026-02-11,ValkyrieVolt,TuskMammoth,1026.8,1135.7,108.98,5-0
9,M0219,2026-01-04,PhoenixWing,GolemRock,1012.6,1116.7,104.08,5-0
10,M0415,2026-03-01,CerberusFlame,TuskMammoth,994.3,1095.3,101.04,4-3
11,M0086,2025-12-02,DranSword,ImpactDrake,1023.6,1120.7,97.12,4-2
12,M0194,2026-01-04,HellsChain,FoxBrush,1002.7,1099.7,97.03,4-0
13,M0284,2026-02-11,ScorpioSpear,GolemRock,1027.2,1115.8,88.63,4-0
14,M0114,2025-12-11,SharkEdge,CerberusFlame,995.8,1082.3,86.49,4-3
15,M0163,2025-12-27,GolemRock,FoxBrush,1035.4,1120.0,84.63,6-0
16,M0336,2026-02-26,WhaleWave,LeonClaw,948.5,1031.6,83.08,4-2
17,M0204,2026-01-04,CerberusFlame,ImpactDrake,1042.9,1122.7,79.72,4-2
18,M0350,2026-02-26,ViperTail,ScorpioSpear,1011.5,1088.9,77.41,5-0
19,M0395,2026-03-01,WhaleWave,UnicornSting,921.2,997.7,76.49,5-3
20,M0143,2025-12-27,WhaleWave,RhinoReaper,976.6,1048.8,72.2,5-3
21,M0352,2026-02-26,CobaltDragoon,ImpactDrake,1057.8,1129.9,72.06,4-2
22,M0411,2026-03-01,ViperTail,LeonCrest,1020.1,1091.0,70.94,6-0
23,M0172,2025-12-27,LeonCrest,DranSword,1020.7,1091.3,70.68,5-1
24,M0170,2025-12-27,LeonCrest,ViperTail,1000.5,1063.7,63.2,4-0
25,M0179,2026-01-04,HellsChain,WeissTiger,978.5,1041.2,62.69,5-0
26,M0180,2026-01-04,HellsReaper,LeonCrest,1012.5,1073.7,61.15,6-1
27,M0419,2026-03-01,LeonCrest,ImpactDrake,1068.7,1129.3,60.55,4-3
28,M0376,2026-02-26,DranSword,TuskMammoth,1035.6,1095.4,59.84,5-0
29,M0372,2026-02-26,PhoenixWing,HellsReaper,955.2,1014.3,59.06,4-2
30,M0328,2026-02-13,WeissTiger,SharkScale,1031.3,1089.4,58.11,4-3
31,M0107,2025-12-11,PhoenixWing,CobaltDragoon,997.4,1052.9,55.42,5-3
32,M0208,2026-01-04,TuskMammoth,ImpactDrake,1062.7,1116.6,53.83,5-3
33,M0289,2026-02-11,LeonCrest,GolemRock,1043.9,1097.0,53.14,5-0
34,M0090,2025-12-02,LeonClaw,KnightMail,993.4,1045.5,52.17,4-2
35,M0117,2025-12-11,KnightMail,TuskMammoth,1014.2,1065.3,51.08,4-2
36,M0040,2025-11-12,BlackShell,DranSword,980.0,1031.0,51.02,4-1
37,M0297,2026-02-11,SilverWolf,HellsChain,971.7,1022.6,50.89,5-2
38,M0327,2026-02-13,SolEclipse,WyvernHover,984.1,1034.3,50.23,4-1
39,M0167,2025-12-27,HellsReaper,CobaltDragoon,1003.1,1052.9,49.78,5-1
40,M0313,2026-02-13,CobaltDrake,SamuraiSaber,988.2,1035.7,47.43,6-2
41,M0210,2026-01-04,CrimsonGaruda,CerberusFlame,1007.4,1054.3,46.94,4-0
42,M0292,2026-02-11,PerseusDark,DranBrave,994.3,1040.4,46.17,4-0
43,M0205,2026-01-04,CrimsonGaruda,SolEclipse,994.8,1039.2,44.45,4-3
44,M0157,2025-12-27,PerseusDark,RhinoReaper,989.2,1033.1,43.88,6-3
45,M0379,2026-02-26,ScorpioSpear,LeonCrest,1064.1,1107.6,43.55,5-2
46,M0095,2025-12-02,WizardArc,WizardRod,953.4,996.3,42.95,4-2
47,M0268,2026-01-30,LeonCrest,FoxBrush,1042.1,1085.0,42.92,4-0
48,M0353,2026-02-26,DranSword,FoxBrush,1020.2,1062.6,42.36,5-1
49,M0396,2026-03-01,CrimsonGaruda,RhinoReaper,976.6,1017.7,41.12,5-2
50,M0094,2025-12-02,LeonCrest,UnicornSting,952.6,992.9,40.24,5-2
51,M0354,2026-02-26,GolemRock,TuskMammoth,1065.1,1105.0,39.91,4-0
52,M0080,2025-12-02,LeonClaw,WizardRod,973.0,1011.1,38.07,4-1
53,M0183,2026-01-04,PerseusDark,SharkEdge,992.2,1030.0,37.88,4-0
54,M0065,2025-11-12,RhinoReaper,TuskMammoth,1029.5,1066.6,37.07,4-0
55,M0175,2025-12-27,LeonCrest,TuskMammoth,1043.9,1080.5,36.62,8-2
56,M0263,2026-01-30,KnightMail,PhoenixWing,996.9,1033.4,36.51,4-0
57,M0162,2025-12-27,LeonClaw,DranDagger,996.1,1031.8,35.72,5-0
58,M0288,2026-02-11,TuskMammoth,ImpactDrake,1093.4,1127.3,33.91,5-2
59,M0119,2025-12-27,WeissTiger,CerberusFlame,1028.5,1062.2,33.71,4-0
60,M0414,2026-03-01,DranSword,GolemRock,1050.3,1083.8,33.47,4-2
61,M0051,2025-11-12,DranDagger,UnicornSting,1001.8,1034.3,32.46,5-0
62,M0063,2025-11-12,RhinoReaper,DranDagger,1008.5,1039.5,31.05,6-2
63,M0357,2026-02-26,HellsReaper,WeissTiger,1001.9,1032.4,30.44,4-0
