Bey,Top_Counter,Games_vs_Counter,Wins_vs_Counter,Losses_vs_Counter,Score_for_vs_Counter,Score_against_vs_Counter,Winrate_vs_Counter,Total_Games,Total_Wins,Total_Losses,Overall_Winrate
ViperTail,TuskMammoth,3,1,2,8,10,0.33,21,11,10,0.52
WizardArc,ViperTail,2,0,2,5,9,0.0,14,6,8,0.43
TuskMammoth,ImpactDrake,5,3,2,15,13,0.6,42,27,15,0.64
SamuraiSaber,TuskMammoth,3,1,2,8,8,0.33,13,3,10,0.23
GolemRock,ImpactDrake,2,0,2,0,8,0.0,30,18,12,0.6
BlackShell,GolemRock,1,0,1,0,4,0.0,9,2,7,0.22
ImpactDrake,TuskMammoth,5,2,3,13,15,0.4,32,22,10,0.69
LeonCrest,TuskMammoth,4,2,2,13,10,0.5,25,14,11,0.56
DranBrave,DranSword,2,0,2,5,10,0.0,26,15,11,0.58
HellsReaper,DranBrave,3,1,2,6,11,0.33,21,10,11,0.48
DranSword,ImpactDrake,4,1,3,8,15,0.25,26,14,12,0.54
HellsHammer,DranSword,1,0,1,3,4,0.0,5,0,5,0.0
DranDagger,UnicornSting,2,1,1,6,4,0.5,26,11,15,0.42
CrimsonGaruda,SharkEdge,2,0,2,3,9,0.0,23,10,13,0.43
UnicornSting,LeonClaw,2,1,1,4,4,0.5,21,10,11,0.48
LeonClaw,WhaleWave,2,0,2,2,8,0.0,21,10,11,0.48
FoxBrush,ImpactDrake,2,0,2,0,13,0.0,28,18,10,0.64
DranBuster,FoxBrush,2,0,2,0,11,0.0,11,3,8,0.27
TyrannoBeat,FoxBrush,2,1,1,6,5,0.5,13,3,10,0.23
HellsChain,TuskMammoth,2,0,2,6,9,0.0,23,12,11,0.52
PhoenixWing,DranDagger,2,0,2,4,8,0.0,29,12,17,0.41
WizardArrow,CrimsonGaruda,3,0,3,0,12,0.0,7,0,7,0.0
CobaltDragoon,PhoenixWing,4,1,3,10,15,0.25,25,14,11,0.56
SharkEdge,TuskMammoth,2,0,2,5,9,0.0,25,12,13,0.48
PerseusDark,KnightMail,2,0,2,0,9,0.0,23,11,12,0.48
WhaleWave,ScorpioSpear,2,0,2,3,11,0.0,24,10,14,0.42
WizardRod,LeonClaw,3,0,3,3,13,0.0,21,7,14,0.33
SilverWolf,CerberusFlame,2,0,2,0,8,0.0,19,10,9,0.53
WeissTiger,TuskMammoth,2,0,2,0,9,0.0,19,11,8,0.58
RhinoReaper,WeissTiger,1,0,1,0,4,0.0,21,10,11,0.48
PhoenixRudder,WizardRod,2,0,2,2,8,0.0,9,3,6,0.33
ScorpioSpear,TuskMammoth,3,0,3,3,14,0.0,26,17,9,0.65
CerberusFlame,GolemRock,3,1,2,7,10,0.33,28,13,15,0.46
KnightMail,SharkEdge,2,0,2,2,9,0.0,22,12,10,0.55
PegasusBlast,FoxBrush,1,0,1,0,4,0.0,8,2,6,0.25
WhaleFlame,UnicornSting,2,0,2,2,8,0.0,5,1,4,0.2
SolEclipse,SharkScale,2,0,2,4,10,0.0,19,6,13,0.32
CobaltDrake,PhoenixWing,2,0,2,1,9,0.0,12,4,8,0.33
SharkScale,TuskMammoth,1,0,1,2,5,0.0,19,15,4,0.79
ValkyrieVolt,LeonClaw,1,0,1,2,4,0.0,17,15,2,0.88
WyvernHover,TuskMammoth,1,0,1,0,4,0.0,10,5,5,0.5
WolfHunt,EmperorMight,2,1,1,6,4,0.5,4,1,3,0.25
EmperorMight,WolfHunt,2,1,1,4,6,0.5,5,1,4,0.2
HellsBrave,TyrannoRoar,1,0,1,3,6,0.0,3,2,1,0.67
ClockMirage,TyrannoRoar,1,0,1,0,4,0.0,4,2,2,0.5
