Rank,BuildID,Blade,Ratchet,Bit,IsStock,Status,Elo,Wins,Losses,WinRate,For,Against,Matches
1,ImpactDrake_9-60_Low Rush,ImpactDrake,9-60,Low Rush,True,active,1119.38,15,6,0.714,81,46,21
2,TuskMammoth_3-60_Taper,TuskMammoth,3-60,Taper,True,active,1089.81,17,7,0.708,85,68,24
3,FoxBrush_9-70_Gear Rush,FoxBrush,9-70,Gear Rush,True,active,1082.48,12,5,0.706,60,40,17
4,GolemRock_1-60_Under Needle,GolemRock,1-60,Under Needle,True,active,1081.74,14,6,0.7,70,37,20
5,CobaltDragoon_2-60_Cyclone,CobaltDragoon,2-60,Cyclone,True,active,1057.14,9,5,0.643,51,33,14
6,DranSword_3-60_Flat,DranSword,3-60,Flat,True,active,1055.02,10,5,0.667,49,41,15
7,CerberusFlame_5-80_Wall Ball,CerberusFlame,5-80,Wall Ball,True,active,1047.54,10,7,0.588,46,43,17
8,ScorpioSpear_0-70_Zap,ScorpioSpear,0-70,Zap,True,active,1045.52,8,5,0.615,43,32,13
9,LeonCrest_7-60_Gear Needle,LeonCrest,7-60,Gear Needle,True,active,1035.62,7,5,0.583,41,35,12
10,WeissTiger_3-60_Unite,WeissTiger,3-60,Unite,True,active,1033.65,5,4,0.556,26,20,9
11,PhoenixWing_9-60_Gear Flat,PhoenixWing,9-60,Gear Flat,True,active,1023.82,8,6,0.571,47,44,14
12,SharkScale_4-50_Under Flat,SharkScale,4-50,Under Flat,True,active,1019.26,3,2,0.6,18,12,5
13,DranDagger_4-60_Rush,DranDagger,4-60,Rush,True,active,1018.32,7,5,0.583,33,31,12
14,DranBrave_6-60_Vortex,DranBrave,6-60,Vortex,True,active,1015.78,9,7,0.562,49,42,16
15,HellsReaper_4-70_Kick,HellsReaper,4-70,Kick,True,active,1014.05,6,6,0.5,36,31,12
16,PerseusDark_6-80_Wedge,PerseusDark,6-80,Wedge,True,active,1010.93,5,6,0.455,30,32,11
17,ViperTail_5-80_Orb,ViperTail,5-80,Orb,True,active,1009.6,6,5,0.545,34,31,11
18,SolEclipse_5-70_Trans Kick,SolEclipse,5-70,Trans Kick,True,active,1009.19,4,4,0.5,28,25,8
19,KnightMail_3-85_Bound Spike,KnightMail,3-85,Bound Spike,True,active,1005.33,6,7,0.462,37,36,13
20,SharkEdge_3-60_Low Flat,SharkEdge,3-60,Low Flat,True,active,996.27,7,7,0.5,39,43,14
21,WhaleWave_5-80_Elevate,WhaleWave,5-80,Elevate,True,active,993.88,5,6,0.455,28,35,11
22,RhinoReaper_4-55_Dot,RhinoReaper,4-55,Dot,True,active,992.8,6,6,0.5,39,41,12
23,CrimsonGaruda_4-70_Trans Point,CrimsonGaruda,4-70,Trans Point,True,active,984.6,6,6,0.5,31,34,12
24,HellsChain_5-60_High Taper,HellsChain,5-60,High Taper,True,active,984.27,5,7,0.417,37,35,12
25,UnicornSting_5-60_Gear Point,UnicornSting,5-60,Gear Point,True,active,982.56,6,6,0.5,31,32,12
26,SilverWolf_3-80_Free Ball,SilverWolf,3-80,Free Ball,True,active,980.8,3,6,0.333,23,29,9
27,LeonClaw_5-60_Point,LeonClaw,5-60,Point,True,active,973.92,4,6,0.4,26,33,10
28,DranBuster_1-60_Accel,DranBuster,1-60,Accel,True,active,968.9,3,7,0.3,24,33,10
29,WizardRod_5-70_Disk Ball,WizardRod,5-70,Disk Ball,True,active,966.95,4,6,0.4,27,33,10
30,PhoenixRudder_9-70_Glide,PhoenixRudder,9-70,Glide,True,active,961.64,3,6,0.333,17,31,9
31,CobaltDrake_4-60_Flat,CobaltDrake,4-60,Flat,True,provisional,936.87,0,4,0.0,7,18,4
32,WhaleFlame_3-85_High Taper,WhaleFlame,3-85,High Taper,True,provisional,933.97,0,4,0.0,4,17,4
33,TyrannoBeat_4-70_Quake,TyrannoBeat,4-70,Quake,True,active,933.39,2,7,0.222,18,33,9
34,BlackShell_4-60_Dot,BlackShell,4-60,Dot,True,active,930.6,2,7,0.222,11,32,9
35,WizardArc_4-55_Low Orb,WizardArc,4-55,Low Orb,True,active,916.5,1,6,0.143,17,30,7
36,HellsHammer_3-70_Hexa,HellsHammer,3-70,Hexa,True,active,903.32,0,5,0.0,6,23,5
37,WizardArrow_4-80_Ball,WizardArrow,4-80,Ball,True,active,900.64,0,6,0.0,7,24,6
38,SamuraiSaber_2-70_Level,SamuraiSaber,2-70,Level,True,active,896.67,0,7,0.0,7,28,7
