MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB,FormEmaA,FormEmaB
M0001,2025-09-07,ViperTail,WizardArc,4,2,1000,1000,1013.8,986.2,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,0.8449,0.1551,,
M0002,2025-09-07,SamuraiSaber,TuskMammoth,2,4,1000,1000,986.2,1013.8,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,0.1551,0.8449,,
M0003,2025-09-07,BlackShell,GolemRock,0,4,1000,1000,980.0,1020.0,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,0.0,1.0,,
M0004,2025-09-07,LeonCrest,ImpactDrake,3,4,1000,1000,986.91,1013.09,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,0.1729,0.8271,,
M0005,2025-09-07,DranBrave,HellsReaper,4,2,1000,1000,1013.8,986.2,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,0.8449,0.1551,,
M0006,2025-09-07,HellsHammer,DranSword,3,4,1000,1000,986.91,1013.09,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,0.1729,0.8271,,
M0007,2025-09-07,DranDagger,CrimsonGaruda,4,0,1000,1000,1020.0,980.0,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,1.0,0.0,,
M0008,2025-09-07,LeonClaw,UnicornSting,0,4,1000,1000,980.0,1020.0,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,0.0,1.0,,
M0009,2025-09-07,FoxBrush,DranBuster,5,0,1000,1000,1024.12,975.88,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,1.1029,-0.1029,,
M0010,2025-09-07,HellsChain,TyrannoBeat,2,4,1000,1000,986.2,1013.8,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,0.1551,0.8449,,
M0011,2025-09-07,PhoenixWing,WizardArrow,4,3,1000,1000,1013.09,986.91,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,0.8271,0.1729,,
M0012,2025-09-07,SharkEdge,CobaltDragoon,0,5,1000,1000,975.88,1024.12,Xtreme,Xtreme,exhibition,,,,40.0,40.0,40.0,40.0,0.5,0.5,-0.1029,1.1029,,
