k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
40,12,15,3.0,14,0.18,2.6,0.6652296472996055,0.23652340738954464
40,12,15,3.0,14,0.15,2.6,0.6652513626516586,0.23652154400827569
40,12,15,3.0,14,0.18,2.2,0.6652602062631964,0.2365329967626424
40,12,15,3.0,14,0.22,2.6,0.6653027461144063,0.2365710487729547
40,12,15,3.0,14,0.15,2.2,0.6653122079545549,0.23654470752633533
40,12,15,3.0,14,0.22,2.2,0.6653188540690118,0.23657468606855733
40,12,15,3.0,14,0.18,1.8,0.6653261450008235,0.23655683879359138
40,12,15,3.0,14,0.22,1.8,0.6653331057049893,0.23657493357413564
40,12,15,3.0,14,0.15,1.8,0.6654089509202283,0.23658248718006006
40,12,10,3.0,14,0.15,2.6,0.6656042649768322,0.23666514913362496
40,12,10,3.0,14,0.18,2.2,0.6656173123017124,0.2366735277122168
40,12,10,3.0,14,0.18,2.6,0.665620379925017,0.23667603445320776
40,12,10,3.0,14,0.15,2.2,0.6656322436766295,0.2366765836276915
40,12,10,3.0,14,0.18,1.8,0.6656427126996268,0.23668363290474076
40,12,10,3.0,14,0.22,1.8,0.6656834038559659,0.236707735778865
40,12,10,3.0,14,0.15,1.8,0.6656863695487387,0.23669953335288885
40,12,10,3.0,14,0.22,2.2,0.6657140853461274,0.23672315157069476
40,12,10,3.0,14,0.22,2.6,0.6657492102877173,0.23674018028380356
40,12,20,3.0,14,0.22,2.6,0.6657509562531089,0.2368169055177686
40,12,20,3.0,14,0.18,2.6,0.6657638981114832,0.2368008677910443
40,12,20,3.0,14,0.22,2.2,0.6658160355466584,0.23683996953390235
40,12,20,3.0,14,0.18,2.2,0.6658419810056413,0.23682917186850122
40,12,20,3.0,14,0.15,2.6,0.665857097770323,0.2368246455867721
40,12,20,3.0,14,0.22,1.8,0.6658981096881321,0.2368669564940958
40,12,20,3.0,14,0.15,2.2,0.6659517942271379,0.23686007223397018
40,12,20,3.0,14,0.18,1.8,0.6659561813042353,0.236870569236784
40,12,15,3.0,10,0.22,2.6,0.6660235473036812,0.2368888675186224
40,16,15,3.0,14,0.22,2.6,0.66607140371667,0.23696180668927405
40,16,15,3.0,14,0.18,2.6,0.6660930973733982,0.2369502734278427
40,12,20,3.0,14,0.15,1.8,0.6660945874805216,0.23691452621345285
40,16,10,3.0,14,0.18,2.6,0.6661040574069953,0.2369255352361447
40,12,15,2.5,14,0.22,2.6,0.6661243135473938,0.23692260096707635
40,16,15,3.0,14,0.22,2.2,0.6661399520775074,0.23698647637224698
40,16,10,3.0,14,0.18,2.2,0.6661423226349691,0.2369388746326765
40,12,15,3.0,10,0.22,2.2,0.6661450286100552,0.23693884262659798
40,16,10,3.0,14,0.15,2.6,0.6661469334942943,0.23693461952990974
40,16,10,3.0,14,0.22,2.6,0.6661560938795448,0.23696227162729305
40,12,15,2.5,14,0.18,2.6,0.6661665473261795,0.23693071335264348
40,16,15,3.0,14,0.18,2.2,0.6661718172502342,0.23697886331684523
40,16,10,3.0,14,0.22,2.2,0.6661747340043425,0.2369670818439179
40,12,15,2.5,14,0.22,2.2,0.6661867710734185,0.2369482468734355
40,16,15,3.0,14,0.15,2.6,0.6661901093526713,0.23697622706539723
40,16,10,3.0,14,0.22,1.8,0.6662005184512868,0.2369730341077963
40,16,10,3.0,14,0.15,2.2,0.6662134729488608,0.2369606403462772
40,16,10,3.0,14,0.18,1.8,0.6662188843270462,0.23696806164180367
40,16,15,3.0,14,0.22,1.8,0.6662240554807641,0.23701443291243557
40,12,15,2.5,14,0.18,2.2,0.6662350261313339,0.23695843603631314
40,12,15,2.5,14,0.22,1.8,0.6662569604395886,0.23697544251346642
40,12,15,3.0,10,0.18,2.6,0.66626609819027,0.2369856377365651
40,12,15,2.5,14,0.15,2.6,0.6662663509939601,0.2369666634297126
40,16,15,3.0,14,0.15,2.2,0.6662867791756065,0.23701262239026766
40,16,15,3.0,14,0.18,1.8,0.6662891887971517,0.2370218605284167
40,16,10,3.0,14,0.15,1.8,0.6663161045685922,0.2370016233067572
40,12,15,2.5,14,0.18,1.8,0.6663454566996809,0.23700378912965966
40,12,15,3.0,10,0.22,1.8,0.6663485467332854,0.23702490136021487
40,12,15,2.5,14,0.15,2.2,0.666354324360262,0.23700304874877132
40,12,25,3.0,14,0.22,2.6,0.6663567889566133,0.23712699592190292
40,12,10,3.0,10,0.22,2.6,0.6663608844745871,0.2370132503476081
40,12,15,3.0,10,0.18,2.2,0.6664271544574988,0.23705367925949755
40,16,15,3.0,14,0.15,1.8,0.6664324008626074,0.23706854547121864
40,12,10,3.0,10,0.22,2.2,0.6664324808523918,0.23704481000157845
40,12,25,3.0,14,0.18,2.6,0.666453684730046,0.23714301895728443
40,12,25,3.0,14,0.22,2.2,0.6664666660558896,0.23716799653828088
40,12,20,2.5,14,0.22,2.6,0.6664705872433332,0.23711742919857476
40,12,15,2.5,14,0.15,1.8,0.6664782460840812,0.23705442695846599
