MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB
M0001,2025-09-07,ViperTail,WizardArc,4,2,1000,1000,1011.39,988.61,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.8559,0.1441
M0002,2025-09-07,SamuraiSaber,TuskMammoth,2,4,1000,1000,988.61,1011.39,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.1441,0.8559
M0003,2025-09-07,BlackShell,GolemRock,0,4,1000,1000,984.0,1016.0,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.0,1.0
M0004,2025-09-07,LeonCrest,ImpactDrake,3,4,1000,1000,989.35,1010.65,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.1672,0.8328
M0005,2025-09-07,DranBrave,HellsReaper,4,2,1000,1000,1011.39,988.61,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.8559,0.1441
M0006,2025-09-07,HellsHammer,DranSword,3,4,1000,1000,989.35,1010.65,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.1672,0.8328
M0007,2025-09-07,DranDagger,CrimsonGaruda,4,0,1000,1000,1016.0,984.0,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,1.0,0.0
M0008,2025-09-07,LeonClaw,UnicornSting,0,4,1000,1000,984.0,1016.0,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.0,1.0
M0009,2025-09-07,FoxBrush,DranBuster,5,0,1000,1000,1018.88,981.12,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,1.0901,-0.0901
M0010,2025-09-07,HellsChain,TyrannoBeat,2,4,1000,1000,988.61,1011.39,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.1441,0.8559
M0011,2025-09-07,PhoenixWing,WizardArrow,4,3,1000,1000,1010.65,989.35,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.8328,0.1672
M0012,2025-09-07,SharkEdge,CobaltDragoon,0,5,1000,1000,981.12,1018.88,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,-0.0901,1.0901
M0013,2025-09-07,PerseusDark,WhaleWave,5,0,1000,1000,1018.88,981.12,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,1.0901,-0.0901
M0014,2025-09-07,SilverWolf,WizardRod,3,4,1000,1000,989.35,1010.65,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.1672,0.8328
M0015,2025-09-07,WeissTiger,RhinoReaper,4,0,1000,1000,1016.0,984.0,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,1.0,0.0
M0016,2025-09-07,ScorpioSpear,PhoenixRudder,2,4,1000,1000,988.61,1011.39,Xtreme,Xtreme,exhibition,,,,32.0,32.0,32.0,32.0,0.5,0.5,0.1441,0.8559
M0017,2025-09-07,ViperTail,TuskMammoth,2,5,1011.39,1011.39,989.48,1033.3,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,53.4425,53.4425,0.5,0.5,0.0901,0.9099
M0018,2025-09-07,GolemRock,ImpactDrake,0,4,1016.0,1010.65,984.3,1037.05,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,62.4393,51.9998,0.5077,0.4923,0.0,1.0
M0019,2025-09-07,DranBrave,DranSword,3,5,1011.39,1010.65,992.31,1029.21,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,53.4425,51.9998,0.5011,0.4989,0.1441,0.8559
M0020,2025-09-07,DranDagger,UnicornSting,1,4,1016.0,1016.0,990.41,1041.59,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,62.4393,62.4393,0.5,0.5,0.0901,0.9099
M0021,2025-09-07,FoxBrush,TyrannoBeat,5,2,1018.88,1011.39,1046.05,990.06,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,68.0647,53.4425,0.5108,0.4892,0.9099,0.0901
M0022,2025-09-07,PhoenixWing,CobaltDragoon,4,2,1010.65,1018.88,1029.77,993.85,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,51.9998,68.0647,0.4882,0.5118,0.8559,0.1441
M0023,2025-09-07,PerseusDark,WizardRod,2,4,1018.88,1010.65,993.85,1029.77,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,68.0647,51.9998,0.5118,0.4882,0.1441,0.8559
M0024,2025-09-07,WeissTiger,PhoenixRudder,3,4,1016.0,1011.39,994.81,1029.53,Xtreme,Xtreme,exhibition,,,,31.2197,31.2197,62.4393,53.4425,0.5066,0.4934,0.1672,0.8328
M0025,2025-09-07,TuskMammoth,ImpactDrake,0,4,1033.3,1037.05,1007.2,1063.12,Xtreme,Xtreme,exhibition,,,,30.4774,30.4774,52.7703,52.7018,0.4946,0.5054,0.0,1.0
M0026,2025-09-07,DranSword,UnicornSting,4,1,1029.21,1041.59,1051.04,1015.95,Xtreme,Xtreme,exhibition,,,,30.4774,30.4774,51.0314,59.9563,0.4822,0.5178,0.9099,0.0901
M0027,2025-09-07,FoxBrush,PhoenixWing,4,0,1046.05,1029.77,1076.71,1005.39,Xtreme,Xtreme,exhibition,,,,30.4774,30.4774,64.33,51.1508,0.5234,0.4766,1.0,0.0
M0028,2025-09-07,WizardRod,PhoenixRudder,4,2,1029.77,1029.53,1047.96,1011.04,Xtreme,Xtreme,exhibition,,,,30.4774,30.4774,51.1508,51.9893,0.5004,0.4996,0.8559,0.1441
M0029,2025-09-07,ImpactDrake,DranSword,4,2,1063.12,1051.04,1081.02,1033.83,Xtreme,Xtreme,exhibition,,,,29.7713,29.7713,52.8881,50.829,0.5174,0.4826,0.8559,0.1441
M0030,2025-09-07,FoxBrush,WizardRod,4,1,1076.71,1047.96,1099.56,1029.48,Xtreme,Xtreme,exhibition,,,,29.7713,29.7713,61.9868,50.1434,0.5413,0.4587,0.9099,0.0901
M0031,2025-09-07,ImpactDrake,FoxBrush,7,0,1081.02,1099.56,1116.52,1058.79,Xtreme,Xtreme,exhibition,,,,29.0997,29.0997,51.1691,58.7639,0.4733,0.5267,1.1672,-0.1672
M0032,2025-11-12,WeissTiger,ImpactDrake,3,4,994.81,1116.52,986.31,1125.29,Xtreme,Xtreme,exhibition,,,,30.4774,28.4608,51.6515,53.302,0.3317,0.6683,0.1672,0.8328
