Date,Bey,ELO,match_id,MatchIndex
2025-09-07,BlackShell,1000.0,0,0
2025-09-07,BlackShell,980.0,3,1
2025-11-12,BlackShell,994.07,40,2
2025-11-12,BlackShell,977.51,53,3
2025-11-12,CerberusFlame,1000.0,0,0
2025-11-12,CerberusFlame,1011.93,38,1
2025-11-12,CerberusFlame,1023.57,52,2
2025-11-12,CerberusFlame,1043.34,60,3
2025-11-12,CerberusFlame,1032.71,64,4
2025-09-07,CobaltDragoon,1000.0,0,0
2025-09-07,CobaltDragoon,1020.0,12,1
2025-09-07,CobaltDragoon,1012.35,22,2
2025-11-12,CobaltDragoon,1016.25,33,3
2025-11-12,CobaltDragoon,1035.15,49,4
2025-11-12,CobaltDragoon,1029.32,57,5
2025-09-07,CrimsonGaruda,1000.0,0,0
2025-09-07,CrimsonGaruda,980.0,7,1
2025-11-12,CrimsonGaruda,968.0,47,2
2025-09-07,DranBrave,1000.0,0,0
2025-09-07,DranBrave,1006.67,5,1
2025-09-07,DranBrave,1001.45,19,2
2025-11-12,DranBrave,981.25,42,3
2025-09-07,DranBuster,1000.0,0,0
2025-09-07,DranBuster,980.0,9,1
2025-11-12,DranBuster,1000.77,45,2
2025-11-12,DranBuster,995.73,59,3
2025-09-07,DranDagger,1000.0,0,0
2025-09-07,DranDagger,1020.0,7,1
2025-09-07,DranDagger,1008.0,20,2
2025-11-12,DranDagger,1029.07,51,3
2025-11-12,DranDagger,1034.11,59,4
2025-11-12,DranDagger,1021.64,63,5
2025-09-07,DranSword,1000.0,0,0
2025-09-07,DranSword,1002.86,6,1
2025-09-07,DranSword,1008.08,19,2
2025-09-07,DranSword,1021.45,26,3
2025-09-07,DranSword,1016.04,29,4
2025-11-12,DranSword,1001.98,40,5
2025-09-07,FoxBrush,1000.0,0,0
2025-09-07,FoxBrush,1020.0,9,1
2025-09-07,FoxBrush,1027.8,21,2
2025-09-07,FoxBrush,1046.81,27,3
2025-09-07,FoxBrush,1057.11,30,4
2025-09-07,FoxBrush,1036.63,31,5
2025-11-12,FoxBrush,1054.53,41,6
2025-11-12,FoxBrush,1064.46,53,7
2025-11-12,FoxBrush,1067.15,61,8
2025-11-12,FoxBrush,1073.53,64,9
2025-11-12,FoxBrush,1075.88,66,10
2025-09-07,GolemRock,1000.0,0,0
2025-09-07,GolemRock,1020.0,3,1
2025-09-07,GolemRock,999.01,18,2
2025-11-12,GolemRock,1005.57,37,3
2025-11-12,GolemRock,993.94,52,4
2025-09-07,HellsChain,1000.0,0,0
2025-09-07,HellsChain,993.33,10,1
2025-11-12,HellsChain,999.89,34,2
2025-11-12,HellsChain,994.66,50,3
2025-09-07,HellsHammer,1000.0,0,0
2025-09-07,HellsHammer,997.14,6,1
2025-11-12,HellsHammer,978.24,49,2
2025-09-07,HellsReaper,1000.0,0,0
2025-09-07,HellsReaper,993.33,5,1
2025-11-12,HellsReaper,986.67,43,2
2025-09-07,ImpactDrake,1000.0,0,0
2025-09-07,ImpactDrake,1002.86,4,1
2025-09-07,ImpactDrake,1023.84,18,2
2025-09-07,ImpactDrake,1043.35,25,3
2025-09-07,ImpactDrake,1048.76,29,4
2025-09-07,ImpactDrake,1069.24,31,5
2025-11-12,ImpactDrake,1069.07,32,6
2025-11-12,ImpactDrake,1070.06,48,7
2025-11-12,ImpactDrake,1063.99,56,8
2025-11-12,KnightMail,1000.0,0,0
2025-11-12,KnightMail,1020.71,39,1
2025-11-12,KnightMail,1026.54,57,2
2025-11-12,KnightMail,1022.05,61,3
2025-09-07,LeonClaw,1000.0,0,0
2025-09-07,LeonClaw,980.0,8,1
2025-11-12,LeonClaw,978.35,48,2
2025-09-07,LeonCrest,1000.0,0,0
2025-09-07,LeonCrest,997.14,4,1
2025-11-12,LeonCrest,990.58,37,2
2025-11-12,PegasusBlast,1000.0,0,0
2025-11-12,PegasusBlast,982.1,41,1
2025-09-07,PerseusDark,1000.0,0,0
2025-09-07,PerseusDark,1020.0,13,1
2025-09-07,PerseusDark,1012.35,23,2
2025-11-12,PerseusDark,991.64,39,3
2025-09-07,PhoenixRudder,1000.0,0,0
