Date,Bey,ELO,match_id,MatchIndex
2025-09-07,BlackShell,1000.0,0,0
2025-09-07,BlackShell,984.0,3,1
2025-11-12,BlackShell,1014.04,40,2
2025-11-12,BlackShell,993.53,53,3
2025-12-02,BlackShell,1018.73,81,4
2025-12-02,BlackShell,997.51,91,5
2025-12-11,BlackShell,984.89,105,6
2025-12-27,BlackShell,968.41,131,7
2025-12-27,BlackShell,947.6,146,8
2026-01-04,BlackShell,922.19,191,9
2025-11-12,CerberusFlame,1000.0,0,0
2025-11-12,CerberusFlame,1012.66,38,1
2025-11-12,CerberusFlame,1034.75,52,2
2025-11-12,CerberusFlame,1062.02,60,3
2025-11-12,CerberusFlame,1043.35,64,4
2025-12-02,CerberusFlame,1056.84,69,5
2025-12-02,CerberusFlame,1077.56,87,6
2025-12-11,CerberusFlame,1091.02,105,7
2025-12-11,CerberusFlame,1070.91,114,8
2025-12-27,CerberusFlame,1050.65,119,9
2025-12-27,CerberusFlame,1032.17,138,10
2025-12-27,CerberusFlame,1040.29,152,11
2025-12-27,CerberusFlame,1025.4,161,12
2026-01-04,CerberusFlame,1041.12,186,13
2026-01-04,CerberusFlame,1050.05,198,14
2026-01-04,CerberusFlame,1062.57,204,15
2026-01-04,CerberusFlame,1045.16,210,16
2026-01-04,CerberusFlame,1032.59,211,17
2026-01-30,CerberusFlame,1026.47,270,18
2026-02-11,CerberusFlame,1015.83,283,19
2026-02-11,CerberusFlame,1003.7,291,20
2026-02-11,CerberusFlame,994.27,307,21
2026-02-13,CerberusFlame,1010.23,332,22
2026-02-26,CerberusFlame,1004.46,349,23
2026-02-26,CerberusFlame,996.97,351,24
2026-02-26,CerberusFlame,992.13,378,25
2026-02-26,CerberusFlame,1005.62,389,26
2026-03-01,CerberusFlame,994.74,412,27
2026-03-01,CerberusFlame,1006.81,415,28
2026-02-26,ClockMirage,1000.0,0,0
2026-02-26,ClockMirage,984.6,381,1
2026-02-26,ClockMirage,948.65,382,2
2026-02-26,ClockMirage,971.71,384,3
2026-02-26,ClockMirage,988.31,385,4
2025-09-07,CobaltDragoon,1000.0,0,0
2025-09-07,CobaltDragoon,1018.88,12,1
2025-09-07,CobaltDragoon,993.85,22,2
2025-11-12,CobaltDragoon,1013.3,33,3
2025-11-12,CobaltDragoon,1043.2,49,4
2025-11-12,CobaltDragoon,1021.99,57,5
2025-12-02,CobaltDragoon,1038.32,70,6
2025-12-02,CobaltDragoon,1054.21,88,7
2025-12-11,CobaltDragoon,1034.58,107,8
2025-12-27,CobaltDragoon,1053.67,120,9
2025-12-27,CobaltDragoon,1031.22,167,10
2026-01-04,CobaltDragoon,1045.35,187,11
2026-01-04,CobaltDragoon,1033.35,198,12
2026-01-04,CobaltDragoon,1041.05,214,13
2026-01-04,CobaltDragoon,1051.7,215,14
2026-01-30,CobaltDragoon,986.88,229,15
2026-01-30,CobaltDragoon,1064.62,267,16
2026-02-11,CobaltDragoon,1078.91,286,17
2026-02-11,CobaltDragoon,1093.0,291,18
2026-02-11,CobaltDragoon,1007.22,310,19
2026-02-13,CobaltDragoon,1074.05,331,20
2026-02-26,CobaltDragoon,1059.98,348,21
2026-02-26,CobaltDragoon,1070.53,352,22
2026-02-26,CobaltDragoon,1056.95,377,23
2026-03-01,CobaltDragoon,1044.73,413,24
2026-03-01,CobaltDragoon,1037.15,416,25
2026-01-04,CobaltDrake,1000.0,0,0
2026-01-04,CobaltDrake,986.88,176,1
2026-01-04,CobaltDrake,977.39,178,2
2026-01-04,CobaltDrake,962.82,214,3
2026-01-04,CobaltDrake,935.03,216,4
2026-01-04,CobaltDrake,950.71,217,5
2026-01-30,CobaltDrake,1018.88,230,6
2026-01-30,CobaltDrake,990.42,235,7
2026-02-11,CobaltDrake,967.25,311,8
2026-02-13,CobaltDrake,994.39,313,9
2026-02-13,CobaltDrake,982.34,316,10
2026-02-13,CobaltDrake,1000.35,318,11
2026-02-26,CobaltDrake,941.88,387,12
2025-09-07,CrimsonGaruda,1000.0,0,0
2025-09-07,CrimsonGaruda,984.0,7,1
2025-11-12,CrimsonGaruda,958.15,47,2
2025-12-02,CrimsonGaruda,989.31,84,3
2025-12-02,CrimsonGaruda,976.79,93,4
2025-12-27,CrimsonGaruda,953.49,128,5
2025-12-27,CrimsonGaruda,970.84,150,6
2025-12-27,CrimsonGaruda,960.28,152,7
2026-01-04,CrimsonGaruda,976.68,193,8
2026-01-04,CrimsonGaruda,993.74,201,9
2026-01-04,CrimsonGaruda,1004.51,205,10
2026-01-04,CrimsonGaruda,1022.01,210,11
2026-01-04,CrimsonGaruda,1002.78,212,12
2026-01-30,CrimsonGaruda,1016.0,244,13
2026-01-30,CrimsonGaruda,990.66,250,14
2026-01-30,CrimsonGaruda,993.21,257,15
2026-02-11,CrimsonGaruda,983.31,276,16
2026-02-11,CrimsonGaruda,968.93,301,17
2026-02-13,CrimsonGaruda,986.01,321,18
2026-02-26,CrimsonGaruda,976.36,338,19
2026-02-26,CrimsonGaruda,969.42,362,20
2026-02-26,CrimsonGaruda,959.43,367,21
2026-03-01,CrimsonGaruda,973.37,393,22
2026-03-01,CrimsonGaruda,985.15,396,23
2025-09-07,DranBrave,1000.0,0,0
2025-09-07,DranBrave,1011.39,5,1
2025-09-07,DranBrave,992.31,19,2
2025-11-12,DranBrave,970.0,42,3
2025-12-02,DranBrave,957.71,78,4
2025-12-02,DranBrave,944.89,100,5
2025-12-11,DranBrave,968.98,106,6
2025-12-11,DranBrave,962.27,113,7
2025-12-27,DranBrave,975.19,125,8
2025-12-27,DranBrave,988.17,145,9
2025-12-27,DranBrave,1003.1,153,10
2025-12-27,DranBrave,992.71,164,11
2026-01-04,DranBrave,1003.12,181,12
2026-01-04,DranBrave,1020.42,195,13
2026-01-04,DranBrave,1034.92,202,14
2026-01-04,DranBrave,1019.03,209,15
2026-01-04,DranBrave,1035.05,211,16
2026-01-30,DranBrave,988.61,226,17
2026-01-30,DranBrave,1022.79,262,18
2026-02-11,DranBrave,1035.08,278,19
2026-02-11,DranBrave,1017.69,292,20
2026-02-13,DranBrave,1025.83,325,21
2026-02-26,DranBrave,1035.04,342,22
2026-02-26,DranBrave,1048.41,358,23
2026-02-26,DranBrave,1055.89,371,24
2026-03-01,DranBrave,1043.09,404,25
2026-03-01,DranBrave,1051.05,407,26
2025-09-07,DranBuster,1000.0,0,0
2025-09-07,DranBuster,981.12,9,1
2025-11-12,DranBuster,1015.88,45,2
2025-11-12,DranBuster,997.19,59,3
2025-12-02,DranBuster,970.67,81,4
2025-12-02,DranBuster,996.53,96,5
2025-12-27,DranBuster,1023.23,134,6
2025-12-27,DranBuster,1006.59,137,7
2025-12-27,DranBuster,993.0,156,8
2026-01-04,DranBuster,980.54,181,9
2026-01-04,DranBuster,972.64,220,10
2026-01-30,DranBuster,981.12,230,11
2025-09-07,DranDagger,1000.0,0,0
2025-09-07,DranDagger,1016.0,7,1
2025-09-07,DranDagger,990.41,20,2
2025-11-12,DranDagger,1023.8,51,3
2025-11-12,DranDagger,1042.13,59,4
2025-11-12,DranDagger,1015.05,63,5
2025-12-02,DranDagger,1032.89,71,6
2025-12-02,DranDagger,1045.09,89,7
2025-12-11,DranDagger,1061.6,103,8
2025-12-11,DranDagger,1043.6,111,9
2025-12-27,DranDagger,1025.12,121,10
2025-12-27,DranDagger,1034.6,139,11
2025-12-27,DranDagger,1015.86,162,12
2026-01-30,DranDagger,981.12,225,13
2026-01-30,DranDagger,1009.02,242,14
2026-01-30,DranDagger,1029.24,249,15
2026-01-30,DranDagger,1014.11,253,16
2026-01-30,DranDagger,998.87,255,17
2026-01-30,DranDagger,1004.75,264,18
2026-02-11,DranDagger,990.24,280,19
2026-02-11,DranDagger,978.35,293,20
2026-02-13,DranDagger,992.38,329,21
2026-02-26,DranDagger,981.98,341,22
2026-02-26,DranDagger,974.18,359,23
2026-02-26,DranDagger,966.62,371,24
2026-03-01,DranDagger,955.47,403,25
2026-03-01,DranDagger,965.67,405,26
2025-09-07,DranSword,1000.0,0,0
2025-09-07,DranSword,1010.65,6,1
2025-09-07,DranSword,1029.21,19,2
2025-09-07,DranSword,1051.04,26,3
2025-09-07,DranSword,1033.83,29,4
2025-11-12,DranSword,1013.45,40,5
2025-12-02,DranSword,1025.31,78,6
2025-12-02,DranSword,1043.02,86,7
2025-12-27,DranSword,1058.44,122,8
2025-12-27,DranSword,1080.83,161,9
2025-12-27,DranSword,1094.84,168,10
2025-12-27,DranSword,1069.48,172,11
2025-12-27,DranSword,1085.11,174,12
2026-01-04,DranSword,1065.67,188,13
2026-01-04,DranSword,1050.51,221,14
2026-01-04,DranSword,1055.6,224,15
2026-01-30,DranSword,981.12,228,16
2026-01-30,DranSword,953.22,242,17
2026-01-30,DranSword,1045.74,267,18
2026-02-11,DranSword,1055.99,283,19
2026-02-11,DranSword,1042.15,287,20
2026-02-13,DranSword,1029.15,330,21
2026-02-26,DranSword,1022.82,347,22
2026-02-26,DranSword,1039.67,353,23
2026-02-26,DranSword,1055.68,376,24
2026-03-01,DranSword,1065.61,414,25
2026-03-01,DranSword,1053.31,417,26
2026-02-11,EmperorMight,1000.0,0,0
2026-02-11,EmperorMight,984.0,302,1
2026-02-11,EmperorMight,964.12,303,2
2026-02-11,EmperorMight,1011.39,309,3
2026-02-26,EmperorMight,941.83,384,4
2026-02-26,EmperorMight,919.8,388,5
2025-09-07,FoxBrush,1000.0,0,0
2025-09-07,FoxBrush,1018.88,9,1
2025-09-07,FoxBrush,1046.05,21,2
2025-09-07,FoxBrush,1076.71,27,3
2025-09-07,FoxBrush,1099.56,30,4
2025-09-07,FoxBrush,1058.79,31,5
