Date,Bey,ELO,match_id,MatchIndex
2025-09-07,BlackShell,1000.0,0,0
2025-09-07,BlackShell,980.0,3,1
2025-11-12,BlackShell,1001.26,40,2
2025-11-12,BlackShell,985.86,53,3
2025-12-02,BlackShell,1006.21,81,4
2025-12-02,BlackShell,986.34,91,5
2025-12-11,BlackShell,972.87,105,6
2025-12-27,BlackShell,958.72,131,7
2025-12-27,BlackShell,939.34,146,8
2026-01-04,BlackShell,914.87,191,9
2025-11-12,CerberusFlame,1000.0,0,0
2025-11-12,CerberusFlame,1021.36,38,1
2025-11-12,CerberusFlame,1044.13,52,2
2025-11-12,CerberusFlame,1068.33,60,3
2025-11-12,CerberusFlame,1056.27,64,4
2025-12-02,CerberusFlame,1070.35,69,5
2025-12-02,CerberusFlame,1090.48,87,6
2025-12-11,CerberusFlame,1107.71,105,7
2025-12-11,CerberusFlame,1090.71,114,8
2025-12-27,CerberusFlame,1069.67,119,9
2025-12-27,CerberusFlame,1051.81,138,10
2025-12-27,CerberusFlame,1060.55,152,11
2025-12-27,CerberusFlame,1048.25,161,12
2026-01-04,CerberusFlame,1064.53,186,13
2026-01-04,CerberusFlame,1075.85,198,14
2026-01-04,CerberusFlame,1090.92,204,15
2026-01-04,CerberusFlame,1073.3,210,16
2026-01-04,CerberusFlame,1062.14,211,17
2026-01-30,CerberusFlame,1058.48,270,18
2026-02-11,CerberusFlame,1051.87,283,19
2026-02-11,CerberusFlame,1043.39,291,20
2026-02-11,CerberusFlame,1037.62,307,21
2026-02-13,CerberusFlame,1050.67,332,22
2026-02-26,CerberusFlame,1046.13,349,23
2026-02-26,CerberusFlame,1041.3,351,24
2026-02-26,CerberusFlame,1038.45,378,25
2026-02-26,CerberusFlame,1050.77,389,26
2026-03-01,CerberusFlame,1042.74,412,27
2026-03-01,CerberusFlame,1052.08,415,28
2026-02-26,ClockMirage,1000.0,0,0
2026-02-26,ClockMirage,986.54,381,1
2026-02-26,ClockMirage,966.47,382,2
2026-02-26,ClockMirage,985.51,384,3
2026-02-26,ClockMirage,998.71,385,4
2025-09-07,CobaltDragoon,1000.0,0,0
2025-09-07,CobaltDragoon,1024.12,12,1
2025-09-07,CobaltDragoon,1006.63,22,2
2025-11-12,CobaltDragoon,1013.43,33,3
2025-11-12,CobaltDragoon,1033.61,49,4
2025-11-12,CobaltDragoon,1017.87,57,5
2025-12-02,CobaltDragoon,1026.23,70,6
2025-12-02,CobaltDragoon,1039.91,88,7
2025-12-11,CobaltDragoon,1023.66,107,8
2025-12-27,CobaltDragoon,1039.25,120,9
2025-12-27,CobaltDragoon,1017.87,167,10
2026-01-04,CobaltDragoon,1030.78,187,11
2026-01-04,CobaltDragoon,1017.21,198,12
2026-01-04,CobaltDragoon,1024.16,214,13
2026-01-04,CobaltDragoon,1033.7,215,14
2026-01-30,CobaltDragoon,1045.36,267,15
2026-02-11,CobaltDragoon,1056.65,286,16
2026-02-11,CobaltDragoon,1067.82,291,17
2026-02-13,CobaltDragoon,1049.66,331,18
2026-02-26,CobaltDragoon,1037.85,348,19
2026-02-26,CobaltDragoon,1047.05,352,20
2026-02-26,CobaltDragoon,1034.81,377,21
2026-03-01,CobaltDragoon,1023.56,413,22
2026-03-01,CobaltDragoon,1017.41,416,23
2026-01-04,CobaltDrake,1000.0,0,0
2026-01-04,CobaltDrake,981.95,176,1
2026-01-04,CobaltDrake,973.44,178,2
2026-01-04,CobaltDrake,960.75,214,3
2026-01-04,CobaltDrake,935.12,216,4
2026-01-04,CobaltDrake,949.43,217,5
2026-02-26,CobaltDrake,940.61,387,6
2025-09-07,CrimsonGaruda,1000.0,0,0
2025-09-07,CrimsonGaruda,982.17,7,1
2025-11-12,CrimsonGaruda,966.33,47,2
2025-12-02,CrimsonGaruda,988.22,84,3
2025-12-02,CrimsonGaruda,978.67,93,4
2025-12-27,CrimsonGaruda,959.43,128,5
2025-12-27,CrimsonGaruda,976.42,150,6
2025-12-27,CrimsonGaruda,966.01,152,7
2026-01-04,CrimsonGaruda,980.54,193,8
2026-01-04,CrimsonGaruda,996.77,201,9
2026-01-04,CrimsonGaruda,1009.45,205,10
